"player_name","nationality","fbref_url","transfer_url","career_length","retired","retirement_age","age_current","debut_age","debut_year","injury_count_total","days_missed_total","games_missed_total","total_matches_club","seasons_club","foot","position_simple","height","debut_age_num","height_clean","debut_year_num","injuries_per_season","foot_clean","event","debut_band","height_group","inj_band","debut_decade","nationality_clean","region"
"Charlie Adam","Scotland","https://fbref.com/en/players/aff418dc/Charlie-Adam","https://www.transfermarkt.com/charlie-adam/profil/spieler/28990",18,"Yes",36,40,"17 years","2003",4,183,30,452,19,"left","Midfield","185",17,185,2003,0.210526315789474,"left",1,"[15,18)","(180,185]","(3,9]","2000s","Scotland","UK_Ireland"
"Emmanuel Adebayor","Togo  Nigeria","https://fbref.com/en/players/936d9e3e/Emmanuel-Adebayor","https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883",22,"Yes",39,41,"17 years","2001",19,214,43,488,19,"right","Attack","191",17,191,2001,1,"right",1,"[15,18)","(185,203]","(9,57]","2000s","Togo Nigeria","Rest_of_World"
"Gabriel Agbonlahor","England  Nigeria","https://fbref.com/en/players/db80f5f1/Gabriel-Agbonlahor","https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148",13,"Yes",31,39,"18 years","2005",12,365,46,362,13,"right","Attack","180",18,180,2005,0.923076923076923,"right",1,"[18,21)","[165,180]","(9,57]","2000s","England Nigeria","UK_Ireland"
"Daniel Agger","Denmark","https://fbref.com/en/players/f1ea4af0/Daniel-Agger","https://www.transfermarkt.com/daniel-agger/profil/spieler/22832",12,"Yes",31,40,"19 years","2004",10,579,122,284,12,"left","Defender","191",19,191,2004,0.833333333333333,"left",1,"[18,21)","(185,203]","(9,57]","2000s","Denmark","Rest_of_World"
"Yakubu Aiyegbeni","Nigeria","https://fbref.com/en/players/a1fe3f62/Yakubu-Aiyegbeni","https://www.transfermarkt.com/yakubu-aiyegbeni/profil/spieler/8559",19,"Yes",35,43,"19 years","2002",1,184,34,350,13,"Not found","Attack","183",19,183,2002,0.0769230769230769,"unknown",1,"[18,21)","(180,185]","[0,3]","2000s","Nigeria","Rest_of_World"
"Marc Albrighton","England","https://fbref.com/en/players/b827d5b3/Marc-Albrighton","https://www.transfermarkt.com/marc-albrighton/profil/spieler/61560",15,"Yes",34,36,"19 years","2009",5,254,34,421,16,"right","Midfield","175",19,175,2009,0.3125,"right",1,"[18,21)","[165,180]","(3,9]","2000s","England","UK_Ireland"
"Antolín Alcaraz","Paraguay  Italy","https://fbref.com/en/players/cee38e27/Antolin-Alcaraz","https://www.transfermarkt.com/antoln-alcaraz/profil/spieler/14259",21,"Yes",41,43,"20 years","2002",7,541,96,453,21,"right","Defender","185",20,185,2002,0.333333333333333,"right",1,"[18,21)","(180,185]","(3,9]","2000s","Paraguay Italy","EU_Major"
"Manuel Almunia","Spain","https://fbref.com/en/players/9f6b2f8c/Manuel-Almunia","https://www.transfermarkt.com/manuel-almunia/profil/spieler/16621",13,"Yes",37,48,"24 years","2001",7,161,36,282,13,"right","Goalkeeper","191",24,191,2001,0.538461538461538,"right",1,"[24,30]","(185,203]","(3,9]","2000s","Spain","EU_Major"
"Marcos Alonso","Spain","https://fbref.com/en/players/f4290206/Marcos-Alonso","https://www.transfermarkt.com/marcos-alonso/profil/spieler/112515",15,"No",NA,34,"18 years","2009",12,482,87,441,18,"left","Defender","188",18,188,2009,0.666666666666667,"left",0,"[18,21)","(185,203]","(9,57]","2000s","Spain","EU_Major"
"Sammy Ameobi","England  Nigeria","https://fbref.com/en/players/acd61628/Sammy-Ameobi","https://www.transfermarkt.com/sammy-ameobi/profil/spieler/92381",11,"Yes",30,33,"18 years","2010",2,159,24,284,11,"left","Attack","192",18,192,2010,0.181818181818182,"left",1,"[18,21)","(185,203]","[0,3]","2010s","England Nigeria","UK_Ireland"
"Shola Ameobi","Nigeria  England","https://fbref.com/en/players/e79a368b/Shola-Ameobi","https://www.transfermarkt.com/shola-ameobi/profil/spieler/3276",18,"Yes",36,44,"18 years","2000",5,97,19,431,18,"right","Attack","191",18,191,2000,0.277777777777778,"right",1,"[18,21)","(185,203]","(3,9]","2000s","Nigeria England","UK_Ireland"
"Keith Andrews","Ireland  England","https://fbref.com/en/players/5bca867f/Keith-Andrews","https://www.transfermarkt.com/keith-andrews/profil/spieler/8035",15,"Yes",34,45,"20 years","2001",1,14,3,348,14,"right","Midfield","183",20,183,2001,0.0714285714285714,"right",1,"[18,21)","(180,185]","[0,3]","2000s","Ireland England","UK_Ireland"
"Nicolas Anelka","France  Martinique","https://fbref.com/en/players/931ed5e9/Nicolas-Anelka","https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226",20,"Yes",36,46,"16 years","1995",13,294,53,564,20,"right","Attack","186",16,186,1995,0.65,"right",1,"[15,18)","(185,203]","(9,57]","1990s","France Martinique","EU_Major"
"Marcos Angeleri","Argentina  Italy","https://fbref.com/en/players/f1c9c320/Marcos-Angeleri","https://www.transfermarkt.com/marcos-angeleri/profil/spieler/27448",18,"Yes",37,42,"27 years","2010",7,543,90,160,12,"right","Defender","182",27,182,2010,0.583333333333333,"right",1,"[24,30]","(180,185]","(3,9]","2010s","Argentina Italy","EU_Major"
"Victor Anichebe","Nigeria  England","https://fbref.com/en/players/4aed5c19/Victor-Anichebe","https://www.transfermarkt.com/victor-anichebe/profil/spieler/39532",13,"Yes",30,37,"17 years","2005",9,512,106,224,12,"right","Attack","185",17,185,2005,0.75,"right",1,"[15,18)","(180,185]","(3,9]","2000s","Nigeria England","UK_Ireland"
"Andrey Arshavin","Russia","https://fbref.com/en/players/8fd1ea1f/Andrey-Arshavin","https://www.transfermarkt.com/andrey-arshavin/profil/spieler/15378",18,"Yes",37,44,"19 years","Not found",6,116,23,454,20,"both","Attack","172",19,172,NA,0.3,"both",1,"[18,21)","[165,180]","(3,9]","NAs","Russia","Rest_of_World"
"Mikel Arteta","Spain","https://fbref.com/en/players/d934d1e6/Mikel-Arteta","https://www.transfermarkt.com/mikel-arteta/profil/spieler/7451",16,"Yes",34,43,"18 years","2000",14,701,168,434,16,"right","Midfield","177",18,177,2000,0.875,"right",1,"[18,21)","[165,180]","(9,57]","2000s","Spain","EU_Major"
"Benoît Assou-Ekotto","Cameroon  France","https://fbref.com/en/players/a557e6b0/Benoit-Assou-Ekotto","https://www.transfermarkt.com/benot-assou-ekotto/profil/spieler/18310",14,"Yes",34,41,"19 years","2003",6,521,100,344,14,"left","Defender","178",19,178,2003,0.428571428571429,"left",1,"[18,21)","[165,180]","(3,9]","2000s","Cameroon France","EU_Major"
