player_name,player_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons
Tim Ream,https://www.transfermarkt.com/tim-ream/profil/spieler/145466,Success,145466,spieler,Tim Ream,05/10/1987 (38),"St. Louis, Missouri","1,86 m",United States,Defender - Centre-Back,left,Not found,Charlotte,7/8/2024,31/12/2026,Nike,6,150,32,No,Not found,3,6
Jazz Richards,https://www.transfermarkt.com/jazz-richards/profil/spieler/120241,Success,120241,spieler,Jazz Richards,12/04/1991 (34),Swansea,"1,74 m",Wales,Defender - Right-Back,right,Not found,Haverfordwest,1/7/2024,-,Not found,6,475,85,Yes,1/7/2024,Not found,4
Joe Riley,https://www.transfermarkt.com/joe-riley/profil/spieler/125117,Success,125117,spieler,Joe Riley,13/10/1991 (34),Salford,"1,83 m",England,Defender - Right-Back,right,Not found,Mansfield Town,20/07/2021,-,Not found,1,183,31,Yes,20/07/2021,Not found,1
Oriol Romeu,https://www.transfermarkt.com/oriol-romeu/profil/spieler/66100,Success,66100,spieler,Oriol Romeu,24/09/1991 (34),Ulldecona,"1,83 m",Spain,Midfield - Defensive Midfield,right,Not found,Southampton,6/11/2025,30/06/2026,Mizuno,11,480,108,No,Not found,28,7
Declan Rudd,https://www.transfermarkt.com/declan-rudd/profil/spieler/74088,Success,74088,spieler,Declan Rudd,16/01/1991 (34),Diss,"1,91 m",England,Goalkeeper,right,Not found,Preston,31/03/2022,-,Not found,2,115,25,Yes,31/03/2022,Not found,2
John Ruddy,https://www.transfermarkt.com/john-ruddy/profil/spieler/29712,Success,29712,spieler,John Ruddy,24/10/1986 (39),St Ives,"1,92 m",England,Goalkeeper,right,Not found,Newcastle,1/7/2024,-,Not found,1,141,26,No,Not found,26,1
Bryan Ruiz,https://www.transfermarkt.com/bryan-ruiz/profil/spieler/39642,Success,39642,spieler,Bryan Ruiz,18/08/1985 (40),San José,"1,87 m",Costa Rica,Midfield - Attacking Midfield,left,Not found,LD Alajuelense,1/1/2023,-,Not found,8,174,30,Yes,1/1/2023,Not found,6
Orlando Sá,https://www.transfermarkt.com/orlando-s/profil/spieler/64535,Success,64535,spieler,Orlando Sá,26/05/1988 (37),Barcelos,"1,88 m",Portugal,Attack - Centre-Forward,right,Not found,Málaga CF,1/7/2021,-,Not found,6,582,83,Yes,1/7/2021,Not found,5
Davide Santon,https://www.transfermarkt.com/davide-santon/profil/spieler/84344,Success,84344,spieler,Davide Santon,02/01/1991 (34),Portomaggiore,"1,87 m",Italy,Defender - Left-Back,right,Not found,Roma,9/9/2022,-,Nike,18,592,123,Yes,9/9/2022,Not found,9
André Santos,https://www.transfermarkt.com/andr-santos/profil/spieler/54275,Success,54275,spieler,André Santos,08/03/1983 (42),São Paulo,"1,80 m",Brazil,Defender - Left-Back,left,Not found,Figueirense FC,1/1/2019,-,Not found,8,201,46,Yes,1/1/2019,Not found,6
Stefan Savić,https://www.transfermarkt.com/stefan-savi/profil/spieler/107010,Success,107010,spieler,Stefan Savic,08/01/1991 (34),Mojkovac,"1,87 m",Montenegro  Serbia,Defender - Centre-Back,right,Not found,Trabzonspor,26/07/2024,30/06/2027,Puma,31,823,149,No,Not found,15,11
Gylfi Sigurðsson,https://www.transfermarkt.com/gylfi-sigursson/profil/spieler/90466,Success,90466,spieler,Gylfi Sigurdsson,08/09/1989 (36),Reykjavík,"1,86 m",Iceland,Midfield - Attacking Midfield,right,Not found,Víkingur,17/03/2025,31/12/2025,Not found,6,170,28,No,Not found,32,5
Scott Sinclair,https://www.transfermarkt.com/scott-sinclair/profil/spieler/31552,Success,31552,spieler,Scott Sinclair,25/03/1989 (36),Bath,"1,77 m",England  Jamaica,Attack - Left Winger,right,Not found,Without Club,1/7/2025,-,Nike,3,110,22,No,Not found,Not found,3
Jordan Slew,https://www.transfermarkt.com/jordan-slew/profil/spieler/164785,Success,164785,spieler,Jordan Slew,07/09/1992 (33),Sheffield,"1,91 m",England  Jamaica,Attack - Centre-Forward,right,Not found,Southport,26/07/2025,30/06/2026,Not found,1,111,15,No,Not found,9,1
Adam Smith,https://www.transfermarkt.com/adam-smith/profil/spieler/61841,Success,61841,spieler,Adam Smith,29/04/1991 (34),London,"1,74 m",England,Defender - Right-Back,right,Not found,Bournemouth,28/01/2014,30/06/2026,adidas,18,702,100,No,Not found,15,8
Tommy Smith,https://www.transfermarkt.com/tommy-smith/profil/spieler/176056,Success,176056,spieler,Tommy Smith,5/4/1945,Liverpool,"1,78 m",England,Defender - Centre-Back,right,Not found,Not found,Not found,Not found,Not found,0,0,0,No,Not found,Not found,0
Marvin Sordell,https://www.transfermarkt.com/marvin-sordell/profil/spieler/120599,Success,120599,spieler,Marvin Sordell,17/02/1991 (34),London,"1,79 m",England,Attack - Centre-Forward,right,Not found,Uxbridge FC,14/11/2025,-,Not found,1,135,18,No,Not found,Not found,1
Raheem Sterling,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425,Success,134425,spieler,Raheem Sterling,08/12/1994 (30),Kingston,"1,70 m",England  Jamaica,Attack - Right Winger,right,Not found,Chelsea,13/07/2022,30/06/2027,New Balance,16,333,58,No,Not found,Not found,11
Denis Stracqualursi,https://www.transfermarkt.com/denis-stracqualursi/profil/spieler/92544,Success,92544,spieler,Denis Stracqualursi,20/10/1987 (38),Rafaela,"1,91 m",Argentina  Italy,Attack - Centre-Forward,right,Not found,Union (S),1/1/2023,-,Not found,2,18,4,Yes,1/1/2023,Not found,2
Andrew Surman,https://www.transfermarkt.com/andrew-surman/profil/spieler/29975,Success,29975,spieler,Andrew Surman,20/08/1986 (39),"Johannesburg, Gauteng","1,78 m",England  South Africa,Midfield - Central Midfield,left,Not found,MK Dons,31/07/2021,-,Nike,9,397,53,Yes,31/07/2021,Not found,5
Adel Taarabt,https://www.transfermarkt.com/adel-taarabt/profil/spieler/45287,Success,45287,spieler,Adel Taarabt,24/05/1989 (36),Fès,"1,85 m",Morocco  France,Midfield - Central Midfield,right,Not found,Sharjah FC,26/01/2025,-,Nike,12,264,45,No,Not found,49,6
Taye Taiwo,https://www.transfermarkt.com/taye-taiwo/profil/spieler/28922,Success,28922,spieler,Taye Taiwo,16/04/1985 (40),Lagos,"1,82 m",Nigeria,Defender - Left-Back,left,Not found,SalPa,1/6/2022,-,Not found,3,50,9,Yes,1/6/2022,Not found,2
Alan Tate,https://www.transfermarkt.com/alan-tate/profil/spieler/7337,Success,7337,spieler,Alan Tate,02/09/1982 (43),Easington,"1,85 m",England,Defender - Centre-Back,right,Not found,Port Talbot,1/7/2016,-,Not found,3,318,27,Yes,1/7/2016,Not found,2
Neil Taylor,https://www.transfermarkt.com/neil-taylor/profil/spieler/67416,Success,67416,spieler,Neil Taylor,07/02/1989 (36),St Asaph,"1,76 m",Wales  India,Defender - Left-Back,left,Not found,Middlesbrough,1/7/2022,-,Not found,5,315,75,Yes,1/7/2022,Not found,4
Marc Tierney,https://www.transfermarkt.com/marc-tierney/profil/spieler/67346,Success,67346,spieler,Marc Tierney,23/08/1985 (40),Prestwich,"1,83 m",England  Ireland,Defender - Left-Back,left,Not found,Bolton,23/04/2015,-,Not found,2,610,95,Yes,23/04/2015,Not found,2
Armand Traoré,https://www.transfermarkt.com/armand-traor/profil/spieler/33783,Success,33783,spieler,Armand Traoré,08/10/1989 (36),Paris,"1,84 m",Senegal  France,Defender - Left-Back,left,Not found,Cardiff,7/1/2020,-,Not found,9,271,50,Yes,7/1/2020,Not found,4
Gerhard Tremmel,https://www.transfermarkt.com/gerhard-tremmel/profil/spieler/488,Success,488,spieler,Gerhard Tremmel,16/11/1978 (47),München,N/A,Germany,Goalkeeper,N/A,Not found,Swansea,17/07/2017,-,Not found,0,0,0,Yes,17/07/2017,Not found,0
Marcello Trotta,https://www.transfermarkt.com/marcello-trotta/profil/spieler/129505,Success,129505,spieler,Marcello Trotta,29/09/1992 (33),Santa Maria Capua Vetere,"1,88 m",Italy,Attack - Centre-Forward,left,Not found,Sora,7/8/2025,30/06/2026,Nike,8,306,24,No,Not found,29,7
Ross Turnbull,https://www.transfermarkt.com/ross-turnbull/profil/spieler/29159,Success,29159,spieler,Ross Turnbull,04/01/1985 (40),Bishop Auckland,"1,93 m",England,Goalkeeper,right,Not found,Leeds,1/7/2017,-,Not found,0,0,0,Yes,1/7/2017,Not found,0
Josh Vela,https://www.transfermarkt.com/josh-vela/profil/spieler/173804,Success,173804,spieler,Josh Vela,14/12/1993 (31),Salford,"1,81 m",England,Midfield - Central Midfield,right,Not found,Warrington,28/08/2025,30/06/2026,Not found,1,69,14,No,Not found,Not found,1
Michel Vorm,https://www.transfermarkt.com/michel-vorm/profil/spieler/26276,Success,26276,spieler,Michel Vorm,20/10/1983 (42),IJsselstein,"1,83 m",Netherlands  Suriname,Goalkeeper,right,Not found,Tottenham,27/07/2020,-,Not found,6,273,53,Yes,27/07/2020,Not found,5
Dorus de Vries,https://www.transfermarkt.com/dorus-de-vries/profil/spieler/6404,Success,6404,spieler,Dorus de Vries,29/12/1980 (44),Beverwijk,"1,91 m",Netherlands,Goalkeeper,right,Not found,Celtic,5/7/2019,-,Not found,2,25,4,Yes,5/7/2019,Not found,2
Haris Vučkić,https://www.transfermarkt.com/haris-vuki/profil/spieler/76560,Success,76560,spieler,Haris Vuckic,21/08/1992 (33),Ljubljana,"1,88 m",Slovenia,Attack - Second Striker,left,Not found,NK Domzale,13/08/2024,30/06/2026,Not found,7,933,164,No,Not found,10,5
Simon Vukčević,https://www.transfermarkt.com/simon-vukevi/profil/spieler/27239,Success,27239,spieler,Simon Vukcevic,29/01/1986 (39),Titograd,"1,80 m",Montenegro,Attack - Right Winger,left,Not found,B. Podgorica,29/03/2018,-,Not found,7,177,30,Yes,29/03/2018,Not found,4
Elliott Ward,https://www.transfermarkt.com/elliott-ward/profil/spieler/15838,Success,15838,spieler,Elliott Ward,19/01/1985 (40),Harrow,"1,85 m",England,Defender - Centre-Back,right,Not found,Chelmsford,1/7/2021,-,Not found,0,0,0,Yes,1/7/2021,Not found,0
Keiren Westwood,https://www.transfermarkt.com/keiren-westwood/profil/spieler/15164,Success,15164,spieler,Keiren Westwood,23/10/1984 (41),Manchester,"1,88 m",Ireland  England,Goalkeeper,left,Not found,Crewe Alexandra,1/11/2024,-,Not found,3,401,71,Yes,1/11/2024,Not found,2
Zak Whitbread,https://www.transfermarkt.com/zak-whitbread/profil/spieler/22230,Success,22230,spieler,Zak Whitbread,10/01/1984 (41),"Houston, Texas","1,88 m",United States  England,Defender - Centre-Back,left,Not found,Shrewsbury,1/7/2016,-,Not found,3,234,44,Yes,1/7/2016,Not found,2
Connor Wickham,https://www.transfermarkt.com/connor-wickham/profil/spieler/95435,Success,95435,spieler,Connor Wickham,31/03/1993 (32),Hereford,"1,89 m",England  Northern Ireland,Attack - Centre-Forward,right,Not found,Dubai City FC,26/09/2025,-,Nike,15,1194,173,No,Not found,99,10
Aaron Wilbraham,https://www.transfermarkt.com/aaron-wilbraham/profil/spieler/67202,Success,67202,spieler,Aaron Wilbraham,21/10/1979 (46),Knutsford,"1,91 m",England,Attack - Centre-Forward,right,Not found,Rochdale,1/7/2020,-,Not found,0,0,0,Yes,1/7/2020,Not found,0
Ashley Williams,https://www.transfermarkt.com/ashley-williams/profil/spieler/67355,Success,67355,spieler,Ashley Williams,23/08/1984 (41),Wolverhampton,"1,83 m",Wales  England,Defender - Centre-Back,right,Not found,Bristol City,26/01/2021,-,Nike,1,4,0,Yes,26/01/2021,Not found,1
Jonathan Woodgate,https://www.transfermarkt.com/jonathan-woodgate/profil/spieler/3224,Success,3224,spieler,Jonathan Woodgate,22/01/1980 (45),Nunthorpe,"1,88 m",England,Defender - Centre-Back,right,Not found,Middlesbrough,1/7/2016,-,Not found,8,568,113,Yes,1/7/2016,Not found,4
Nico Yennaris,https://www.transfermarkt.com/nico-yennaris/profil/spieler/122721,Success,122721,spieler,Nico Yennaris,24/05/1993 (32),London,"1,71 m",China  England,Midfield - Defensive Midfield,right,Not found,SH Shenhua,8/1/2025,31/12/2025,Nike,4,636,50,No,Not found,23,3
Karim El Ahmadi,https://www.transfermarkt.com/karim-el-ahmadi/profil/spieler/25523,Success,25523,spieler,Karim El Ahmadi,27/01/1985 (40),Enschede,"1,79 m",Morocco  Netherlands,Midfield - Defensive Midfield,right,Not found,Al-Ittihad,31/01/2022,-,Not found,8,160,23,Yes,31/01/2022,Not found,8
Nathan Aké,https://www.transfermarkt.com/nathan-ak/profil/spieler/177476,Success,177476,spieler,Nathan Aké,18/02/1995 (30),Den Haag,"1,80 m",Netherlands  Cote d'Ivoire,Defender - Centre-Back,left,Not found,Man City,5/8/2020,30/06/2027,Nike,18,446,100,No,Not found,6,8
Hope Akpan,https://www.transfermarkt.com/hope-akpan/profil/spieler/61559,Success,61559,spieler,Hope Akpan,14/08/1991 (34),Liverpool,"1,85 m",Nigeria  England,Midfield - Central Midfield,right,Not found,Widnes,1/7/2022,-,Not found,1,23,4,Yes,1/7/2022,Not found,1
Vurnon Anita,https://www.transfermarkt.com/vurnon-anita/profil/spieler/30670,Success,30670,spieler,Vurnon Anita,04/04/1989 (36),Willemstad,"1,69 m",Curacao  Netherlands,Midfield - Defensive Midfield,right,Not found,Ajax Amateurs,31/10/2025,-,adidas,4,115,23,No,Not found,Not found,4
Oussama Assaidi,https://www.transfermarkt.com/oussama-assaidi/profil/spieler/57275,Success,57275,spieler,Oussama Assaidi,15/08/1988 (37),Beni-Boughafar,"1,75 m",Morocco  Netherlands,Attack - Left Winger,right,Not found,Twente FC,1/7/2019,-,Not found,0,0,0,Yes,1/7/2019,Not found,0
César Azpilicueta,https://www.transfermarkt.com/csar-azpilicueta/profil/spieler/57500,Success,57500,spieler,César Azpilicueta,28/08/1989 (36),Pamplona,"1,78 m",Spain,Defender - Centre-Back,right,Not found,Sevilla FC,29/08/2025,30/06/2026,adidas,11,385,85,No,Not found,3,7
Kyle Bartley,https://www.transfermarkt.com/kyle-bartley/profil/spieler/67421,Success,67421,spieler,Kyle Bartley,22/05/1991 (34),Stockport,"1,94 m",England  Jamaica,Defender - Centre-Back,right,Not found,West Brom,8/8/2025,-,Not found,9,607,121,Yes,8/8/2025,Not found,7
Luciano Becchio,https://www.transfermarkt.com/luciano-becchio/profil/spieler/71020,Success,71020,spieler,Luciano Becchio,28/12/1983 (41),Córdoba,"1,87 m",Argentina  Italy,Attack - Centre-Forward,left,Not found,UD Alaro,1/7/2023,-,Not found,0,0,0,Yes,1/7/2023,Not found,0
Joe Bennett,https://www.transfermarkt.com/joe-bennett/profil/spieler/90964,Success,90964,spieler,Joe Bennett,28/03/1990 (35),Rochdale,"1,78 m",England,Defender - Left-Back,left,Not found,Walton & Hersh.,11/10/2025,-,Not found,10,647,61,No,Not found,17,6
Christian Benteke,https://www.transfermarkt.com/christian-benteke/profil/spieler/50201,Success,50201,spieler,Christian Benteke,03/12/1990 (34),Kinshasa,"1,90 m",Belgium  DR Congo,Attack - Centre-Forward,right,Not found,D.C. United,4/8/2022,31/12/2025,Nike,18,621,111,No,Not found,20,11
Gaël Bigirimana,https://www.transfermarkt.com/gal-bigirimana/profil/spieler/158697,Success,158697,spieler,Gaël Bigirimana,22/10/1993 (32),Bujumbura,"1,75 m",Burundi  England,Midfield - Defensive Midfield,right,Not found,Dungannon,11/7/2024,31/05/2027,Not found,7,150,25,No,Not found,34,3
Fabio Borini,https://www.transfermarkt.com/fabio-borini/profil/spieler/96754,Success,96754,spieler,Fabio Borini,29/03/1991 (34),Bentivoglio,"1,80 m",Italy,Attack - Centre-Forward,right,Not found,Salford,17/10/2025,31/12/2025,Not found,24,831,157,No,Not found,16,10
Artur Boruc,https://www.transfermarkt.com/artur-boruc/profil/spieler/15220,Success,15220,spieler,Artur Boruc,20/02/1980 (45),Siedlce,"1,93 m",Poland,Goalkeeper,right,Not found,Legia Warszawa,1/7/2022,-,New Balance,3,92,20,Yes,1/7/2022,Not found,3
Jordan Bowery,https://www.transfermarkt.com/jordan-bowery/profil/spieler/94655,Success,94655,spieler,Jordan Bowery,02/07/1991 (34),Nottingham,"1,85 m",St. Kitts & Nevis  England,Defender - Centre-Back,right,Not found,Mansfield Town,1/7/2020,30/06/2026,Not found,0,0,0,No,Not found,9,0
Izzy Brown,https://www.transfermarkt.com/izzy-brown/profil/spieler/245805,Success,245805,spieler,Izzy Brown,07/01/1997 (28),Peterborough,"1,82 m",England  Jamaica,Attack - Left Winger,right,Not found,Preston,6/4/2023,-,Nike,7,525,38,Yes,6/4/2023,Not found,5
Alexander Büttner,https://www.transfermarkt.com/alexander-bttner/profil/spieler/38003,Success,38003,spieler,Alexander Büttner,11/02/1989 (36),Doetinchem,"1,74 m",Netherlands,Defender - Left-Back,left,Not found,Vitesse,7/8/2024,30/06/2026,Nike,7,197,21,No,Not found,28,6
Geoff Cameron,https://www.transfermarkt.com/geoff-cameron/profil/spieler/31642,Success,31642,spieler,Geoff Cameron,11/07/1985 (40),"Attleboro, Massachusetts","1,90 m",United States,Defender - Centre-Back,right,Not found,Cincinnati,4/5/2023,-,Nike,3,203,35,Yes,4/5/2023,Not found,3
Lee Camp,https://www.transfermarkt.com/lee-camp/profil/spieler/42411,Success,42411,spieler,Fraizer Campbell,13/09/1987 (38),Huddersfield,"1,72 m",England  Jamaica,Attack - Centre-Forward,right,Not found,Huddersfield,1/7/2022,-,Not found,6,644,108,Yes,1/7/2022,Not found,4
Eduard Campabadal,https://www.transfermarkt.com/eduard-campabadal/profil/spieler/126722,Success,126722,spieler,Edu Campabadal,26/01/1993 (32),Tarragona,"1,78 m",Spain,Defender - Right-Back,right,Not found,Real Avilés,18/07/2025,30/06/2026,Not found,5,383,40,No,Not found,20,3
Adam Campbell,https://www.transfermarkt.com/adam-campbell/profil/spieler/204354,Success,204354,spieler,Adam Campbell,01/01/1995 (30),North Shields,"1,69 m",England,Attack - Left Winger,right,Not found,Hartlepool,1/7/2024,30/06/2025,Not found,1,47,7,No,Not found,10,1
Daniel Carriço,https://www.transfermarkt.com/daniel-carrio/profil/spieler/37712,Success,37712,spieler,Daniel Carriço,04/08/1988 (37),Cascais,"1,83 m",Portugal,Defender - Centre-Back,right,Not found,UD Almería,14/04/2023,-,Not found,30,989,177,Yes,14/04/2023,Not found,12
Tom Carroll,https://www.transfermarkt.com/tom-carroll/profil/spieler/121279,Success,121279,spieler,Tom Carroll,28/05/1992 (33),Watford,"1,77 m",England,Midfield - Central Midfield,left,Not found,Without Club,1/7/2025,-,Not found,10,407,66,No,Not found,Not found,5
Santi Cazorla,https://www.transfermarkt.com/santi-cazorla/profil/spieler/15799,Success,15799,spieler,Santi Cazorla,13/12/1984 (40),Lugo de Llanera,"1,68 m",Spain,Midfield - Central Midfield,both,Not found,Real Oviedo,16/08/2023,30/06/2026,Puma,9,1003,194,No,Not found,8,7
Júlio César,https://www.transfermarkt.com/jlio-csar/profil/spieler/22412,Success,22412,spieler,Júlio César,03/09/1979 (46),Duque de Caxias,"1,86 m",Brazil,Goalkeeper,left,Not found,Flamengo,29/04/2018,-,Not found,13,409,77,Yes,29/04/2018,Not found,7
Richard Chaplow,https://www.transfermarkt.com/richard-chaplow/profil/spieler/9975,Success,9975,spieler,Richard Chaplow,02/02/1985 (40),Accrington,"1,75 m",England,Midfield - Central Midfield,right,Not found,Orange County,1/12/2018,-,Not found,1,60,10,Yes,1/12/2018,Not found,1
Nathaniel Clyne,https://www.transfermarkt.com/nathaniel-clyne/profil/spieler/85177,Success,85177,spieler,Nathaniel Clyne,05/04/1991 (34),London,"1,75 m",England  Grenada,Defender - Right-Back,right,Not found,Crystal Palace,14/10/2020,30/06/2026,Not found,7,682,114,No,Not found,17,6
Conor Coady,https://www.transfermarkt.com/conor-coady/profil/spieler/128901,Success,128901,spieler,Conor Coady,25/02/1993 (32),Liverpool,"1,85 m",England,Defender - Centre-Back,right,Not found,Wrexham,1/8/2025,30/06/2027,adidas,1,19,4,No,Not found,6,1
Jack Cork,https://www.transfermarkt.com/jack-cork/profil/spieler/40613,Success,40613,spieler,Jack Cork,25/06/1989 (36),London,"1,85 m",England,Midfield - Defensive Midfield,right,Not found,Burnley U21,3/10/2024,-,Not found,8,365,75,No,Not found,Not found,5
Philippe Coutinho,https://www.transfermarkt.com/philippe-coutinho/profil/spieler/80444,Success,80444,spieler,Philippe Coutinho,12/06/1992 (33),Rio de Janeiro,"1,72 m",Brazil  Portugal,Midfield - Attacking Midfield,right,Not found,Vasco da Gama,4/7/2025,30/06/2026,Nike,28,992,202,No,Not found,10,16
Shaun Cummings,https://www.transfermarkt.com/shaun-cummings/profil/spieler/40614,Success,40614,spieler,Shaun Cummings,25/02/1989 (36),London,"1,83 m",Jamaica  England,Defender - Right-Back,right,Not found,Doncaster,1/7/2020,-,Not found,0,0,0,Yes,1/7/2020,Not found,0
Ben Davies,https://www.transfermarkt.com/ben-davies/profil/spieler/192765,Success,192765,spieler,Ben Davies,24/04/1993 (32),Neath,"1,81 m",Wales,Defender - Centre-Back,left,Not found,Tottenham,23/07/2014,30/06/2026,adidas,20,620,114,No,Not found,33,13
Kelvin Davis,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640,Success,13640,spieler,Kelvin Davis,29/09/1976 (49),Leighton Buzzard,"1,85 m",England,Goalkeeper,right,Not found,Southampton,1/7/2016,-,Not found,1,34,6,Yes,1/7/2016,Not found,1
Steven Davis,https://www.transfermarkt.com/steven-davis/profil/spieler/28973,Success,28973,spieler,Steven Davis,01/01/1985 (40),Ballymena,"1,72 m",Northern Ireland,Midfield - Central Midfield,right,Not found,Rangers,25/01/2024,-,Nike,6,501,83,Yes,25/01/2024,Not found,5
Simon Dawkins,https://www.transfermarkt.com/simon-dawkins/profil/spieler/57488,Success,57488,spieler,Simon Dawkins,01/12/1987 (37),Edgware,"1,77 m",Jamaica  England,Attack - Left Winger,right,Not found,Monterey Bay,1/8/2024,-,Not found,4,110,23,Yes,1/8/2024,Not found,3
Steve De Ridder,https://www.transfermarkt.com/steve-de-ridder/profil/spieler/41818,Success,41818,spieler,Steve De Ridder,25/02/1987 (38),Gent,"1,78 m",Belgium,Midfield - Central Midfield,right,Not found,Without Club,18/12/2024,-,Not found,4,371,27,No,Not found,Not found,3
Mathieu Debuchy,https://www.transfermarkt.com/mathieu-debuchy/profil/spieler/27306,Success,27306,spieler,Mathieu Debuchy,28/07/1985 (40),Fretin,"1,77 m",France,Defender - Right-Back,right,Not found,Valenciennes FC,1/7/2023,-,adidas,22,762,131,Yes,1/7/2023,Not found,11
Ashkan Dejagah,https://www.transfermarkt.com/ashkan-dejagah/profil/spieler/13979,Success,13979,spieler,Ashkan Dejagah,05/07/1986 (39),Tehran,"1,81 m",Iran  Germany,Attack - Right Winger,right,Not found,Foolad,17/05/2024,-,Nike,10,419,84,Yes,17/05/2024,Not found,7
Guy Demel,https://www.transfermarkt.com/guy-demel/profil/spieler/1368,Success,1368,spieler,Guy Demel,13/06/1981 (44),Orsay,"1,88 m",Cote d'Ivoire  France,Defender - Right-Back,right,Not found,Red Star FC,1/7/2017,-,Not found,10,239,40,Yes,1/7/2017,Not found,7
Alou Diarra,https://www.transfermarkt.com/alou-diarra/profil/spieler/1327,Success,1327,spieler,Alou Diarra,15/07/1981 (44),Villepinte,"1,89 m",France  Mali,Midfield - Defensive Midfield,right,Not found,AS Nancy,1/7/2017,-,Not found,2,160,23,Yes,1/7/2017,Not found,2
Maurice Edu,https://www.transfermarkt.com/maurice-edu/profil/spieler/50987,Success,50987,spieler,Maurice Edu,18/04/1986 (39),"Fontana, California","1,83 m",United States  Nigeria,Midfield - Defensive Midfield,right,Not found,Philadelphia,1/1/2018,-,Not found,7,783,84,Yes,1/1/2018,Not found,4
Rob Elliot,https://www.transfermarkt.com/rob-elliot/profil/spieler/39037,Success,39037,spieler,Rob Elliot,30/04/1986 (39),London,"1,90 m",Ireland  England,Goalkeeper,left,Not found,Gateshead,1/10/2024,-,Not found,6,501,67,Yes,1/10/2024,Not found,5
Urby Emanuelson,https://www.transfermarkt.com/urby-emanuelson/profil/spieler/20586,Success,20586,spieler,Urby Emanuelson,16/06/1986 (39),Amsterdam,"1,76 m",Netherlands  Suriname,Midfield - Central Midfield,left,Not found,Ajax Amateurs,1/7/2023,-,adidas,8,118,22,Yes,1/7/2023,Not found,6
Eyong Enoh,https://www.transfermarkt.com/eyong-enoh/profil/spieler/47344,Success,47344,spieler,Eyong Enoh,23/03/1986 (39),Kumba,"1,73 m",Cameroon,Midfield - Defensive Midfield,both,Not found,Ajax Amateurs,1/7/2022,-,Not found,7,475,60,Yes,1/7/2022,Not found,4
Roger Espinoza,https://www.transfermarkt.com/roger-espinoza/profil/spieler/71096,Success,71096,spieler,Róger Espinoza,25/10/1986 (39),Puerto Cortés,"1,78 m",Honduras  United States,Midfield - Central Midfield,left,Not found,Des Moines,26/06/2024,-,Not found,5,350,52,Yes,26/06/2024,Not found,5
Iago Falque,https://www.transfermarkt.com/iago-falque/profil/spieler/59340,Success,59340,spieler,Iago Falque,04/01/1990 (35),Vigo,"1,74 m",Spain,Attack - Right Winger,left,Not found,LD Alajuelense,10/5/2025,-,Nike,24,659,112,Yes,10/5/2025,Not found,11
Adam Federici,https://www.transfermarkt.com/adam-federici/profil/spieler/4233,Success,4233,spieler,Adam Federici,31/01/1985 (40),Nowra,"1,88 m",Australia  Italy,Goalkeeper,right,Not found,Macarthur,23/10/2021,-,Not found,3,272,34,Yes,23/10/2021,Not found,3
Chico Flores,https://www.transfermarkt.com/chico-flores/profil/spieler/51681,Success,51681,spieler,Chico Flores,06/03/1987 (38),Cádiz,"1,87 m",Spain,Defender - Centre-Back,right,Not found,CF Fuenlabrada,24/08/2020,-,Not found,7,226,37,Yes,24/08/2020,Not found,5
José Fonte,https://www.transfermarkt.com/jos-fonte/profil/spieler/33829,Success,33829,spieler,José Fonte,22/12/1983 (41),Penafiel,"1,91 m",Portugal,Defender - Centre-Back,right,Not found,Casa Pia,10/7/2024,30/06/2026,Not found,3,148,32,No,Not found,6,3
Danny Fox,https://www.transfermarkt.com/danny-fox/profil/spieler/31553,Success,31553,spieler,Danny Fox,29/05/1986 (39),Winsford,"1,83 m",Scotland  England,Defender - Left-Back,left,Not found,Winsford,1/7/2023,-,Not found,4,91,15,No,Not found,Not found,3
Fraser Fyvie,https://www.transfermarkt.com/fraser-fyvie/profil/spieler/107350,Success,107350,spieler,Fraser Fyvie,27/03/1993 (32),Aberdeen,"1,72 m",Scotland,Midfield - Central Midfield,right,Not found,Cove Rangers,17/08/2019,31/05/2026,Not found,7,892,157,No,Not found,24,7
Javi García,https://www.transfermarkt.com/javi-garca/profil/spieler/36350,Success,36350,spieler,Javi García,08/02/1987 (38),Mula,"1,87 m",Spain,Midfield - Defensive Midfield,right,Not found,Boavista,1/7/2022,-,Not found,11,220,36,Yes,1/7/2022,Not found,7
Javier Garrido,https://www.transfermarkt.com/javier-garrido/profil/spieler/7571,Success,7571,spieler,Javier Garrido,01/07/1979 (46),Valencia,"1,76 m",Spain,Defender - Right-Back,right,Not found,Valencia,1/7/2006,-,Not found,0,0,0,Yes,1/7/2006,Not found,0
Paulo Gazzaniga,https://www.transfermarkt.com/paulo-gazzaniga/profil/spieler/195488,Success,195488,spieler,Paulo Gazzaniga,02/01/1992 (33),Murphy,"1,95 m",Argentina  Italy,Goalkeeper,right,Not found,Girona,1/7/2023,30/06/2027,adidas,1,20,2,No,Not found,13,1
