player_name,player_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons
Michael Owen,https://www.transfermarkt.com/michael-owen/profil/spieler/1397,Success,1397,spieler,Michael Owen,14/12/1979 (45),Chester,"1,73 m",England,Attack - Centre-Forward,both,Not found,Stoke City,1/7/2013,-,Not found,9,877,165,Yes,1/7/2013,Not found,6
Daniel Pacheco,https://www.transfermarkt.com/daniel-pacheco/profil/spieler/28285,Success,28285,spieler,Dani Pacheco,05/01/1991 (34),Málaga,"1,68 m",Spain,Midfield - Attacking Midfield,both,Not found,Wisla Plock,16/07/2024,30/06/2026,Not found,6,234,32,No,Not found,8,3
John Paintsil,https://www.transfermarkt.com/john-paintsil/profil/spieler/35235,Success,35235,spieler,John Paintsil,15/06/1981 (44),Berekum,"1,78 m",Ghana,Defender - Right-Back,right,Not found,Maritzburg Utd.,1/7/2016,-,Not found,1,94,29,Yes,1/7/2016,Not found,1
Wilson Palacios,https://www.transfermarkt.com/wilson-palacios/profil/spieler/58361,Success,58361,spieler,Wilson Palacios,29/07/1984 (41),La Ceiba,"1,81 m",Honduras,Midfield - Defensive Midfield,right,Not found,Real Sociedad,1/1/2020,-,Not found,0,0,0,Yes,1/1/2020,Not found,0
Scott Parker,https://www.transfermarkt.com/scott-parker/profil/spieler/3785,Success,3785,spieler,Scott Parker,13/10/1980 (45),London,"1,80 m",England,Midfield - Central Midfield,right,Not found,Fulham,1/7/2017,-,Not found,8,339,71,Yes,1/7/2017,Not found,8
Stuart Parnaby,https://www.transfermarkt.com/stuart-parnaby/profil/spieler/3866,Success,3866,spieler,Stuart Parnaby,19/07/1982 (43),Durham,"1,78 m",England,Defender - Right-Back,right,Not found,Hartlepool,10/9/2015,-,Not found,0,0,0,Yes,10/9/2015,Not found,0
Roman Pavlyuchenko,https://www.transfermarkt.com/roman-pavlyuchenko/profil/spieler/15072,Success,15072,spieler,Roman Pavlyuchenko,15/12/1981 (43),"Mostovskoy, Krasnodar Region","1,88 m",Russia,Attack - Centre-Forward,right,Not found,Znamya Noginsk,27/10/2022,-,Not found,6,132,19,Yes,27/10/2022,Not found,6
Jermaine Pennant,https://www.transfermarkt.com/jermaine-pennant/profil/spieler/3195,Success,3195,spieler,Jermaine Pennant,15/01/1983 (42),Nottingham,"1,73 m",England  Jamaica,Attack - Right Winger,right,Not found,Billericay,10/2/2018,-,Not found,3,36,8,Yes,10/2/2018,Not found,3
James Perch,https://www.transfermarkt.com/james-perch/profil/spieler/49409,Success,49409,spieler,James Perch,28/09/1985 (40),Mansfield,"1,80 m",England  Jamaica,Defender - Centre-Back,right,Not found,Ilkeston Town,3/1/2025,-,Not found,1,311,51,Yes,3/1/2025,Not found,1
Robin van Persie,https://www.transfermarkt.com/robin-van-persie/profil/spieler/4380,Success,4380,spieler,Robin van Persie,06/08/1983 (42),Rotterdam,"1,83 m",Netherlands,Attack - Centre-Forward,left,Not found,Feyenoord,1/7/2019,-,Not found,30,741,150,Yes,1/7/2019,Not found,10
Martin Petrov,https://www.transfermarkt.com/martin-petrov/profil/spieler/670,Success,670,spieler,Martin Petrov,15/01/1979 (46),Vratsa,N/A,Bulgaria,Attack - Left Winger,N/A,Not found,CSKA Sofia,1/7/2014,-,Not found,4,194,39,Yes,1/7/2014,Not found,2
Stiliyan Petrov,https://www.transfermarkt.com/stiliyan-petrov/profil/spieler/3252,Success,3252,spieler,Stiliyan Petrov,05/07/1979 (46),Montana,"1,80 m",Bulgaria,Midfield - Central Midfield,right,Not found,Aston Villa,15/07/2016,-,Not found,2,1543,5,Yes,15/07/2016,Not found,2
Kevin Phillips,https://www.transfermarkt.com/kevin-phillips/profil/spieler/3131,Success,3131,spieler,Kevin Phillips,25/07/1973 (52),Hitchin,"1,70 m",England,Attack - Centre-Forward,right,Not found,Leicester,4/5/2014,-,Not found,1,32,4,Yes,4/5/2014,Not found,1
Matt Phillips,https://www.transfermarkt.com/matt-phillips/profil/spieler/77274,Success,77274,spieler,Matt Phillips,13/03/1991 (34),Aylesbury,"1,83 m",Scotland  England,Attack - Right Winger,right,Not found,Oxford United,1/8/2024,-,Not found,7,427,67,No,Not found,10,5
