player_name,transfermarkt_id,transfermarkt_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket
David Bentley,3205,https://www.transfermarkt.com/david-bentley/profil/spieler/3205,4/5/2004,19 years 08 months 07 days,19,Premier League,10/9/2011,27,27,Championship,19
Dimitar Berbatov,65,https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65,4/8/2000,19 years 06 months 05 days,19,efbet Liga,No second tier career,No second tier career,No second tier career,No second tier career,19
Christophe Berra,36602,https://www.transfermarkt.com/christophe-berra/profil/spieler/36602,30/11/2003,18 years 09 months 30 days,18,Scottish Premiership,7/2/2009,24,24,Championship,18
Ryan Bertrand,40611,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,20/04/2011,21 years 08 months 15 days,21,Premier League,12/1/2008,18,18,Championship,18
Leon Best,28244,https://www.transfermarkt.com/leon-best/profil/spieler/28244,19/09/2004,18 years 00 days,18,Premier League,18/12/2004,18,18,Championship,18
Habib Beye,3923,https://www.transfermarkt.com/habib-beye/profil/spieler/3923,30/08/1998,20 years 10 months 11 days,20,Ligue 1,29/07/2001,23,23,Ligue 2,20
Diniyar Bilyaletdinov,16690,https://www.transfermarkt.com/diniyar-bilyaletdinov/profil/spieler/16690,28/03/2004,19 years 01 month 01 day,19,Premier Liga,No second tier career,No second tier career,No second tier career,No second tier career,19
Mame Biram Diouf,62049,https://www.transfermarkt.com/mame-biram-diouf/profil/spieler/62049,30/03/2008,20 years 03 months 14 days,20,Eliteserien,9/4/2007,19,19,OBOS-ligaen,19
Robbie Blake,3490,https://www.transfermarkt.com/robbie-blake/profil/spieler/3490,25/08/1999,23 years 05 months 21 days,23,Premier League,29/03/1997,21,21,,21
Luís Boa Morte,3422,https://www.transfermarkt.com/lus-boa-morte/profil/spieler/3422,23/08/1997,20 years 19 days,20,Premier League,12/8/2000,23,23,,20
Jérôme Boateng,26485,https://www.transfermarkt.com/jrme-boateng/profil/spieler/26485,31/01/2007,18 years 04 months 28 days,18,1.Bundesliga,No second tier career,No second tier career,No second tier career,No second tier career,18
Ruud Boffin,31336,https://www.transfermarkt.com/ruud-boffin/profil/spieler/31336,30/01/2010,22 years 02 months 25 days,22,VriendenLoterij Eredivisie,14/09/2007,19,19,Keuken Kampioen Divisie,19
Ádám Bogdán,55247,https://www.transfermarkt.com/dm-bogdn/profil/spieler/55247,17/04/2021,33 years 06 months 21 days,33,,18/08/2012,24,24,Championship,24
Mauro Boselli,40822,https://www.transfermarkt.com/mauro-boselli/profil/spieler/40822,29/05/2005,20 years 07 days,20,Torneo Final,4/9/2005,20,20,Segunda División,20
José Bosingwa,9813,https://www.transfermarkt.com/jos-bosingwa/profil/spieler/9813,7/9/2001,19 years 14 days,19,Liga Portugal,No second tier career,No second tier career,No second tier career,No second tier career,19
Lee Bowyer,3877,https://www.transfermarkt.com/lee-bowyer/profil/spieler/3877,17/08/1996,19 years 07 months 14 days,19,Premier League,12/8/1995,18,18,,18
Dedryck Boyata,88262,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262,11/1/2010,19 years 01 month 14 days,19,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,19
Emmerson Boyce,19641,https://www.transfermarkt.com/emmerson-boyce/profil/spieler/19641,14/08/2004,24 years 10 months 21 days,24,Premier League,6/8/2005,25,25,Championship,24
Michael Bradley,30593,https://www.transfermarkt.com/michael-bradley/profil/spieler/30593,2/4/2005,17 years 08 months 02 days,17,Major League Soccer,No second tier career,No second tier career,No second tier career,No second tier career,17
Titus Bramble,3130,https://www.transfermarkt.com/titus-bramble/profil/spieler/3130,19/08/2000,19 years 19 days,19,Premier League,20/12/1998,17,17,,17
Wayne Bridge,3682,https://www.transfermarkt.com/wayne-bridge/profil/spieler/3682,16/08/1998,18 years 11 days,18,Premier League,18/08/2012,32,32,Championship,18
Matthew Briggs,51318,https://www.transfermarkt.com/matthew-briggs/profil/spieler/51318,13/05/2007,16 years 02 months 07 days,16,Premier League,14/02/2012,20,20,Championship,16
Wes Brown,3405,https://www.transfermarkt.com/wes-brown/profil/spieler/3405,4/5/1998,18 years 06 months 21 days,18,Premier League,17/12/2016,37,37,Championship,18
Jeffrey Bruma,88721,https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721,24/10/2009,17 years 11 months 11 days,17,Premier League,12/2/2011,19,19,Championship,17
Chris Brunt,36814,https://www.transfermarkt.com/chris-brunt/profil/spieler/36814,16/08/2008,23 years 08 months 02 days,23,Premier League,6/8/2005,20,20,Championship,20
Mark Bunn,49319,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319,28/12/2010,26 years 01 month 12 days,26,Premier League,7/8/2009,24,24,Championship,24
Gary Cahill,27511,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511,1/4/2006,20 years 03 months 13 days,20,Premier League,13/11/2004,18,18,Championship,18
Tim Cahill,13556,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556,30/08/2004,24 years 08 months 24 days,24,Premier League,11/8/2001,21,21,First Division (until 03/04),21
Gary Caldwell,3791,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791,16/01/2010,27 years 09 months 04 days,27,Premier League,31/08/2002,20,20,First Division (until 03/04),20
Steven Caldwell,3462,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462,30/09/2000,20 years 18 days,20,Premier League,8/12/2001,21,21,First Division (until 03/04),20
DJ Campbell,37896,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896,4/2/2006,24 years 02 months 23 days,24,Premier League,5/8/2006,24,24,Championship,24
Fraizer Campbell,42411,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411,19/08/2007,19 years 11 months 06 days,19,Premier League,23/08/2006,18,18,Challenger Pro League,18
Sol Campbell,3198,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198,5/12/1992,18 years 02 months 17 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18
John Carew,3570,https://www.transfermarkt.com/john-carew/profil/spieler/3570,13/04/1998,18 years 07 months 08 days,18,Eliteserien,21/08/2011,31,31,Championship,18
David Carney,10387,https://www.transfermarkt.com/david-carney/profil/spieler/10387,2/9/2005,21 years 09 months 03 days,21,A-League Men,18/09/2007,23,23,Championship,21
Stephen Carr,4046,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046,26/09/1993,17 years 28 days,17,Premier League,24/02/2009,32,32,Championship,17
Jamie Carragher,3597,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597,11/1/1997,18 years 11 months 14 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18
Michael Carrick,3878,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878,28/08/1999,18 years 01 month 00 days,18,Premier League,12/11/1999,18,18,,18
Andy Carroll,48066,https://www.transfermarkt.com/andy-carroll/profil/spieler/48066,25/02/2007,18 years 01 month 19 days,18,Premier League,18/08/2007,18,18,Championship,18
Scott Carson,14555,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,31/01/2004,18 years 04 months 28 days,18,Premier League,11/3/2006,20,20,Championship,18
Craig Cathcart,59606,https://www.transfermarkt.com/craig-cathcart/profil/spieler/59606,14/08/2010,21 years 06 months 08 days,21,Premier League,15/09/2007,18,18,Challenger Pro League,18
Lee Cattermole,37363,https://www.transfermarkt.com/lee-cattermole/profil/spieler/37363,2/1/2006,17 years 09 months 12 days,17,Premier League,4/8/2017,29,29,Championship,17
Marek Čech,21354,https://www.transfermarkt.com/marek-ech/profil/spieler/21354,7/8/2004,21 years 06 months 12 days,21,Fortuna Liga,8/8/2009,26,26,Championship,21
Petr Čech,5658,https://www.transfermarkt.com/petr-ech/profil/spieler/5658,30/10/1999,17 years 05 months 10 days,17,,No second tier career,No second tier career,No second tier career,No second tier career,17
Marouane Chamakh,19085,https://www.transfermarkt.com/marouane-chamakh/profil/spieler/19085,8/2/2003,19 years 29 days,19,Ligue 1,19/10/2016,32,32,Championship,19
Pascal Chimbonda,18875,https://www.transfermarkt.com/pascal-chimbonda/profil/spieler/18875,29/04/2000,21 years 02 months 08 days,21,Ligue 1,12/8/2000,21,21,Ligue 2,21
Ciaran Clark,98240,https://www.transfermarkt.com/ciaran-clark/profil/spieler/98240,30/08/2009,19 years 11 months 04 days,19,Premier League,17/08/2016,26,26,Championship,19
Tom Cleverley,73484,https://www.transfermarkt.com/tom-cleverley/profil/spieler/73484,11/9/2010,21 years 30 days,21,Premier League,18/08/2009,20,20,Championship,20
Gaël Clichy,7449,https://www.transfermarkt.com/gal-clichy/profil/spieler/7449,22/11/2003,18 years 03 months 27 days,18,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,18
Tamir Cohen,24209,https://www.transfermarkt.com/tamir-cohen/profil/spieler/24209,25/11/2002,18 years 08 months 21 days,18,Ligat ha'Al,No second tier career,No second tier career,No second tier career,No second tier career,18
Jack Colback,61644,https://www.transfermarkt.com/jack-colback/profil/spieler/61644,9/5/2010,20 years 06 months 15 days,20,Premier League,22/08/2009,19,19,Championship,19
Ashley Cole,3182,https://www.transfermarkt.com/ashley-cole/profil/spieler/3182,14/05/2000,19 years 04 months 24 days,19,Premier League,26/02/2000,19,19,,19
Carlton Cole,3179,https://www.transfermarkt.com/carlton-cole/profil/spieler/3179,6/4/2002,18 years 05 months 25 days,18,Premier League,30/11/2002,19,19,First Division (until 03/04),18
Joe Cole,3876,https://www.transfermarkt.com/joe-cole/profil/spieler/3876,10/1/1999,17 years 02 months 02 days,17,Premier League,10/7/2016,34,34,NASL Fall Championship,17
Séamus Coleman,68390,https://www.transfermarkt.com/samus-coleman/profil/spieler/68390,17/10/2006,18 years 06 days,18,Premier Division,20/03/2010,21,21,Championship,18
Danny Collins,26183,https://www.transfermarkt.com/danny-collins/profil/spieler/26183,5/11/2005,25 years 02 months 30 days,25,Premier League,25/10/2004,24,24,Championship,24
James Collins,12691,https://www.transfermarkt.com/james-collins/profil/spieler/12691,29/10/2005,22 years 02 months 06 days,22,Premier League,9/8/2003,19,19,First Division (until 03/04),19
Jack Collison,61568,https://www.transfermarkt.com/jack-collison/profil/spieler/61568,1/1/2008,19 years 02 months 30 days,19,Premier League,7/8/2011,22,22,Championship,19
Fabricio Coloccini,6150,https://www.transfermarkt.com/fabricio-coloccini/profil/spieler/6150,27/10/2004,22 years 09 months 05 days,22,Serie A,8/8/2009,27,27,Championship,22
Jordan Cook,61646,https://www.transfermarkt.com/jordan-cook/profil/spieler/61646,26/12/2010,20 years 09 months 06 days,20,Premier League,18/08/2012,22,22,Championship,20
Vedran Ćorluka,34393,https://www.transfermarkt.com/vedran-orluka/profil/spieler/34393,24/07/2004,18 years 05 months 19 days,18,SuperSport HNL,No second tier career,No second tier career,No second tier career,No second tier career,18
Manuel da Costa,37398,https://www.transfermarkt.com/manuel-da-costa/profil/spieler/37398,11/1/2006,19 years 08 months 05 days,19,Ligue 1,23/01/2022,35,35,Challenger Pro League,19
Simon Cox,37150,https://www.transfermarkt.com/simon-cox/profil/spieler/37150,14/08/2010,23 years 03 months 17 days,23,Premier League,26/11/2005,18,18,Championship,18
Jody Craddock,4129,https://www.transfermarkt.com/jody-craddock/profil/spieler/4129,20/11/1999,24 years 03 months 26 days,24,Premier League,18/10/1997,22,22,,22
Stephen Crainey,9499,https://www.transfermarkt.com/stephen-crainey/profil/spieler/9499,11/3/2000,18 years 08 months 18 days,18,,14/08/2004,23,23,Championship,18
Peter Crouch,4072,https://www.transfermarkt.com/peter-crouch/profil/spieler/4072,30/03/2002,21 years 02 months 00 days,21,Premier League,12/8/2000,19,19,,19
Carlo Cudicini,3151,https://www.transfermarkt.com/carlo-cudicini/profil/spieler/3151,20/10/1996,23 years 01 month 14 days,23,Serie A,16/11/1997,24,24,Serie B,23
Carlos Cuéllar,16576,https://www.transfermarkt.com/carlos-cullar/profil/spieler/16576,19/10/2003,22 years 01 month 26 days,22,LaLiga,21/10/2001,20,20,Segunda División,20
Scott Dann,62688,https://www.transfermarkt.com/scott-dann/profil/spieler/62688,19/09/2009,22 years 07 months 05 days,22,Premier League,2/2/2008,20,20,Championship,20
Curtis Davies,18227,https://www.transfermarkt.com/curtis-davies/profil/spieler/18227,17/09/2005,20 years 06 months 02 days,20,Premier League,6/8/2005,20,20,Championship,20
Kevin Davies,4114,https://www.transfermarkt.com/kevin-davies/profil/spieler/4114,9/8/1997,20 years 04 months 14 days,20,Premier League,7/8/1999,22,22,,20
Mark Davies,36917,https://www.transfermarkt.com/mark-davies/profil/spieler/36917,28/01/2009,20 years 11 months 10 days,20,Premier League,20/08/2005,17,17,Championship,17
Simon Davies,4056,https://www.transfermarkt.com/simon-davies/profil/spieler/4056,9/4/2000,20 years 05 months 17 days,20,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,20
Michael Dawson,9988,https://www.transfermarkt.com/michael-dawson/profil/spieler/9988,16/04/2005,21 years 04 months 29 days,21,Premier League,1/4/2002,18,18,First Division (until 03/04),18
Jermain Defoe,3875,https://www.transfermarkt.com/jermain-defoe/profil/spieler/3875,19/05/2001,18 years 07 months 12 days,18,Premier League,9/8/2003,20,20,First Division (until 03/04),18
Rory Delap,610849,https://www.transfermarkt.com/rory-delap/profil/spieler/610849,27/09/2020,17 years 07 months 19 days,17,,20/08/2022,19,19,Championship,17
Nathan Delfouneso,62642,https://www.transfermarkt.com/nathan-delfouneso/profil/spieler/62642,15/03/2009,18 years 01 month 13 days,18,Premier League,8/3/2011,20,20,Championship,18
Fabian Delph,50362,https://www.transfermarkt.com/fabian-delph/profil/spieler/50362,15/08/2009,19 years 08 months 25 days,19,Premier League,6/5/2007,17,17,Championship,17
Mousa Dembélé,19368,https://www.transfermarkt.com/mousa-dembl/profil/spieler/19368,24/04/2004,16 years 09 months 08 days,16,Jupiler Pro League,No second tier career,No second tier career,No second tier career,No second tier career,16
Ishmel Demontagnac,42188,https://www.transfermarkt.com/ishmel-demontagnac/profil/spieler/42188,21/08/2010,22 years 02 months 06 days,22,Premier League,15/08/2009,21,21,Championship,21
Clint Dempsey,27577,https://www.transfermarkt.com/clint-dempsey/profil/spieler/27577,3/4/2004,21 years 25 days,21,Major League Soccer,No second tier career,No second tier career,No second tier career,No second tier career,21
Denílson,7660,https://www.transfermarkt.com/denlson/profil/spieler/7660,27/08/1995,18 years 03 days,18,,27/01/2001,23,23,Segunda División,18
Edwin van der Sar,3516,https://www.transfermarkt.com/edwin-van-der-sar/profil/spieler/3516,23/04/1991,20 years 05 months 25 days,20,Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,20
