league_url,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,league_country,league_level
https://www.transfermarkt.com/3-lig-grup-3/startseite/wettbewerb/TR4C,,,,,,,,Türkiye,Fourth Tier
https://www.transfermarkt.com/scottish-league-one/startseite/wettbewerb/SC3,,,,,,,,Scotland,Third Tier
https://www.transfermarkt.com/3-liga/startseite/wettbewerb/L3,,,,,,,,Germany,Third Tier
https://www.transfermarkt.com/segunda-division-b-grupo-iii-bis-20-21-/startseite/wettbewerb/ES3C,,,,,,,,Spain,Third Tier
https://www.transfermarkt.com/protathlima-cyta/startseite/wettbewerb/ZYP1,,,,,,,,Cyprus,First Tier
https://www.transfermarkt.com/football-league/startseite/wettbewerb/GR2,,,,,,,,Greece,Third Tier
https://www.transfermarkt.com/torneo-intermedio/startseite/wettbewerb/URUI,,,,,,,,Uruguay,First Tier
https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GHPL,,,,,,,,Ghana,First Tier
https://www.transfermarkt.com/proximus-league/startseite/wettbewerb/BE2,,,,,,,,Belgium,Second Tier
https://www.transfermarkt.com/superettan/startseite/wettbewerb/SE2,,,,,,,,Sweden,Second Tier
https://www.transfermarkt.com/azadegan-league/startseite/wettbewerb/IRN2,,,,,,,,Iran,Second Tier
https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/A1,,,,,,,,Austria,First Tier
https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/TS1,,,,,,,,Czech Republic,First Tier
https://www.transfermarkt.com/eliteserien/startseite/wettbewerb/NO1,,,,,,,,Norway,First Tier
https://www.transfermarkt.com/veikkausliiga/startseite/wettbewerb/FI1,,,,,,,,Finland,First Tier
https://www.transfermarkt.com/3-lig-grup-1/startseite/wettbewerb/TR4A,,,,,,,,Türkiye,Fourth Tier
https://www.transfermarkt.com/usl-league-one/startseite/wettbewerb/USC3,,,,,,,,United States,Third Tier
https://www.transfermarkt.com/usl-championship/startseite/wettbewerb/USL,,,,,,,,United States,Second Tier
https://www.transfermarkt.com/3-liga-gruppe-ii/startseite/wettbewerb/PL32,,,,,,,,Poland,Fourth Tier
https://www.transfermarkt.com/championnat-national-2-groupe-a/startseite/wettbewerb/CN2A,,,,,,,,France,Fourth Tier
https://www.transfermarkt.com/kakkonen-gruppe-a/startseite/wettbewerb/FI3A,,,,,,,,Finland,Fourth Tier
https://www.transfermarkt.com/persha-liga/startseite/wettbewerb/UKR2,,,,,,,,Ukraine,Second Tier
https://www.transfermarkt.com/segunda-division-b-grupo-ii-bis-20-21-/startseite/wettbewerb/ES3B,,,,,,,,Spain,Third Tier
https://www.transfermarkt.com/segunda-division-b-grupo-iv-bis20-21-/startseite/wettbewerb/ES3D,,,,,,,,Spain,Third Tier
https://www.transfermarkt.com/ligat-haal/startseite/wettbewerb/ISR1,,,,,,,,Israel,First Tier
https://www.transfermarkt.com/league-two/startseite/wettbewerb/GB4,,,,,,,,England,Fourth Tier
https://www.transfermarkt.com/primera-b/startseite/wettbewerb/CL2B,,,,,,,,Chile,Second Tier
https://www.transfermarkt.com/liga-1-apertura/startseite/wettbewerb/TDeA,,,,,,,,Peru,First Tier
https://www.transfermarkt.com/regionalliga-bayern/startseite/wettbewerb/RLB3,,,,,,,,Germany,Fourth Tier
https://www.transfermarkt.com/serie-d-girone-i/startseite/wettbewerb/IT4I,,,,,,,,Italy,Fourth Tier
https://www.transfermarkt.com/liga-de-ascenso-torneo-competencia/startseite/wettbewerb/UR2T,,,,,,,,Uruguay,Second Tier
https://www.transfermarkt.com/torneo-apertura/startseite/wettbewerb/VZ1A,,,,,,,,Venezuela,First Tier
https://www.transfermarkt.com/division-profesional-apertura/startseite/wettbewerb/BO1A,,,,,,,,Bolivia,First Tier
https://www.transfermarkt.com/challenge-league/startseite/wettbewerb/C2,,,,,,,,Switzerland,Second Tier
https://www.transfermarkt.com/primera-nacional/startseite/wettbewerb/ARG2,,,,,,,,Argentina,Second Tier
https://www.transfermarkt.com/torneo-dimayor/startseite/wettbewerb/CO2T,,,,,,,,Colombia,Second Tier
https://www.transfermarkt.com/cbf-brasileiro-u20/startseite/wettbewerb/CB20,,,,,,,,Brazil,
https://www.transfermarkt.com/campeonato-catarinense-quadrangular-de-rebaixame/startseite/wettbewerb/BRP3,,,,,,,,Brazil,
https://www.transfermarkt.com/i-league/startseite/wettbewerb/INIL,,,,,,,,India,Second Tier
https://www.transfermarkt.com/serie-d-girone-d/startseite/wettbewerb/IT4D,,,,,,,,Italy,Fourth Tier
https://www.transfermarkt.com/serie-c-girone-a/startseite/wettbewerb/IT3A,,,,,,,,Italy,Third Tier
https://www.transfermarkt.com/serie-d-girone-e/startseite/wettbewerb/IT4E,,,,,,,,Italy,Fourth Tier
https://www.transfermarkt.com/championnat-national-2-groupe-c/startseite/wettbewerb/CN2C,,,,,,,,France,Fourth Tier
https://www.transfermarkt.com/2-hnl/startseite/wettbewerb/KR2,,,,,,,,Croatia,Second Tier
https://www.transfermarkt.com/3rd-division-league/startseite/wettbewerb/IN4L,,,,,,,,India,Fourth Tier
https://www.transfermarkt.com/chinese-super-league-championship-stage/startseite/wettbewerb/CSLC,,,,,,,,China,
https://www.transfermarkt.com/fortuna-1-liga/startseite/wettbewerb/PL2,,,,,,,,Poland,Second Tier
https://www.transfermarkt.com/1ste-nationale-acff/startseite/wettbewerb/BE3A,,,,,,,,Belgium,Third Tier
https://www.transfermarkt.com/k-league-2/startseite/wettbewerb/RSK2,,,,,,,,"Korea, South",Second Tier
https://www.transfermarkt.com/premyer-liqasi/startseite/wettbewerb/AZ1,,,,,,,,Azerbaijan,First Tier
https://www.transfermarkt.com/kakkonen-gruppe-b/startseite/wettbewerb/FI3B,,,,,,,,Finland,Fourth Tier
https://www.transfermarkt.com/i-league-2nd-division/startseite/wettbewerb/IND2,,,,,,,,India,Third Tier
https://www.transfermarkt.com/campeonato-de-portugal-serie-b/startseite/wettbewerb/CPSB,,,,,,,,Portugal,Fourth Tier
https://www.transfermarkt.com/segunda-division-profesional/startseite/wettbewerb/URU2,,,,,,,,Uruguay,Second Tier
https://www.transfermarkt.com/nemzeti-bajnoksag-ii-/startseite/wettbewerb/UN2,,,,,,,,Hungary,Second Tier
https://www.transfermarkt.com/obos-ligaen/startseite/wettbewerb/NO2,,,,,,,,Norway,Second Tier
https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,,,,,,,,Denmark,First Tier
https://www.transfermarkt.com/football-league-sud/startseite/wettbewerb/GR2S,,,,,,,,Greece,Second Tier
https://www.transfermarkt.com/mls-next-pro/startseite/wettbewerb/MNP3,,,,,,,,United States,Third Tier
https://www.transfermarkt.com/segunda-division-b-grupo-v-bis-20-21-/startseite/wettbewerb/ES3E,,,,,,,,Spain,Third Tier
https://www.transfermarkt.com/bangladesh-premier-league/startseite/wettbewerb/BGD1,,,,,,,,Bangladesh,First Tier
https://www.transfermarkt.com/promotion-league/startseite/wettbewerb/CHPR,,,,,,,,Switzerland,Third Tier
https://www.transfermarkt.com/national-league/startseite/wettbewerb/CNAT,,,,,,,,England,Fifth Tier
https://www.transfermarkt.com/regionalliga-sudwest/startseite/wettbewerb/RLSW,,,,,,,,Germany,Fourth Tier
https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/SLO1,,,,,,,,Slovakia,First Tier
https://www.transfermarkt.com/2-division-a-phase-2-/startseite/wettbewerb/R3D2,,,,,,,,Russia,Third Tier
https://www.transfermarkt.com/dstv-premiership/startseite/wettbewerb/SFA1,,,,,,,,South Africa,First Tier
https://www.transfermarkt.com/regionalliga-nord/startseite/wettbewerb/RLN3,,,,,,,,Germany,Fourth Tier
https://www.transfermarkt.com/scottish-championship/startseite/wettbewerb/SC2,,,,,,,,Scotland,Second Tier
https://www.transfermarkt.com/ettan-norra/startseite/wettbewerb/SE3N,,,,,,,,Sweden,Third Tier
https://www.transfermarkt.com/premier-league/startseite/wettbewerb/IR1,,,,,,,,Ireland,First Tier
https://www.transfermarkt.com/national-league-north/startseite/wettbewerb/NLN6,,,,,,,,England,Sixth Tier
https://www.transfermarkt.com/national-league-south/startseite/wettbewerb/NLS6,,,,,,,,England,Sixth Tier
https://www.transfermarkt.com/vysheyshaya-liga/startseite/wettbewerb/WER1,,,,,,,,Belarus,First Tier
https://www.transfermarkt.com/egyptian-premier-league/startseite/wettbewerb/EGY1,,,,,,,,Egypt,First Tier
https://www.transfermarkt.com/hessenliga/startseite/wettbewerb/OBLC,,,,,,,,Germany,Fifth Tier
https://www.transfermarkt.com/burgenlandliga/startseite/wettbewerb/A4B,,,,,,,,Austria,Fourth Tier
https://www.transfermarkt.com/derde-divisie-sonntag/startseite/wettbewerb/511,,,,,,,,Netherlands,Fourth Tier
https://www.transfermarkt.com/first-division/startseite/wettbewerb/IR2,,,,,,,,Ireland,Second Tier
https://www.transfermarkt.com/nisa/startseite/wettbewerb/NIS3,,,,,,,,United States,Third Tier
https://www.transfermarkt.com/quadrangular-do-rebaixamento/startseite/wettbewerb/BRQR,,,,,,,,Brazil,
https://www.transfermarkt.com/oberliga-niederrhein/startseite/wettbewerb/OLNI,,,,,,,,Germany,Fifth Tier
https://www.transfermarkt.com/scottish-league-two/startseite/wettbewerb/SC4,,,,,,,,Scotland,Fourth Tier
https://www.transfermarkt.com/regionalliga-west/startseite/wettbewerb/RLW3,,,,,,,,Germany,Fourth Tier
https://www.transfermarkt.com/scottish-lowland-football-league/startseite/wettbewerb/SC5L,,,,,,,,Scotland,Fifth Tier
https://www.transfermarkt.com/2-liga/startseite/wettbewerb/A2,,,,,,,,Austria,Second Tier
https://www.transfermarkt.com/prva-liga/startseite/wettbewerb/SL1,,,,,,,,Slovenia,First Tier
https://www.transfermarkt.com/championnat-national-u19-groupe-d/startseite/wettbewerb/F19D,,,,,,,,France,
https://www.transfermarkt.com/oberliga-rheinland-pfalz-saar/startseite/wettbewerb/OLRP,,,,,,,,Germany,Fifth Tier
https://www.transfermarkt.com/vtora-liga/startseite/wettbewerb/BU2,,,,,,,,Bulgaria,Second Tier
https://www.transfermarkt.com/1-landesliga-niederosterreich/startseite/wettbewerb/A4N,,,,,,,,Austria,Fourth Tier
https://www.transfermarkt.com/nigeria-professional-football-league/startseite/wettbewerb/NPFL,,,,,,,,Nigeria,First Tier
https://www.transfermarkt.com/mls-reserve-league/startseite/wettbewerb/MLSR,,,,,,,,United States,
https://www.transfermarkt.com/kolmonen-helsinki-gruppe-2/startseite/wettbewerb/KOG2,,,,,,,,Finland,Fifth Tier
https://www.transfermarkt.com/championnat-national-3-nouvelle-aquitaine/startseite/wettbewerb/C3NA,,,,,,,,France,Fifth Tier
https://www.transfermarkt.com/2-division-b/startseite/wettbewerb/2DVB,,,,,,,,Russia,Fourth Tier
https://www.transfermarkt.com/campionato-primavera-girone-a/startseite/wettbewerb/ITJ1,,,,,,,,Italy,
https://www.transfermarkt.com/primavera-1/startseite/wettbewerb/IJ1,,,,,,,,Italy,
https://www.transfermarkt.com/canadian-premier-league/startseite/wettbewerb/CDN1,,,,,,,,Canada,First Tier
https://www.transfermarkt.com/primavera-2b/startseite/wettbewerb/IJ2B,,,,,,,,Italy,
https://www.transfermarkt.com/gibraltar-national-league/startseite/wettbewerb/GI1,,,,,,,,Gibraltar,First Tier
https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/KAS1,,,,,,,,Kazakhstan,First Tier
https://www.transfermarkt.com/liga-de-expansion-mx-apertura/startseite/wettbewerb/MEXB,,,,,,,,Mexico,Second Tier
https://www.transfermarkt.com/campeonato-goiano/startseite/wettbewerb/BRGO,,,,,,,,Brazil,
https://www.transfermarkt.com/china-league-two-b/startseite/wettbewerb/CL3S,,,,,,,,China,Third Tier
https://www.transfermarkt.com/russian-pfl-gruppe-1/startseite/wettbewerb/RPLS,,,,,,,,Russia,Third Tier
https://www.transfermarkt.com/campionato-primavera-girone-b/startseite/wettbewerb/ITJ2,,,,,,,,Italy,
https://www.transfermarkt.com/liga-2/startseite/wettbewerb/PER2,,,,,,,,Peru,Second Tier
https://www.transfermarkt.com/serie-d-girone-f/startseite/wettbewerb/IT4F,,,,,,,,Italy,Fourth Tier
https://www.transfermarkt.com/championnat-national-3-hauts-de-france/startseite/wettbewerb/C3HF,,,,,,,,France,Fifth Tier
https://www.transfermarkt.com/division-intermedia/startseite/wettbewerb/PAR2,,,,,,,,Paraguay,Second Tier
https://www.transfermarkt.com/oberliga-baden-wurttemberg/startseite/wettbewerb/OBLB,,,,,,,,Germany,Fifth Tier
