club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Delhi Dynamos,https://www.transfermarkt.co.in/delhi-dynamos/startseite/verein/45080/saison_id/2018/sort/trikotNumber.desc,Odisha FC,Indian Super League,IND1,https://www.transfermarkt.com/indian-super-league/startseite/wettbewerb/IND1,First Tier,India,11,9 years,,27,26.1,1,,2,Kalinga Stadium,,,ok
Galatasaray,https://www.transfermarkt.com/galatasaray-istanbul/startseite/verein/141,Galatasaray,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,1,68 years,€344.75m,29,27.0,16,,19,Ali Sami Yen Spor Kompleksi RAMS Park,,,ok
Racing Sant,https://www.transfermarkt.com/racing-santander/startseite/verein/630,Racing Santander,LaLiga2,ES2,https://www.transfermarkt.com/laliga2/startseite/wettbewerb/ES2,Second Tier,Spain,1,4 years,€61.55m,27,25.1,6,,2,El Sardinero,,,ok
LA Galaxy,https://www.transfermarkt.com/los-angeles-galaxy/startseite/verein/1061,Los Angeles Galaxy,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,11,31 years,€53.70m,27,26.3,14,,1,Dignity Health Sports Park,,,ok
Villarreal B,https://www.transfermarkt.com/fc-villarreal-b/startseite/verein/11972,Villarreal CF B,Primera Federación - Grupo II,E3G2,https://www.transfermarkt.com/primera-division-r-f-e-f-grupo-ii/startseite/wettbewerb/E3G2,Third Tier,,4,2 years,€10.00m,25,21.2,10,,0,La Cerámica,,+€1.38m,ok
Benevento,https://www.transfermarkt.com/benevento-calcio/startseite/verein/4171,Benevento Calcio,Serie C - Girone C,IT3C,https://www.transfermarkt.com/serie-c-girone-c/startseite/wettbewerb/IT3C,Third Tier,,1,3 years,€9.58m,27,26.8,1,,0,Ciro Vigorito,,,ok
CD AmÃ©rica,https://www.transfermarkt.com/cd-america-de-cali/startseite/verein/2352,CD América de Cali,Liga DIMAYOR Apertura,COLP,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,First Tier,,4,10 years,€16.75m,27,28.3,4,,2,Estadio Olímpico Pascual Guerrero,,+€4.69m,ok
Schalke 04,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33,FC Schalke 04,2. Bundesliga,L2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,Second Tier,Germany,1,3 years,€46.23m,33,26.2,18,,4,Veltins-Arena,,+€5.35m,ok
Belenenses,https://www.transfermarkt.com/cf-os-belenenses/startseite/verein/68608,CF Os Belenenses,Liga 3,PT3A,https://www.transfermarkt.com/liga-3-serie-a/startseite/wettbewerb/PT3A,Third Tier,,1,2 years,€600k,29,26.2,8,,1,Estádio do Restelo,,,ok
Fluminense,https://www.transfermarkt.com/fluminense-rio-de-janeiro/startseite/verein/2462,Fluminense Football Club,Campeonato Brasileiro Série A,BRA1,https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,First Tier,Brazil,3,24 years,€112.53m,32,28.6,12,,4,Estádio Jornalista Mário Filho,,,ok
Guadalajara,https://www.transfermarkt.com/deportivo-guadalajara/startseite/verein/6711,Deportivo Guadalajara,Liga MX Apertura,MEXA,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,First Tier,,6,30 years,€84.85m,26,26.1,2,,11,Estadio Akron,,,ok
Leverkusen,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15,Bayer 04 Leverkusen,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,6,47 years,€449.75m,27,26.6,21,,14,BayArena,,+€31.80m,ok
Morelia,https://www.transfermarkt.com/club-atletico-morelia/startseite/verein/5623,Club Atlético Morelia,Liga de Expansión MX Clausura,MEX2,https://www.transfermarkt.com/liga-de-expansion-mx-clausura/startseite/wettbewerb/MEX2,Second Tier,,3,6 years,€7.63m,27,25.0,3,,0,Estadio Generalísimo José María Morelos y Pavón,,,ok
CS Emelec,https://www.transfermarkt.com/cs-emelec/startseite/verein/4561,CS Emelec,LigaPro Serie A,EC1N,https://www.transfermarkt.com/ligapro-serie-a/startseite/wettbewerb/EC1N,First Tier,,12,2 years,€11.26m,28,27.2,8,,1,Estadio George Capwell,,,ok
Birmingham City,https://www.transfermarkt.com/birmingham-city/startseite/verein/337,Birmingham City,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,10,1 year,€107.10m,24,27.1,14,,4,St. Andrew’s @ Knighthead Park,,,ok
Club 9 de Octubre,https://www.transfermarkt.com/ad-nueve-de-octubre/startseite/verein/19101,AD Nueve de Octubre,Liga Pro Serie B,EC2L,https://www.transfermarkt.com/liga-pro-serie-b/startseite/wettbewerb/EC2L,Second Tier,,1,4 years,€3.00m,26,25.5,8,,0,Estadio Municipal de La Troncal,,,ok
SD Aucas,https://www.transfermarkt.com/sd-aucas/startseite/verein/6362,SD Aucas,LigaPro Serie A,EC1N,https://www.transfermarkt.com/ligapro-serie-a/startseite/wettbewerb/EC1N,First Tier,,5,2 years,€8.35m,26,26.3,7,,2,Estadio Gonzalo Pozo Ripalda,,+€780k,ok
Lorient,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158,FC Lorient,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,9,1 year,€101.25m,25,26.0,18,,9,Stade du Moustoir,,+€600k,ok
Frosinone,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970,Frosinone Calcio,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,2,2 years,€40.80m,30,24.4,9,,4,Benito Stirpe,,+€16.85m,ok
Alajuelense,https://www.transfermarkt.com/ld-alajuelense/startseite/verein/6478,LD Alajuelense,Primera División Clausura,PDV1,https://www.transfermarkt.com/primera-division-clausura/startseite/wettbewerb/PDV1,First Tier,,5,22 years,€9.80m,24,26.5,5,,10,Estadio Alejandro Morera Soto,,+€1.42m,ok
Atl Goianiense,https://www.transfermarkt.com/atletico-clube-goianiense/startseite/verein/15172,Atlético Clube Goianiense,Campeonato Brasileiro Série B,BRA2,https://www.transfermarkt.com/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2,Second Tier,,10,2 years,€9.03m,32,27.5,2,,0,Estádio Antonio Accioly,,+€3.86m,ok
Leeds United,https://www.transfermarkt.com/leeds-united/startseite/verein/399,Leeds United,Premier League,GB1,https://www.transfermarkt.com/premier-league/startseite/wettbewerb/GB1,First Tier,England,14,1 year,€346.03m,26,27.3,20,,14,Elland Road,,,ok
Estoril,https://www.transfermarkt.com/gd-estoril-praia/startseite/verein/1465,GD Estoril Praia,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Poland,9,5 years,€45.70m,23,26.5,14,,5,Estádio António Coimbra da Mota,,+€2.30m,ok
Chievo,https://www.transfermarkt.com/chievo-verona/startseite/verein/862,Chievo Verona,Serie D - Girone B,IT4B,https://www.transfermarkt.com/serie-d-girone-b/startseite/wettbewerb/IT4B,Fourth Tier,,3,2 years,€2.33m,29,25.7,5,,0,Comunale Di Sona,,,ok
Eint Frankfurt,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24,Eintracht Frankfurt,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,8,14 years,€388.55m,29,25.6,19,,13,Deutsche Bank Park,,+€53.40m,ok
Sparta R'dam,https://www.transfermarkt.com/sparta-rotterdam/startseite/verein/468,Sparta Rotterdam,Eredivisie,NL1,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,First Tier,Netherlands,10,7 years,€29.15m,26,26.6,10,,6,Sparta-stadion - Het Kasteel,,+€8.60m,ok
PAOK,https://www.transfermarkt.com/paok-thessaloniki/startseite/verein/1091,PAOK Thessaloniki,Super League 1,GR1,https://www.transfermarkt.com/super-league-1/startseite/wettbewerb/GR1,First Tier,Greece,3,67 years,€97.03m,31,27.9,18,,9,Toumba Stadium,,,ok
Red Star,https://www.transfermarkt.com/roter-stern-belgrad/startseite/verein/159,Red Star Belgrade,Super liga Srbije,SER1,https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1,First Tier,,1,22 years,€102.00m,30,25.5,15,,12,Rajko Mitić,,+€27.60m,ok
Ionikos,https://www.transfermarkt.com/ionikos-nikeas/startseite/verein/553,Ionikos Nikea,Super League 2,GRS2,https://www.transfermarkt.com/super-league-2/startseite/wettbewerb/GRS2,,,,,,29,24.3,3,,0,Dimotiko Gipedo Neapolis,,,ok
Sampdoria,https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038,UC Sampdoria,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,13,3 years,€41.55m,30,27.1,8,,2,Luigi Ferraris,,,ok
Spartak Moscow,https://www.transfermarkt.com/spartak-moskau/startseite/verein/232,Spartak Moscow,Premier Liga,RU1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,First Tier,Russia,4,14 years,€125.90m,26,27.0,12,,12,Lukoil Arena,,,ok
Al-Ahli,https://www.transfermarkt.com/al-ahli-sc/startseite/verein/3612,Al,Qatar Stars League,QSL,https://www.transfermarkt.com/qatar-stars-league/startseite/wettbewerb/QSL,First Tier,,9,12 years,€17.03m,30,27.4,16,,3,Hamad bin Khalifa Stadium,,,ok
AZ Alkmaar,https://www.transfermarkt.com/az-alkmaar/startseite/verein/1090,AZ Alkmaar,Eredivisie,NL1,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,First Tier,Netherlands,6,28 years,€165.88m,29,24.3,9,,3,AFAS Stadion,,+€25.00m,ok
Melb Victory,https://www.transfermarkt.com/melbourne-victory/startseite/verein/7006,Melbourne Victory,A-League Men,AUS1,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1,First Tier,Australia,4,21 years,€8.50m,30,25.7,6,,1,AAMI Park,,+€500k,ok
Al-Riyadh SC,https://www.transfermarkt.com/al-riad/startseite/verein/31008,Al,Saudi Pro League,SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,First Tier,,16,3 years,€12.73m,28,27.0,12,,1,Prince Turki bin Abdul Aziz Stadium,,+€2.96m,ok
Leicester City,https://www.transfermarkt.com/leicester-city/startseite/verein/1003,Leicester City,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,23,1 year,€145.15m,29,26.1,17,,7,King Power Stadium,,+€57.30m,ok
Pachuca,https://www.transfermarkt.com/cf-pachuca/startseite/verein/4035,CF Pachuca,Liga MX Apertura,MEXA,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,First Tier,,9,28 years,€48.40m,23,27.6,9,,3,Estadio Hidalgo,,+€6.68m,ok
AVS Futebol,https://www.transfermarkt.com/avs-futebol-sad/startseite/verein/110302,Avs Futebol,Liga Portugal,PO1,https://www.transfermarkt.com/liga-nos/startseite/wettbewerb/PO1,First Tier,Poland,18,2 years,€11.55m,25,28.4,20,,0,Estádio do Clube Desportivo das Aves,,+€3.00m,ok
Groningen,https://www.transfermarkt.com/fc-groningen/startseite/verein/202,FC Groningen,Eredivisie,NL1,https://www.transfermarkt.com/eredivisie/startseite/wettbewerb/NL1,First Tier,Netherlands,9,2 years,€34.00m,27,24.1,11,,3,Euroborg,,+€6.04m,ok
Dinamo Zagreb,https://www.transfermarkt.com/gnk-dinamo-zagreb/startseite/verein/419,GNK Dinamo Zagreb,SuperSport HNL,KR1,https://www.transfermarkt.com/1-hnl/startseite/wettbewerb/KR1,First Tier,,1,19 years,€58.20m,32,25.7,14,,6,Maksimir,,+€22.80m,ok
Zalaegerszeg,https://www.transfermarkt.com/zalaegerszegi-te-fc/startseite/verein/1391,Zalaegerszegi TE FC,Nemzeti Bajnokság,UNG1,https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1,First Tier,,5,7 years,€6.10m,32,22.6,19,,2,ZTE-Aréna,,+€3.77m,ok
Lyngby,https://www.transfermarkt.com/lyngby-bk/startseite/verein/369,Lyngby Boldklub,1.Division,DK2,https://www.transfermarkt.com/nordicbet-liga/startseite/wettbewerb/DK2,Second Tier,,1,1 year,€11.50m,25,25.2,7,,0,Lyngby Stadion,,+€3.11m,ok
Arg Juniors,https://www.transfermarkt.mx/aa-argentinos-juniors/startseite/verein/1030,AA Argentinos Juniors,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,,Argentina,,,,,,,,,,,,ok
Guizhou Heng,https://www.transfermarkt.com/guizhou-hengfeng-reserves/startseite/verein/39978,Guizhou Hengfeng Reserves,,,,,,,,,0,0.0,,,0,-,,,ok
Gladbach,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18,Borussia Mönchengladbach,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,13,18 years,€149.30m,28,26.0,15,,10,Stadion im Borussia-Park,,+€10.65m,ok
Werder Bremen,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86,SV Werder Bremen,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,15,4 years,€176.30m,30,25.4,18,,10,Weserstadion,,,ok
Anderlecht,https://www.transfermarkt.com/rsc-anderlecht/startseite/verein/58,RSC Anderlecht,Jupiler Pro League,BE1,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1,First Tier,Belgium,6,66 years,€98.75m,30,24.5,20,,6,Lotto Park,,+€14.19m,ok
Trabzonspor,https://www.transfermarkt.com/trabzonspor/startseite/verein/449,Trabzonspor,Süper Lig,TR1,https://www.transfermarkt.com/super-lig/startseite/wettbewerb/TR1,First Tier,Turkey,3,52 years,€114.50m,27,25.8,15,,10,Papara Park,,+€5.45m,ok
Al-Raed,https://www.transfermarkt.com/al-raed/startseite/verein/22381,Al,Saudi First Division League,SA2L,https://www.transfermarkt.com/yelo-league/startseite/wettbewerb/SA2L,Second Tier,,7,1 year,€5.35m,22,27.2,6,,1,Al-Raed Club Stadium,,+€4.23m,ok
FerencvÃ¡ros,https://www.transfermarkt.mx/ferencvaros-budapest/startseite/verein/279,Ferencváros TC,Nemzeti Bajnokság,UNG1,https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1,,,,,,,,,,,,,,ok
Halmstad,https://www.transfermarkt.com/halmstads-bk/startseite/verein/1011,Halmstads BK,Allsvenskan,SE1,https://www.transfermarkt.com/allsvenskan/startseite/wettbewerb/SE1,First Tier,Sweden,16,4 years,€7.40m,24,24.8,11,,1,Örjans Vall,,+€2.69m,ok
Bayern Munich,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27,Bayern Munich,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,1,61 years,€968.95m,25,27.0,13,,16,Allianz Arena,,+€12.90m,ok
CSKA Sofia,https://www.transfermarkt.com/zska-sofia/startseite/verein/208,CSKA Sofia,efbet Liga,BU1,https://www.transfermarkt.com/efbet-liga/startseite/wettbewerb/BU1,First Tier,,4,10 years,€21.30m,22,26.4,16,,10,Vasil Levski,,,ok
Servette,https://www.transfermarkt.com/servette-fc/startseite/verein/61,Servette FC,Super League,C1,https://www.transfermarkt.com/super-league/startseite/wettbewerb/C1,First Tier,,2,7 years,€18.93m,27,27.2,17,,3,Stade de Genève,,+€1.89m,ok
Wolfsburg,https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82,VfL Wolfsburg,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,16,29 years,€234.60m,33,25.5,24,,14,Volkswagen Arena,,,ok
Pescara,https://www.transfermarkt.com/delfino-pescara-1936/startseite/verein/2921,Delfino Pescara 1936,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,19,1 year,€19.50m,30,26.5,6,,0,Adriatico,,+€3.00m,ok
Ternana,https://www.transfermarkt.com/ternana-calcio/startseite/verein/1103,Ternana Calcio,Serie C - Girone B,IT3B,https://www.transfermarkt.com/serie-c-girone-b/startseite/wettbewerb/IT3B,Third Tier,,9,2 years,€5.83m,28,27.4,6,,1,Libero Liberati,,+€45k,ok
VVV-Venlo,https://www.transfermarkt.com/vvv-venlo/startseite/verein/1426,VVV,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,,13,5 years,€5.30m,27,23.7,9,,1,Seacon Stadion - De Koel,,+€150k,ok
Al-Nassr,https://www.transfermarkt.com/al-nasr-riad/startseite/verein/18544,Al,Saudi Pro League,SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,First Tier,,1,31 years,€135.40m,28,27.8,10,,14,Al-Awwal Park,,,ok
Wydad AC,https://www.transfermarkt.com/wydad-casablanca/startseite/verein/6603,Wydad Casablanca,Botola Pro Inwi,MAR1,https://www.transfermarkt.com/botola-pro-inwi/startseite/wettbewerb/MAR1,First Tier,Morocco,4,18 years,€19.61m,35,26.9,11,,5,Stade Mohamed V,,+€151k,ok
Dortmund,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16,Borussia Dortmund,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,2,50 years,€498.40m,26,26.4,14,,13,SIGNAL IDUNA PARK,,,ok
Seattle Sounders,https://www.transfermarkt.com/seattle-sounders-fc/startseite/verein/9636,Seattle Sounders FC,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,3,18 years,€44.55m,28,27.3,11,,4,Lumen Field,,+€6.43m,ok
Shanghai Shen,https://www.transfermarkt.com/shanghai-shenhua/startseite/verein/3183,Shanghai Shenhua,Chinese Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,First Tier,,7,33 years,€15.17m,35,25.2,6,,9,Shanghai Stadium,,,ok
Cesena,https://www.transfermarkt.com/cesena-fc/startseite/verein/1429,Cesena FC,Serie B,IT2,https://www.transfermarkt.com/serie-b/startseite/wettbewerb/IT2,Second Tier,Italy,10,2 years,€29.10m,27,25.9,5,,2,Orogel Stadium - Dino Manuzzi,,+€4.20m,ok
Changchun Yatai,https://www.transfermarkt.com/changchun-yatai/startseite/verein/4768,Changchun Yatai,China League One,CLO,https://www.transfermarkt.com/china-league-one/startseite/wettbewerb/CLO,Second Tier,,10,1 year,€2.68m,35,26.0,4,,1,Development Area Stadium,,+€908k,ok
Al-Hilal,https://www.transfermarkt.com/al-hilal-riad/startseite/verein/1114,Al,Saudi Pro League,SA1,https://www.transfermarkt.com/saudi-professional-league/startseite/wettbewerb/SA1,First Tier,,2,31 years,€208.40m,27,27.7,14,,16,Kingdom Arena,,,ok
Al-Wehda,https://www.transfermarkt.com/al-wehda-ssc-sanaa/startseite/verein/64113,Al,,,,,,,,€50k,17,25.3,0,,1,-,,,ok
Stuttgart,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79,VfB Stuttgart,Bundesliga,L1,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1,First Tier,Germany,4,6 years,€383.10m,30,24.9,14,,14,MHPArena Stuttgart,,+€57.05m,ok
Cruz Azul,https://www.transfermarkt.com/cd-cruz-azul/startseite/verein/3711,CD Cruz Azul,Liga MX Apertura,MEXA,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,First Tier,,3,30 years,€82.60m,24,26.0,10,,5,Estadio Olímpico Universitario,,,ok
D.C. United,https://www.transfermarkt.com/d-c-united/startseite/verein/2440,D.C. United,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,7,31 years,€29.30m,28,25.8,12,,6,Audi Field,,,ok
O'Higgins,https://www.transfermarkt.com/cd-ohiggins/startseite/verein/11470,CD O'Higgins,Liga de Primera,CLPD,https://www.transfermarkt.com/primera-division-de-chile/startseite/wettbewerb/CLPD,First Tier,,5,9 years,€12.78m,28,25.1,8,,2,El Teniente,,,ok
FC Seoul,https://www.transfermarkt.com/fc-seoul/startseite/verein/6500,FC Seoul,K League 1,RSK1,https://www.transfermarkt.com/k-league-1/startseite/wettbewerb/RSK1,First Tier,,1,20 years,€11.80m,30,26.9,8,,4,Seoul World Cup Stadium,,+€1.26m,ok
Ulsan Hyundai,https://www.transfermarkt.com/ulsan-hyundai/startseite/verein/3535,Ulsan HD FC,K League 1,RSK1,https://www.transfermarkt.com/k-league-1/startseite/wettbewerb/RSK1,First Tier,,2,20 years,€14.15m,31,27.3,7,,4,Ulsan Munsu Football Stadium,,,ok
Ulsan HD,https://www.transfermarkt.com/ulsan-hyundai/startseite/verein/3535,Ulsan HD FC,K League 1,RSK1,https://www.transfermarkt.com/k-league-1/startseite/wettbewerb/RSK1,First Tier,,2,20 years,€14.15m,31,27.3,7,,4,Ulsan Munsu Football Stadium,,,ok
Toluca,https://www.transfermarkt.com/deportivo-toluca/startseite/verein/1804,Deportivo Toluca,Liga MX Apertura,MEXA,https://www.transfermarkt.com/liga-mx-apertura/startseite/wettbewerb/MEXA,First Tier,,1,30 years,€85.10m,28,27.1,10,,5,Estadio Nemesio Díez Riega,,,ok
Libertad,https://www.transfermarkt.com/club-libertad-asuncion/startseite/verein/9875,Club Libertad Asunción,Primera División Apertura,PR1A,https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/PR1A,First Tier,,5,12 years,€21.48m,32,26.3,1,,2,Estadio La Huerta,,+€1.28m,ok
12 de Octubre,https://www.transfermarkt.com/club-12-de-octubre-de-itaugua/startseite/verein/14662,Club 12 de Octubre de Itauguá,Primera División Apertura,PR1A,https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/PR1A,,,,,,31,28.4,4,,0,Estadio Luis Alberto Salinas Tanasio,,,ok
Houston Dynamo,https://www.transfermarkt.com/houston-dynamo-fc/startseite/verein/9168,Houston Dynamo FC,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,8,21 years,€39.75m,26,28.0,19,,3,Shell Energy Stadium,,,ok
Millonarios,https://www.transfermarkt.com/millonarios-fc/startseite/verein/2350,Millonarios FC,Liga DIMAYOR Apertura,COLP,https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,First Tier,,10,17 years,€11.95m,28,30.0,5,,1,Estadio Nemesio Camacho (El Campín),,+€3.12m,ok
Rapid BucureÈ™ti,https://www.transfermarkt.com/fc-rapid-1923/startseite/verein/455,FC Rapid 1923,SuperLiga,RO1,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,First Tier,Romania,2,5 years,€29.85m,27,25.5,11,,7,Superbet Arena - Giulești,,,ok
Shakhtar,https://www.transfermarkt.com/shakhtar-donetsk/startseite/verein/660,Shakhtar Donetsk,Premier Liga,UKR1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1,First Tier,Ukraine,1,35 years,€168.25m,34,24.1,17,,11,Arena Lviv,,+€12.00m,ok
Poli TimiÈ™oara,https://www.transfermarkt.com/acs-stiinta-poli-timisoara/startseite/verein/39835,ACS Stiinta Poli Timisoara,Liga 2,RO2,https://www.transfermarkt.com/liga-2/startseite/wettbewerb/RO2,,,,,,31,24.0,2,,0,Știința,,,ok
FC Dallas,https://www.transfermarkt.com/fc-dallas/startseite/verein/8816,FC Dallas,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,7,31 years,€36.20m,34,24.2,19,,3,Toyota Stadium,,,ok
FC Cincinnati,https://www.transfermarkt.com/fc-cincinnati/startseite/verein/51772,FC Cincinnati,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,8,8 years,€60.40m,28,25.8,18,,6,TQL Stadium,,+€570k,ok
Kayseri Erciyes,https://www.transfermarkt.com/kayseri-erciyesspor/startseite/verein/6894,Kayseri Erciyesspor,3.Lig Grup 2,TR4B,https://www.transfermarkt.com/3-lig-grup-2/startseite/wettbewerb/TR4B,,,,,,0,0.0,,,0,Kayseri Atatürk Spor Kompleksi Yan Açık Saha,,,ok
Sheffield Weds,https://www.transfermarkt.com/sheffield-wednesday/startseite/verein/1035,Sheffield Wednesday,Championship,GB2,https://www.transfermarkt.com/championship/startseite/wettbewerb/GB2,Second Tier,England,24,3 years,€20.63m,27,25.1,14,,4,Hillsborough,,+€4.56m,ok
Dalian Yifang,https://www.transfermarkt.com/dalian-professional/startseite/verein/33304,Dalian Professional (2009,Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,,,,,,0,0.0,,,0,Dalian Suoyuwan Football Stadium,,,ok
CSKA Moscow,https://www.transfermarkt.com/zska-moskau/startseite/verein/2410,CSKA Moscow,Premier Liga,RU1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/RU1,First Tier,Russia,5,14 years,€106.45m,28,23.9,11,,9,VEB Arena,,,ok
Dalian Professional,https://www.transfermarkt.com/dalian-professional/startseite/verein/33304,Dalian Professional (2009,Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,,,,,,0,0.0,,,0,Dalian Suoyuwan Football Stadium,,,ok
River Plate,https://www.transfermarkt.com/club-atletico-river-plate/startseite/verein/209,CA River Plate,Torneo Apertura,ARG1,https://www.transfermarkt.com/torneo-inicial/startseite/wettbewerb/ARG1,First Tier,Argentina,2,2 years,€99.40m,32,26.3,5,,10,Mâs Monumental,,+€22.93m,ok
Recreativo,https://www.transfermarkt.com/recreativo-huelva/startseite/verein/2867,Recreativo Huelva,Segunda Federación - Grupo IV,E4G4,https://www.transfermarkt.com/segunda-division-r-f-e-f-grupo-iv/startseite/wettbewerb/E4G4,Fourth Tier,,6,1 year,€2.93m,25,27.4,3,,2,Nuevo Colombino,,+€600k,ok
Toulouse,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415,FC Toulouse,Ligue 1,FR1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1,First Tier,France,10,4 years,€146.05m,24,24.1,17,,7,Stadium Municipal,,+€31.35m,ok
OsmanlÄ±spor,https://www.transfermarkt.com/ankaraspor/startseite/verein/2944,Sincan Belediyesi Ankaraspor,2.Lig Beyaz,TR3A,https://www.transfermarkt.com/2-lig-beyaz/startseite/wettbewerb/TR3A,Third Tier,Turkey,10,4 years,€2.37m,32,25.0,0,,0,Sincan 15 Temmuz Milli Birlik Stadı,,,ok
Shenzhen,https://www.transfermarkt.com/sichuan-jiuniu/startseite/verein/51120,Shenzhen Peng City,Chinese Super League,CSL,https://www.transfermarkt.com/chinese-super-league/startseite/wettbewerb/CSL,First Tier,,11,3 years,€9.75m,30,26.5,6,,0,Shenzhen Sports Center Stadium,,,ok
AO Kifisia,https://www.transfermarkt.com/ao-kifisias/startseite/verein/37778,AO Kifisias,,,,,,,,,0,0.0,,,0,-,,,ok
