club_name,transfermarkt_url,official_name,league,league_code,league_url,league_level,league_country,table_position,years_in_league,market_value,squad_size,average_age,foreigners,foreigners_pct,national_team_players,stadium,stadium_capacity,transfer_record,status
Phx Rising,https://www.transfermarkt.com/phoenix-rising-fc/startseite/verein/33414,Phoenix Rising FC,USL Championship,USL,https://www.transfermarkt.com/usl-championship/startseite/wettbewerb/USL,Second Tier,,5,10 years,€3.98m,31,23.4,17,,2,Phoenix Rising Soccer Stadium,,,ok
Dallas Burn,https://www.transfermarkt.com/fc-dallas/startseite/verein/8816/saison_id/2001,FC Dallas,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,5,31 years,€36.20m,34,24.2,19,,3,Toyota Stadium,,,ok
KC Wizards,https://www.transfermarkt.com/sporting-kansas-city/startseite/verein/4284,Sporting Kansas City,Major League Soccer,MLS1,https://www.transfermarkt.com/major-league-soccer/startseite/wettbewerb/MLS1,First Tier,,15,31 years,€27.95m,24,24.3,10,,3,Sporting Park,,,ok
Å½eljezniÄar,https://www.transfermarkt.com/fk-zeljeznicar-sarajevo/startseite/verein/2573,FK Zeljeznicar Sarajevo,Premijer Liga Bosne i Hercegovine,BOS1,https://www.transfermarkt.com/premijer-liga/startseite/wettbewerb/BOS1,First Tier,,5,24 years,€7.85m,34,25.4,16,,2,Grbavica,,+€1.97m,ok
SÃ¸nderjyskE,https://www.transfermarkt.com/sonderjyske-fodbold/startseite/verein/5817,Sönderjyske Fodbold,Superliga,DK1,https://www.transfermarkt.com/superligaen/startseite/wettbewerb/DK1,First Tier,Denmark,3,2 years,€13.10m,24,25.3,10,,2,AL Sydbank Park,,+€2.20m,ok
Olymp Volou,https://www.transfermarkt.com/olympiakos-volos/startseite/verein/4602,Olympiakos Volos,Super League 2,GRS2,https://www.transfermarkt.com/super-league-2/startseite/wettbewerb/GRS2,,,,,,13,28.3,1,,0,EAK Volou,,,ok
St Pierroise,https://www.transfermarkt.com/js-saint-pierroise/startseite/verein/20375,JS Saint,,,,,,,,,17,30.9,12,,0,Stade Michel Volnay,,,ok
ChÃ¢teauroux,https://www.transfermarkt.com/lb-chateauroux/startseite/verein/1175,LB Châteauroux,Championnat National,FR3,https://www.transfermarkt.com/championnat-national/startseite/wettbewerb/FR3,Third Tier,,16,5 years,€4.00m,28,25.9,7,,1,Stade Gaston-Petit,,,ok
Maldon&Tiptree,https://www.transfermarkt.es/maldon--tiptree-fc/startseite/verein/27045,Maldon & Tiptree FC,,,,,,,,,,,,,,,,,ok
PogoÅ„ Szczecin,https://www.transfermarkt.com/pogon-szczecin/startseite/verein/324,Pogon Szczecin,PKO BP Ekstraklasa,PL1,https://www.transfermarkt.com/pko-ekstraklasa/startseite/wettbewerb/PL1,First Tier,,9,14 years,€20.55m,33,25.4,20,,5,Stadion Miejski im. Floriana Krygiera,,+€6.13m,ok
BB Erzurumspor,https://www.transfermarkt.mx/berzurumspor-fk/startseite/verein/39722,BErzurumspor FK,1. Lig,TR2,https://www.transfermarkt.com/1-lig/startseite/wettbewerb/TR2,,Turkey,,,,,,,,,,,,ok
Petrolul PloieÈ™ti,https://www.transfermarkt.mx/petrolul-ploiesti/startseite/verein/9465,Petrolul Ploiesti,SuperLiga,RO1,https://www.transfermarkt.com/liga-1/startseite/wettbewerb/RO1,,Romania,,,,,,,,,,,,ok
Ft Lauderdale,https://www.transfermarkt.com/fort-lauderdale-united-fc/startseite/verein/133926/saison_id/2025,Fort Lauderdale United FC,,,,,,,,,4,23.7,3,,0,Beyond Bancard Field,,,ok
RuÅ¾omberok,https://www.transfermarkt.com/mfk-ruzomberok/startseite/verein/7087,MFK Ruzomberok,Niké Liga,SLO1,https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/SLO1,First Tier,,7,23 years,€5.93m,29,24.5,10,,0,Štadión pod Čebraťom,,+€570k,ok
St Johnstone,https://www.transfermarkt.mx/st-johnstone-fc/startseite/verein/2578,St. Johnstone FC,Scottish Championship,SC2,https://www.transfermarkt.com/scottish-championship/startseite/wettbewerb/SC2,,,,,,,,,,,,,,ok
Consa Sapporo,https://www.transfermarkt.mx/hokkaido-consadole-sapporo/startseite/verein/16032,Hokkaido Consadole Sapporo,J2/J3 100 Year Vision League,J2J3,https://www.transfermarkt.com/j2-j3-100-year-vision-league/startseite/wettbewerb/J2J3,,,,,,,,,,,,,,ok
BTSV,https://www.transfermarkt.com/eintracht-braunschweig/startseite/verein/23,Eintracht Braunschweig,2. Bundesliga,L2,https://www.transfermarkt.com/2-bundesliga/startseite/wettbewerb/L2,Second Tier,Germany,14,4 years,€21.55m,28,25.0,10,,2,EINTRACHT-Stadion,,+€3.30m,ok
Maritzburg United,https://www.transfermarkt.com/durban-city-football-club/startseite/verein/14187,Durban City Football Club,Betway Premiership,SFA1,https://www.transfermarkt.com/dstv-premiership/startseite/wettbewerb/SFA1,First Tier,,8,1 year,€6.78m,40,28.3,7,,3,Chatsworth Stadium,,,ok
ElazÄ±ÄŸspor,https://www.transfermarkt.com/elazigspor/startseite/verein/2292,Elazigspor,2.Lig Beyaz,TR3A,https://www.transfermarkt.com/2-lig-beyaz/startseite/wettbewerb/TR3A,Third Tier,Turkey,3,1 year,€2.47m,29,27.0,0,,0,Elazığ Stadyumu,,,ok
Ã–ster,https://www.transfermarkt.com/osters-if/startseite/verein/1236,Östers IF,Superettan,SE2,https://www.transfermarkt.com/superettan/startseite/wettbewerb/SE2,Second Tier,,9,1 year,€5.20m,25,24.6,8,,1,Spiris Arena,,+€2.97m,ok
Fastav ZlÃ­n,https://www.transfermarkt.mx/fc-fastav-zlin/startseite/verein/5545,FC Zlin,Chance Liga,TS1,https://www.transfermarkt.com/fortuna-liga/startseite/wettbewerb/TS1,,,,,,,,,,,,,,ok
Wrd Bremen II,https://www.transfermarkt.com/sv-werder-bremen-ii/startseite/verein/87,SV Werder Bremen II,Regionalliga Nord,RLN3,https://www.transfermarkt.com/regionalliga-nord/startseite/wettbewerb/RLN3,Fourth Tier,,12,2 years,€3.98m,29,22.7,5,,0,Weserstadion Platz 11,,,ok
NorrkÃ¶ping,https://www.transfermarkt.com/ifk-norrkoping/startseite/verein/2844,IFK Norrköping,Superettan,SE2,https://www.transfermarkt.com/superettan/startseite/wettbewerb/SE2,Second Tier,,5,1 year,€6.20m,26,23.1,12,,1,Platinumcars Arena,,+€3.42m,ok
BB Bodrumspor,https://www.transfermarkt.com/bodrum-fk/startseite/verein/44006,Bodrum FK,1.Lig,TR2,https://www.transfermarkt.com/1-lig/startseite/wettbewerb/TR2,Second Tier,Turkey,5,1 year,€13.78m,31,24.7,9,,1,Bodrum İlçe Stadyumu,,,ok
Omniworld,https://www.transfermarkt.com/almere-city-fc/startseite/verein/723/saison_id/2006,Almere City FC,Keuken Kampioen Divisie,NL2,https://www.transfermarkt.com/keuken-kampioen-divisie/startseite/wettbewerb/NL2,Second Tier,,5,1 year,€8.05m,28,23.8,5,,1,Yanmar Stadion,,+€450k,ok
Guangzhou Evg,https://www.transfermarkt.mx/guangzhou-fc/startseite/verein/10948,Guangzhou FC (1954,League One,CLO,https://www.transfermarkt.mx/china-league-one/startseite/wettbewerb/CLO,,,,,,,,,,,,,,ok
Odd,https://www.transfermarkt.com/odds-bk/startseite/verein/1058,Odds BK,OBOS-ligaen,NO2,https://www.transfermarkt.com/obos-ligaen/startseite/wettbewerb/NO2,Second Tier,,3,2 years,€6.55m,24,23.4,10,,1,Skagerak Arena,,+€468k,ok
RoPS,https://www.transfermarkt.com/rovaniemen-palloseura/startseite/verein/3776,Rovaniemen Palloseura,Ykkönen,FIYK,https://www.transfermarkt.com/ykkonen-2024-/startseite/wettbewerb/FIYK,Third Tier,,2,3 years,,23,23.1,3,,0,Rovaniemen keskuskenttä,,,ok
TTM FC,https://www.transfermarkt.com/tshakhuma-tsha-madzivhandila-fc/startseite/verein/54893,Tshakhuma Tsha Madzivhandila FC,PSL Prom.-Relegation Playoff,SFAR,https://www.transfermarkt.com/absa-premiership-promotion-relegation-playoff/startseite/wettbewerb/SFAR,,,,,,34,32.1,2,,0,Thohoyandou Stadium,,,ok
Melb Heart,https://www.transfermarkt.com/melbourne-city-fc/startseite/verein/25580,Melbourne City FC,A-League Men,AUS1,https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1,First Tier,Australia,6,17 years,€10.05m,34,24.0,6,,4,AAMI Park,,+€830k,ok
InternaÈ›ional,https://www.transfermarkt.com/sport-club-internacional/startseite/verein/6600,Sport Club Internacional,Campeonato Brasileiro Série A,BRA1,https://www.transfermarkt.com/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,First Tier,Brazil,8,9 years,€71.60m,31,27.0,10,,4,Estádio Beira-Rio,,+€41.39m,ok
Met Donetsk,https://www.transfermarkt.com/metalurg-donetsk/startseite/verein/2783,Metalurg Donetsk (,Premier Liga,UKR1,https://www.transfermarkt.com/premier-liga/startseite/wettbewerb/UKR1,,Ukraine,,,,0,0.0,,,0,Metalurg,,,ok
