league_url,league_country,league_level,league_name_tm
https://www.transfermarkt.com/primera-division-de-chile/startseite/wettbewerb/CLPD,Chile,First Tier,Liga de Primera  2026
https://www.transfermarkt.com/primera-division-apertura/startseite/wettbewerb/PR1A,Paraguay,First Tier,Primera División Apertura 2026
https://www.transfermarkt.com/serie-c-girone-c/startseite/wettbewerb/IT3C,Italy,Third Tier,Serie C
https://www.transfermarkt.com/nemzeti-bajnoksag/startseite/wettbewerb/UNG1,Hungary,First Tier,Nemzeti Bajnokság 25/26
https://www.transfermarkt.com/j2-j3-100-year-vision-league/startseite/wettbewerb/J2J3,Japan,,J2/J3 100 Year Vision League 2026
https://www.transfermarkt.com/persian-gulf-pro-league/startseite/wettbewerb/IRN1,Iran,First Tier,Persian Gulf Pro League 25/26
https://www.transfermarkt.com/liga-dimayor-i/startseite/wettbewerb/COLP,Colombia,First Tier,Liga DIMAYOR Apertura 2026
https://www.transfermarkt.com/liga-de-expansion-mx-clausura/startseite/wettbewerb/MEX2,Mexico,Second Tier,Liga de Expansión MX Clausura 25/26
https://www.transfermarkt.com/ligapro-serie-a/startseite/wettbewerb/EC1N,Ecuador,First Tier,LigaPro Serie A 2026
https://www.transfermarkt.com/liga-pro-serie-b/startseite/wettbewerb/EC2L,Ecuador,Second Tier,Liga Pro Serie B 2026
https://www.transfermarkt.com/primera-division-clausura/startseite/wettbewerb/PDV1,Costa Rica,First Tier,Primera División Clausura 25/26
https://www.transfermarkt.com/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2,Brazil,Second Tier,Campeonato Brasileiro Série B 2026
https://www.transfermarkt.com/serie-d-girone-b/startseite/wettbewerb/IT4B,Italy,Fourth Tier,Serie D
https://www.transfermarkt.com/super-liga-srbije/startseite/wettbewerb/SER1,Serbia,First Tier,Super liga Srbije 25/26
https://www.transfermarkt.com/qatar-stars-league/startseite/wettbewerb/QSL,Qatar,First Tier,Qatar Stars League 25/26
https://www.transfermarkt.com/a-league/startseite/wettbewerb/AUS1,Australia,First Tier,A
https://www.transfermarkt.com/1-hnl/startseite/wettbewerb/KR1,Croatia,First Tier,SuperSport HNL 25/26
https://www.transfermarkt.com/nordicbet-liga/startseite/wettbewerb/DK2,Denmark,Second Tier,1.Division 25/26
https://www.transfermarkt.com/yelo-league/startseite/wettbewerb/SA2L,Saudi Arabia,Second Tier,Saudi First Division League 25/26
https://www.transfermarkt.com/efbet-liga/startseite/wettbewerb/BU1,Bulgaria,First Tier,efbet Liga 25/26
https://www.transfermarkt.com/serie-c-girone-b/startseite/wettbewerb/IT3B,Italy,Third Tier,Serie C
https://www.transfermarkt.com/botola-pro-inwi/startseite/wettbewerb/MAR1,Morocco,First Tier,Botola Pro Inwi 25/26
https://www.transfermarkt.com/china-league-one/startseite/wettbewerb/CLO,China,Second Tier,China League One 2026
