player_name,transfermarkt_url,deceased,death_date,death_age
Jack Colback,https://www.transfermarkt.com/jack-colback/profil/spieler/61644,No,Not found,Not found
Ashley Cole,https://www.transfermarkt.com/ashley-cole/profil/spieler/3182,No,Not found,Not found
Carlton Cole,https://www.transfermarkt.com/carlton-cole/profil/spieler/3179,No,Not found,Not found
Joe Cole,https://www.transfermarkt.com/joe-cole/profil/spieler/3876,No,Not found,Not found
Séamus Coleman,https://www.transfermarkt.com/samus-coleman/profil/spieler/68390,No,Not found,Not found
Danny Collins,https://www.transfermarkt.com/danny-collins/profil/spieler/26183,No,Not found,Not found
James Collins,https://www.transfermarkt.com/james-collins/profil/spieler/12691,No,Not found,Not found
Jack Collison,https://www.transfermarkt.com/jack-collison/profil/spieler/61568,No,Not found,Not found
Fabricio Coloccini,https://www.transfermarkt.com/fabricio-coloccini/profil/spieler/6150,No,Not found,Not found
Jordan Cook,https://www.transfermarkt.com/jordan-cook/profil/spieler/61646,No,Not found,Not found
Vedran Ćorluka,https://www.transfermarkt.com/vedran-orluka/profil/spieler/34393,No,Not found,Not found
Manuel da Costa,https://www.transfermarkt.com/manuel-da-costa/profil/spieler/37398,No,Not found,Not found
Simon Cox,https://www.transfermarkt.com/simon-cox/profil/spieler/37150,No,Not found,Not found
Jody Craddock,https://www.transfermarkt.com/jody-craddock/profil/spieler/4129,No,Not found,Not found
Stephen Crainey,https://www.transfermarkt.com/stephen-crainey/profil/spieler/9499,No,Not found,Not found
Peter Crouch,https://www.transfermarkt.com/peter-crouch/profil/spieler/4072,No,Not found,Not found
Carlo Cudicini,https://www.transfermarkt.com/carlo-cudicini/profil/spieler/3151,No,Not found,Not found
Carlos Cuéllar,https://www.transfermarkt.com/carlos-cullar/profil/spieler/16576,No,Not found,Not found
Scott Dann,https://www.transfermarkt.com/scott-dann/profil/spieler/62688,No,Not found,Not found
Curtis Davies,https://www.transfermarkt.com/curtis-davies/profil/spieler/18227,No,Not found,Not found
Kevin Davies,https://www.transfermarkt.com/kevin-davies/profil/spieler/4114,No,Not found,Not found
Mark Davies,https://www.transfermarkt.com/mark-davies/profil/spieler/36917,No,Not found,Not found
Simon Davies,https://www.transfermarkt.com/simon-davies/profil/spieler/4056,No,Not found,Not found
Michael Dawson,https://www.transfermarkt.com/michael-dawson/profil/spieler/9988,No,Not found,Not found
Jermain Defoe,https://www.transfermarkt.com/jermain-defoe/profil/spieler/3875,No,Not found,Not found
Rory Delap,https://www.transfermarkt.com/rory-delap/profil/spieler/4112,No,Not found,Not found
Nathan Delfouneso,https://www.transfermarkt.com/nathan-delfouneso/profil/spieler/62642,No,Not found,Not found
