player_name,player_url,status,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_id,transfermarkt_url
Ryan Bertrand,https://fbref.com/en/players/01226327/Ryan-Bertrand,Success,Not found,"August 5, 1989",Not found,179cm,England eng,"DF-MF (FB, left)",Left,2006-2007,16 years,Bournemouth,2006,40611,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611
Leon Best,https://fbref.com/en/players/0780ab75/Leon-Best,Success,Not found,"September 19, 1986",Not found,185cm,Republic of Ireland ie  Other: England,FW,Right,2004-2005,17 years,QPR,2004,28244,https://www.transfermarkt.com/leon-best/profil/spieler/28244
Habib Beye,https://fbref.com/en/players/459b0b19/Habib-Beye,Success,Not found,"October 19, 1977",Not found,182cm,Senegal sn  Other: France,"DF (FB, right)",Not found,1997-1998,19 years,Paris S-G,1997,3923,https://www.transfermarkt.com/habib-beye/profil/spieler/3923
Diniyar Bilyaletdinov,https://fbref.com/en/players/7e8050c6/Diniyar-Bilyaletdinov,Success,Not found,"February 27, 1985",Not found,186cm,Russia,MF,Left,2004,18 years,Loko Moscow,Not found,16690,https://www.transfermarkt.com/diniyar-bilyaletdinov/profil/spieler/16690
Mame Biram Diouf,https://fbref.com/en/players/7f4f3e49/Mame-Biram-Diouf,Success,Not found,"December 16, 1987 (Age: 37-344d)",Senegal,185cm,Senegal,FW-MF,Right,2008,20 years,Molde,Not found,62049,https://www.transfermarkt.com/mame-biram-diouf/profil/spieler/62049
Robbie Blake,https://fbref.com/en/players/ddc0a1fd/Robbie-Blake,Success,Not found,"March 4, 1976",Not found,175cm,Not found,FW-MF (AM),Not found,1999-2000,23 years,Bradford City,1999,3490,https://www.transfermarkt.com/robbie-blake/profil/spieler/3490
Luís Boa Morte,https://fbref.com/en/players/59ab6332/Luis-Boa-Morte,Success,Not found,"August 4, 1977",Not found,178cm,Portugal,FW-MF (AM-WM),Not found,1997-1998,19 years,Arsenal,1997,3422,https://www.transfermarkt.com/lus-boa-morte/profil/spieler/3422
Jérôme Boateng,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng,Success,Not found,"September 3, 1988",Not found,192cm,Germany,DF (CB-FB),Right,2006-2007,17 years,Hertha BSC,2006,26485,https://www.transfermarkt.com/jrme-boateng/profil/spieler/26485
Ruud Boffin,https://fbref.com/en/players/ad19ca64/Ruud-Boffin,Success,Not found,"November 5, 1987",Not found,196cm,Not found,GK,Right,2007-2008,19 years,FC Eindhoven,2007,31336,https://www.transfermarkt.com/ruud-boffin/profil/spieler/31336
Ádám Bogdán,https://fbref.com/en/players/56f99ec7/Adam-Bogdan,Success,Not found,"September 27, 1987",Not found,194cm,Hungary,GK,Right,2009-2010,21 years,Crewe Alexandra,2009,55247,https://www.transfermarkt.com/dm-bogdn/profil/spieler/55247
Mauro Boselli,https://fbref.com/en/players/284e865d/Mauro-Boselli,Success,Not found,"May 22, 1985",Not found,182cm,Argentina,FW,Right,2005-2006,20 years,Málaga B,2005,40822,https://www.transfermarkt.com/mauro-boselli/profil/spieler/40822
José Bosingwa,https://fbref.com/en/players/13dd442f/Jose-Bosingwa,Success,Not found,"August 24, 1982",Not found,183cm,Portugal pt  Other: Congo DR,"DF (FB, right)",Right,2001-2002,18 years,Boavista,2001,9813,https://www.transfermarkt.com/jos-bosingwa/profil/spieler/9813
Lee Bowyer,https://fbref.com/en/players/f4fd57ba/Lee-Bowyer,Success,Not found,"January 3, 1977",Not found,175cm,England eng,MF (AM),Not found,1996-1997,19 years,Leeds United,1996,3877,https://www.transfermarkt.com/lee-bowyer/profil/spieler/3877
