player_name,player_url,status,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_id,transfermarkt_url
Adam Smith,https://fbref.com/en/players/20b104bc/Adam-Smith,Success,Not found,"April 29, 1991 (Age: 34-210d)","London, England, United Kingdom",174cm,England eng,"DF-MF (FB, right)",Right,2009-2010,18 years,Wycombe,2009,61841,https://www.transfermarkt.com/adam-smith/profil/spieler/61841
Tommy Smith,https://fbref.com/en/players/066be641/Tommy-Smith,Success,Not found,"May 22, 1980",Not found,173cm,England eng,"FW-MF (WM, right)",Right,1999-2000,19 years,Watford,1999,176056,https://www.transfermarkt.com/tommy-smith/profil/spieler/176056
Marvin Sordell,https://fbref.com/en/players/9f596d20/Marvin-Sordell,Success,Not found,"February 17, 1991 (Age: 34-281d)","Pinner, England, United Kingdom",177cm,England eng,FW,Right,2009-2010,18 years,Tranmere Rovers,2009,120599,https://www.transfermarkt.com/marvin-sordell/profil/spieler/120599
Raheem Sterling,https://fbref.com/en/players/b400bde0/Raheem-Sterling,Success,Not found,"December 8, 1994",Not found,170cm,England eng  Other: Jamaica,FW-MF (AM-WM),Right,2011-2012,16 years,Liverpool,2011,134425,https://www.transfermarkt.com/raheem-sterling/profil/spieler/134425
Denis Stracqualursi,https://fbref.com/en/players/623e9fe1/Denis-Stracqualursi,Success,Not found,"October 20, 1987",Not found,190cm,Not found,FW,Not found,2011-2012,23 years,Everton,2011,92544,https://www.transfermarkt.com/denis-stracqualursi/profil/spieler/92544
Andrew Surman,https://fbref.com/en/players/7d41b619/Andrew-Surman,Success,Not found,"August 20, 1986",Not found,178cm,England eng  Other: South Africa,MF (CM-DM),Left,2004-2005,17 years,Walsall,2004,29975,https://www.transfermarkt.com/andrew-surman/profil/spieler/29975
Adel Taarabt,https://fbref.com/en/players/47dc80f5/Adel-Taarabt,Success,Not found,"May 24, 1989 (Age: 36-185d)","Fes-Medina, Morocco",177cm,Morocco ma  Other: France,FW-MF (AM-CM-WM),Right,2006-2007,17 years,Lens,2006,45287,https://www.transfermarkt.com/adel-taarabt/profil/spieler/45287
Taye Taiwo,https://fbref.com/en/players/1e437f1f/Taye-Taiwo,Success,Not found,"April 16, 1985",Not found,183cm,Nigeria,"DF (FB, left)",Right,2004-2005,19 years,Marseille,2004,28922,https://www.transfermarkt.com/taye-taiwo/profil/spieler/28922
Alan Tate,https://fbref.com/en/players/d25626aa/Alan-Tate,Success,Not found,"September 2, 1982",Not found,185cm,Not found,DF,Not found,2002-2003,19 years,Swansea City,2002,7337,https://www.transfermarkt.com/alan-tate/profil/spieler/7337
Neil Taylor,https://fbref.com/en/players/c2f9d19f/Neil-Taylor,Success,Not found,"February 7, 1989",Not found,175cm,Wales wls,"DF-MF (FB, left)",Left,2007-2008,18 years,Wrexham,2007,67416,https://www.transfermarkt.com/neil-taylor/profil/spieler/67416
Marc Tierney,https://fbref.com/en/players/d4c01c38/Marc-Tierney,Success,Not found,"August 23, 1985",Not found,183cm,Not found,"DF (FB, left)",Not found,2003-2004,17 years,Oldham Athletic,2003,67346,https://www.transfermarkt.com/marc-tierney/profil/spieler/67346
Armand Traoré,https://fbref.com/en/players/021ea92d/Armand-Traore,Success,Not found,"October 8, 1989",Not found,184cm,Senegal sn  Other: France,"DF-MF (FB-WM, left)",Left,2007-2008,17 years,Arsenal,2007,33783,https://www.transfermarkt.com/armand-traor/profil/spieler/33783
Gerhard Tremmel,https://fbref.com/en/players/4370cecc/Gerhard-Tremmel,Success,Not found,"November 16, 1978",Not found,190cm,Not found,GK,Right,1999-2000,20 years,Unterhaching,1999,488,https://www.transfermarkt.com/gerhard-tremmel/profil/spieler/488
Marcello Trotta,https://fbref.com/en/players/acdad0aa/Marcello-Trotta,Success,Not found,"September 29, 1992 (Age: 33-057d)","Santa Maria Capua Vetere, Italy",188cm,Italy,FW,Left,2011-2012,18 years,Wycombe,2011,129505,https://www.transfermarkt.com/marcello-trotta/profil/spieler/129505
Ross Turnbull,https://fbref.com/en/players/6db380ef/Ross-Turnbull,Success,Not found,"January 4, 1985",Not found,193cm,England eng,GK,Right,2003-2004,18 years,Darlington,2003,29159,https://www.transfermarkt.com/ross-turnbull/profil/spieler/29159
Josh Vela,https://fbref.com/en/players/dede4a42/Josh-Vela,Success,Not found,"December 14, 1993 (Age: 31-346d)","Salford, England, United Kingdom",181cm,Not found,"DF-MF (CM-DM-FB, right)",Right,2011-2012,17 years,Bolton,2011,173804,https://www.transfermarkt.com/josh-vela/profil/spieler/173804
Michel Vorm,https://fbref.com/en/players/1bebde9d/Michel-Vorm,Success,Not found,"October 20, 1983",Not found,183cm,Netherlands,GK,Right,2006-2007,22 years,Utrecht,2006,26276,https://www.transfermarkt.com/michel-vorm/profil/spieler/26276
Dorus de Vries,https://fbref.com/en/players/e704919e/Dorus-de-Vries,Success,Not found,"December 29, 1980",Not found,190cm,Not found,GK,Right,2003-2004,22 years,ADO Den Haag,2003,6404,https://www.transfermarkt.com/dorus-de-vries/profil/spieler/6404
Haris Vučkić,https://fbref.com/en/players/a8f4dfb9/Haris-Vuckic,Success,Not found,"August 21, 1992 (Age: 33-096d)","Ljubljana, Slovenia",185cm,Slovenia,FW-MF (AM),Both,2009-2010,16 years,Newcastle Utd,2009,76560,https://www.transfermarkt.com/haris-vuki/profil/spieler/76560
Simon Vukčević,https://fbref.com/en/players/562d696a/Simon-Vukcevic,Success,Not found,"January 29, 1986",Not found,179cm,Montenegro me  Other: Serbia,MF (AM),Left,2006,20 years,Saturn,Not found,27239,https://www.transfermarkt.com/simon-vukevi/profil/spieler/27239
Elliott Ward,https://fbref.com/en/players/58e98028/Elliott-Ward,Success,Not found,"January 19, 1985",Not found,185cm,Not found,DF (CB),Right,2004-2005,19 years,Bristol Rovers,2004,15838,https://www.transfermarkt.com/elliott-ward/profil/spieler/15838
Keiren Westwood,https://fbref.com/en/players/674ef042/Keiren-Westwood,Success,Not found,"October 23, 1984",Not found,188cm,Republic of Ireland ie  Other: England,GK,Left,2005-2006,20 years,Carlisle United,2005,15164,https://www.transfermarkt.com/keiren-westwood/profil/spieler/15164
Zak Whitbread,https://fbref.com/en/players/846e7a85/Zak-Whitbread,Success,Not found,"March 4, 1984",Not found,188cm,United States,DF (CB),Left,2005-2006,21 years,Millwall,2005,22230,https://www.transfermarkt.com/zak-whitbread/profil/spieler/22230
Connor Wickham,https://fbref.com/en/players/41cc19c2/Connor-Wickham,Success,Not found,"March 31, 1993 (Age: 32-239d)","Hereford, England, United Kingdom",191cm,England eng,FW-MF (WM),Right,2008-2009,15 years,Ipswich Town,2008,95435,https://www.transfermarkt.com/connor-wickham/profil/spieler/95435
Aaron Wilbraham,https://fbref.com/en/players/9b2c7f55/Aaron-Wilbraham,Success,Not found,"October 21, 1979",Not found,191cm,Not found,FW,Right,2000,20 years,Moss,Not found,67202,https://www.transfermarkt.com/aaron-wilbraham/profil/spieler/67202
Ashley Williams,https://fbref.com/en/players/a498e276/Ashley-Williams,Success,Not found,"August 23, 1984",Not found,183cm,Wales wls  Other: England,DF (CB),Right,2003-2004,18 years,Stockport,2003,67355,https://www.transfermarkt.com/ashley-williams/profil/spieler/67355
Jonathan Woodgate,https://fbref.com/en/players/9482a3bd/Jonathan-Woodgate,Success,Not found,"January 22, 1980",Not found,188cm,England eng,DF (CB),Right,1998-1999,18 years,Leeds United,1998,3224,https://www.transfermarkt.com/jonathan-woodgate/profil/spieler/3224
Nico Yennaris,https://fbref.com/en/players/8cc4b934/Nico-Yennaris,Success,Not found,"May 23, 1993 (Age: 32-186d)","Leytonstone, England, United Kingdom",174cm,China PR cn  Other: England,DF-MF (CM-DM-FB),Right,2011-2012,18 years,Arsenal,2011,122721,https://www.transfermarkt.com/nico-yennaris/profil/spieler/122721
Karim El Ahmadi,https://fbref.com/en/players/0ff9eabc/Karim-El-Ahmadi,Success,Not found,"January 27, 1985",Not found,185cm,Morocco ma  Other: Netherlands,MF (CM-DM),Right,2003-2004,18 years,Twente,2003,25523,https://www.transfermarkt.com/karim-el-ahmadi/profil/spieler/25523
Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,Success,Not found,"February 18, 1995 (Age: 30-280d)","The Hague, Netherlands",180cm,Netherlands,"DF-MF (CB-FB, left)",Left,2012-2013,17 years,Chelsea,2012,177476,https://www.transfermarkt.com/nathan-ak/profil/spieler/177476
Hope Akpan,https://fbref.com/en/players/1ccbca79/Hope-Akpan,Success,Not found,"August 14, 1991",Not found,180cm,Nigeria ng  Other: England,MF (CM),Right,2010-2011,18 years,Hull City,2010,61559,https://www.transfermarkt.com/hope-akpan/profil/spieler/61559
Vurnon Anita,https://fbref.com/en/players/2d368fd5/Vurnon-Anita,Success,Not found,"April 4, 1989",Not found,167cm,Curaçao cw  Other: Netherlands,DF-MF (CM-DM-FB),Right,2005-2006,16 years,Ajax,2005,30670,https://www.transfermarkt.com/vurnon-anita/profil/spieler/30670
Oussama Assaidi,https://fbref.com/en/players/483322fe/Oussama-Assaidi,Success,Not found,"August 15, 1988",Not found,176cm,Morocco,FW-MF (AM-WM),Right,2007-2008,18 years,Omniworld,2007,57275,https://www.transfermarkt.com/oussama-assaidi/profil/spieler/57275
César Azpilicueta,https://fbref.com/en/players/53cad200/Cesar-Azpilicueta,Success,Not found,"August 28, 1989 (Age: 36-089d)","Pamplona, Spain",178cm,Spain,"DF-MF (CB-FB, right)",Right,2006-2007,16 years,Osasuna,2006,57500,https://www.transfermarkt.com/csar-azpilicueta/profil/spieler/57500
Kyle Bartley,https://fbref.com/en/players/18e96f64/Kyle-Bartley,Success,Not found,"May 22, 1991 (Age: 34-187d)","Stockport, England, United Kingdom",191cm,England eng,DF (CB),Right,2009-2010,18 years,Sheffield Utd,2009,67421,https://www.transfermarkt.com/kyle-bartley/profil/spieler/67421
Luciano Becchio,https://fbref.com/en/players/3b3d4028/Luciano-Becchio,Success,Not found,"December 28, 1983",Not found,187cm,Not found,FW,Left,2004-2005,20 years,Ciudad Murcia,2004,71020,https://www.transfermarkt.com/luciano-becchio/profil/spieler/71020
Joe Bennett,https://fbref.com/en/players/dc936144/Joe-Bennett,Success,Not found,"March 28, 1990",Not found,177cm,England eng,"DF-MF (FB, left)",Left,2008-2009,18 years,Middlesbrough,2008,90964,https://www.transfermarkt.com/joe-bennett/profil/spieler/90964
Christian Benteke,https://fbref.com/en/players/ab070c55/Christian-Benteke,Success,Not found,"December 3, 1990 (Age: 34-357d)","Kinshasa, Congo DR",190cm,Belgium be  Other: Congo DR,FW,Right,2007-2008,16 years,Genk,2007,50201,https://www.transfermarkt.com/christian-benteke/profil/spieler/50201
Gaël Bigirimana,https://fbref.com/en/players/b48778f2/Gael-Bigirimana,Success,Not found,"October 22, 1993 (Age: 32-034d)","Bujumbura, Burundi",173cm,Burundi bi  Other: England,MF (CM),Right,2011-2012,17 years,Coventry City,2011,158697,https://www.transfermarkt.com/gal-bigirimana/profil/spieler/158697
Fabio Borini,https://fbref.com/en/players/ef5b337e/Fabio-Borini,Success,Not found,"March 29, 1991 (Age: 34-241d)","Bentivoglio, Italy",180cm,Italy,FW-MF (AM),Right,2009-2010,18 years,Chelsea,2009,96754,https://www.transfermarkt.com/fabio-borini/profil/spieler/96754
Artur Boruc,https://fbref.com/en/players/34ccf6fa/Artur-Boruc,Success,Not found,"February 20, 1980",Not found,193cm,Poland,GK,Right,2002-2003,22 years,Legia Warsaw,2002,15220,https://www.transfermarkt.com/artur-boruc/profil/spieler/15220
Jordan Bowery,https://fbref.com/en/players/8f5a4e15/Jordan-Bowery,Success,Not found,"July 2, 1991 (Age: 34-146d)","Nottingham, England, United Kingdom",185cm,Saint Kitts and Nevis kn  Other: England,DF-FW-MF,Right,2008-2009,17 years,Chesterfield,2008,94655,https://www.transfermarkt.com/jordan-bowery/profil/spieler/94655
Izzy Brown,https://fbref.com/en/players/bf54c8cc/Izzy-Brown,Success,Not found,"January 7, 1997",Not found,182cm,England eng,FW-MF (AM),Right,2012-2013,15 years,West Brom,2012,245805,https://www.transfermarkt.com/izzy-brown/profil/spieler/245805
Alexander Büttner,https://fbref.com/en/players/a44f7c60/Alexander-Buttner,Success,Not found,"February 11, 1989 (Age: 36-287d)","Gemeente Doetinchem, Netherlands",176cm,Netherlands,"DF-MF (FB, left)",Left,2007-2008,18 years,Vitesse,2007,38003,https://www.transfermarkt.com/alexander-bttner/profil/spieler/38003
Geoff Cameron,https://fbref.com/en/players/1a160ea3/Geoff-Cameron,Success,Not found,"July 11, 1985",Not found,191cm,United States,DF-MF (CB-DM),Right,2008,22 years,Houston Dynamo,Not found,31642,https://www.transfermarkt.com/geoff-cameron/profil/spieler/31642
Lee Camp,https://fbref.com/en/players/df4b8b69/Lee-Camp,Success,Not found,"August 22, 1984",Not found,185cm,Northern Ireland nir  Other: England,GK,Right,2003-2004,18 years,QPR,2003,42411,https://www.transfermarkt.com/lee-camp/profil/spieler/42411
Eduard Campabadal,https://fbref.com/en/players/bbf23a57/Eduard-Campabadal,Success,Not found,"January 26, 1993 (Age: 32-303d)","Tarragona, Spain",183cm,Spain,"DF (FB, right)",Right,2012-2013,19 years,Wigan Athletic,2012,126722,https://www.transfermarkt.com/eduard-campabadal/profil/spieler/126722
Adam Campbell,https://fbref.com/en/players/e3aa211f/Adam-Campbell,Success,Not found,"January 1, 1995 (Age: 30-328d)","North Shields, England, United Kingdom",168cm,England eng,FW-MF (WM),Both,2012-2013,17 years,Newcastle Utd,2012,204354,https://www.transfermarkt.com/adam-campbell/profil/spieler/204354
Daniel Carriço,https://fbref.com/en/players/e1deea75/Daniel-Carrico,Success,Not found,"August 4, 1988",Not found,182cm,Portugal,DF-MF (CB-DM),Right,2008-2009,19 years,Sporting CP,2008,37712,https://www.transfermarkt.com/daniel-carrio/profil/spieler/37712
Tom Carroll,https://fbref.com/en/players/5a1900a4/Tom-Carroll,Success,Not found,"May 28, 1992 (Age: 33-181d)","Watford, England, United Kingdom",171cm,England eng,"MF (CM-DM, left)",Left,2010-2011,18 years,Leyton Orient,2010,121279,https://www.transfermarkt.com/tom-carroll/profil/spieler/121279
Santi Cazorla,https://fbref.com/en/players/e2e9c250/Santi-Cazorla,Success,Not found,"December 13, 1984 (Age: 40-347d)","Lugo de Llanera, Spain",165cm,Spain,MF (AM-WM),Right,2003-2004,18 years,Villarreal,2003,15799,https://www.transfermarkt.com/santi-cazorla/profil/spieler/15799
Júlio César,https://fbref.com/en/players/754ac76b/Julio-Cesar,Success,Not found,"November 18, 1978",Not found,185cm,Not found,DF (CB),Not found,1996-1997,17 years,Valladolid,1996,22412,https://www.transfermarkt.com/jlio-csar/profil/spieler/22412
Richard Chaplow,https://fbref.com/en/players/66835431/Richard-Chaplow,Success,Not found,"February 2, 1985",Not found,175cm,England eng,MF,Right,2002-2003,17 years,Burnley,2002,9975,https://www.transfermarkt.com/richard-chaplow/profil/spieler/9975
Nathaniel Clyne,https://fbref.com/en/players/0442183b/Nathaniel-Clyne,Success,Not found,"April 5, 1991 (Age: 34-234d)","Stockwell, England, United Kingdom",175cm,England eng,"DF (FB, right)",Right,2008-2009,17 years,Crystal Palace,2008,85177,https://www.transfermarkt.com/nathaniel-clyne/profil/spieler/85177
Conor Coady,https://fbref.com/en/players/2928dca2/Conor-Coady,Success,Not found,"February 25, 1993 (Age: 32-273d)","Liverpool, England, United Kingdom",185cm,England eng,DF-MF (CB-DM-WM),Right,2012-2013,19 years,Liverpool,2012,128901,https://www.transfermarkt.com/conor-coady/profil/spieler/128901
Jack Cork,https://fbref.com/en/players/74e12f1e/Jack-Cork,Success,Not found,"June 25, 1989",Not found,185cm,England eng,DF-MF (CM-DM),Right,2006-2007,17 years,Bournemouth,2006,40613,https://www.transfermarkt.com/jack-cork/profil/spieler/40613
Philippe Coutinho,https://fbref.com/en/players/0ef89a37/Philippe-Coutinho,Success,Not found,"June 12, 1992 (Age: 33-166d)","Rio de Janeiro, Brazil",172cm,Brazil,FW-MF (AM-WM),Right,2010-2011,18 years,Inter,2010,80444,https://www.transfermarkt.com/philippe-coutinho/profil/spieler/80444
Shaun Cummings,https://fbref.com/en/players/6bfe339f/Shaun-Cummings,Success,Not found,"February 25, 1989",Not found,183cm,Jamaica jm  Other: England,DF,Right,2008-2009,19 years,MK Dons,2008,40614,https://www.transfermarkt.com/shaun-cummings/profil/spieler/40614
Ben Davies,https://fbref.com/en/players/b99746b2/Ben-Davies,Success,Not found,"May 27, 1981",Not found,170cm,Not found,DF-MF,Right,2004-2005,23 years,Chester City,2004,192765,https://www.transfermarkt.com/ben-davies/profil/spieler/192765
Kelvin Davis,https://fbref.com/en/players/33b6ee02/Kelvin-Davis,Success,Not found,"September 29, 1976",Not found,185cm,England eng,GK,Right,2001-2002,24 years,Wimbledon,2001,13640,https://www.transfermarkt.com/kelvin-davis/profil/spieler/13640
Steven Davis,https://fbref.com/en/players/cf15bbb1/Steven-Davis,Success,Not found,"January 1, 1985",Not found,170cm,Northern Ireland nir,MF (CM-DM),Right,2004-2005,19 years,Aston Villa,2004,28973,https://www.transfermarkt.com/steven-davis/profil/spieler/28973
Simon Dawkins,https://fbref.com/en/players/9db762f1/Simon-Dawkins,Success,Not found,"December 1, 1987",Not found,178cm,Jamaica jm  Other: England,FW-MF,Right,2008-2009,20 years,Leyton Orient,2008,57488,https://www.transfermarkt.com/simon-dawkins/profil/spieler/57488
Steve De Ridder,https://fbref.com/en/players/7561b81d/Steve-De-Ridder,Success,Not found,"February 25, 1987",Not found,179cm,Belgium,FW-MF (AM-WM),Right,2006-2007,19 years,Gent,2006,41818,https://www.transfermarkt.com/steve-de-ridder/profil/spieler/41818
Mathieu Debuchy,https://fbref.com/en/players/92232aad/Mathieu-Debuchy,Success,Not found,"July 28, 1985",Not found,177cm,France,"DF (FB, right)",Right,2003-2004,18 years,Lille,2003,27306,https://www.transfermarkt.com/mathieu-debuchy/profil/spieler/27306
Ashkan Dejagah,https://fbref.com/en/players/5171db60/Ashkan-Dejagah,Success,Not found,"July 5, 1986",Not found,181cm,Iran ir  Other: Germany,FW-MF (AM-WM),Right,2004-2005,18 years,Hertha BSC,2004,13979,https://www.transfermarkt.com/ashkan-dejagah/profil/spieler/13979
Guy Demel,https://fbref.com/en/players/605bba68/Guy-Demel,Success,Not found,"June 13, 1981",Not found,189cm,Côte d'Ivoire ci  Other: France,"DF-MF (FB, right)",Right,2002-2003,21 years,Dortmund,2002,1368,https://www.transfermarkt.com/guy-demel/profil/spieler/1368
Alou Diarra,https://fbref.com/en/players/9b74ce00/Alou-Diarra,Success,Not found,"July 15, 1981",Not found,190cm,France,MF (DM),Right,2002-2003,21 years,Le Havre,2002,1327,https://www.transfermarkt.com/alou-diarra/profil/spieler/1327
Maurice Edu,https://fbref.com/en/players/748dbb80/Maurice-Edu,Success,Not found,"April 18, 1986",Not found,183cm,United States,DF-MF (CM-DM),Right,2007,20 years,Toronto FC,Not found,50987,https://www.transfermarkt.com/maurice-edu/profil/spieler/50987
Rob Elliot,https://fbref.com/en/players/9ade4dc1/Robbie-Elliott,Success,Not found,"December 25, 1973",Not found,178cm,Not found,"DF (FB, left)",Not found,1993-1994,19 years,Newcastle Utd,1993,39037,https://www.transfermarkt.com/rob-elliot/profil/spieler/39037
Urby Emanuelson,https://fbref.com/en/players/66e83563/Urby-Emanuelson,Success,Not found,"June 16, 1986",Not found,176cm,Netherlands,"DF-FW-MF (FB-WM, left)",Left,2004-2005,18 years,Ajax,2004,20586,https://www.transfermarkt.com/urby-emanuelson/profil/spieler/20586
Eyong Enoh,https://fbref.com/en/players/d3dcab48/Eyong-Enoh,Success,Not found,"March 23, 1986",Not found,180cm,Cameroon,MF (DM),Right,2008-2009,22 years,Ajax,2008,47344,https://www.transfermarkt.com/eyong-enoh/profil/spieler/47344
Roger Espinoza,https://fbref.com/en/players/60b7c195/Roger-Espinoza,Success,Not found,"October 25, 1986",Not found,181cm,Honduras,"DF-MF (CM-DM-FB-WM, right)",Left,2008,21 years,KC Wizards,Not found,71096,https://www.transfermarkt.com/roger-espinoza/profil/spieler/71096
Iago Falque,https://fbref.com/en/players/440c84ed/Iago-Falque,Success,Not found,"January 4, 1990",Not found,174cm,Spain,FW-MF (AM-WM),Left,2010-2011,20 years,Villarreal B,2010,59340,https://www.transfermarkt.com/iago-falque/profil/spieler/59340
Adam Federici,https://fbref.com/en/players/e5ea8be7/Adam-Federici,Success,Not found,"January 31, 1985",Not found,188cm,Australia,GK,Right,2006-2007,21 years,Reading,2006,4233,https://www.transfermarkt.com/adam-federici/profil/spieler/4233
Chico Flores,https://fbref.com/en/players/95825cf2/Chico-Flores,Success,Not found,"March 6, 1987",Not found,187cm,Spain,DF (CB),Right,2006-2007,19 years,Cádiz,2006,51681,https://www.transfermarkt.com/chico-flores/profil/spieler/51681
José Fonte,https://fbref.com/en/players/90f87966/Jose-Fonte,Success,Not found,"December 22, 1983 (Age: 41-338d)","Penafiel, Portugal",187cm,Portugal,"DF (CB, right)",Right,2005-2006,21 years,Paços de Ferreira,2005,33829,https://www.transfermarkt.com/jos-fonte/profil/spieler/33829
Danny Fox,https://fbref.com/en/players/857ec97f/Danny-Fox,Success,Not found,"May 29, 1986",Not found,183cm,Scotland sct  Other: England,"DF-MF (CB-FB-WM, left)",Left,2005-2006,19 years,Walsall,2005,31553,https://www.transfermarkt.com/danny-fox/profil/spieler/31553
Fraser Fyvie,https://fbref.com/en/players/c9c0913c/Fraser-Fyvie,Success,Not found,"March 27, 1993 (Age: 32-243d)","Aberdeen, Scotland, United Kingdom",172cm,Scotland sct,MF,Not found,2009-2010,16 years,Aberdeen,2009,107350,https://www.transfermarkt.com/fraser-fyvie/profil/spieler/107350
Javi García,https://fbref.com/en/players/8560652b/Javi-Garcia-Almendro,Success,Not found,"October 1, 1969",Not found,Not found,Not found,FW,Not found,1992-1993,22 years,Rayo Vallecano,1992,36350,https://www.transfermarkt.com/javi-garca/profil/spieler/36350
Javier Garrido,https://fbref.com/en/players/3b142ce5/Javier-Garrido,Success,Not found,"March 15, 1985",Not found,180cm,Spain,"DF (CB-FB, left)",Left,2004-2005,19 years,Real Sociedad,2004,7571,https://www.transfermarkt.com/javier-garrido/profil/spieler/7571
Paulo Gazzaniga,https://fbref.com/en/players/63d17038/Paulo-Gazzaniga,Success,Not found,"January 2, 1992 (Age: 33-327d)","Chateaubriand, Argentina",196cm,Argentina,GK,Right,2011-2012,19 years,Gillingham,2011,195488,https://www.transfermarkt.com/paulo-gazzaniga/profil/spieler/195488
Olivier Giroud,https://fbref.com/en/players/16ceb862/Olivier-Giroud,Success,Not found,"September 30, 1986 (Age: 39-056d)","Chambéry, France",192cm,France,FW,Left,2009-2010,22 years,Tours,2009,82442,https://www.transfermarkt.com/olivier-giroud/profil/spieler/82442
Serge Gnabry,https://fbref.com/en/players/88e357ef/Serge-Gnabry,Success,Not found,"July 14, 1995 (Age: 30-134d)","Stuttgart, Germany",173cm,Germany,FW-MF (AM-WM),Right,2012-2013,17 years,Arsenal,2012,159471,https://www.transfermarkt.com/serge-gnabry/profil/spieler/159471
Román Golobart,https://fbref.com/en/players/564f1536/Roman-Golobart,Success,Not found,"March 21, 1992",Not found,193cm,Spain,DF (CB),Not found,2011-2012,19 years,Inverness CT,2011,90273,https://www.transfermarkt.com/romn-golobart/profil/spieler/90273
Kaspars Gorkšs,https://fbref.com/en/players/a340b996/Kaspars-Gorkss,Success,Not found,"November 6, 1981",Not found,191cm,Latvia,DF,Right,2003,21 years,Öster,Not found,30379,https://www.transfermarkt.com/kaspars-gorks/profil/spieler/30379
Yoan Gouffran,https://fbref.com/en/players/a28d181a/Yoan-Gouffran,Success,Not found,"May 25, 1986",Not found,176cm,France,FW-MF (WM),Right,2004-2005,18 years,Caen,2004,23825,https://www.transfermarkt.com/yoan-gouffran/profil/spieler/23825
Esteban Granero,https://fbref.com/en/players/1b17ed86/Esteban-Granero,Success,Not found,"July 2, 1987",Not found,180cm,Spain,MF,Right,2006-2007,19 years,Real Madrid B,2006,44065,https://www.transfermarkt.com/esteban-granero/profil/spieler/44065
Chris Gunter,https://fbref.com/en/players/8593f88c/Christian-Gunter,Success,Not found,"February 28, 1993 (Age: 32-270d)","Villingen-Schwenningen, Germany",184cm,Germany,"DF-MF (FB-WM, left)",Left,2012-2013,19 years,Freiburg,2012,43853,https://www.transfermarkt.com/chris-gunter/profil/spieler/43853
Jonathan de Guzmán,https://fbref.com/en/players/1bcca8b8/Jonathan-de-Guzman,Success,Not found,"September 13, 1987 (Age: 38-073d)","Toronto, Ontario, Canada",173cm,Netherlands nl  Other: Canada,MF (AM-CM-DM),Right,2005-2006,17 years,Feyenoord,2005,31067,https://www.transfermarkt.com/jonathan-de-guzmn/profil/spieler/31067
Massadio Haïdara,https://fbref.com/en/players/5167c97e/Massadio-Haidara,Success,Not found,"December 2, 1992 (Age: 32-358d)","Trappes, France",179cm,Mali ml  Other: France,"DF-MF (FB, left)",Left,2010-2011,17 years,Nancy,2010,170929,https://www.transfermarkt.com/massadio-hadara/profil/spieler/170929
Robert Hall,https://fbref.com/en/players/89602ebf/Robert-Hall,Success,Not found,"October 20, 1993",Not found,173cm,England eng,FW-MF (WM),Right,2011-2012,17 years,MK Dons,2011,121236,https://www.transfermarkt.com/robert-hall/profil/spieler/121236
Ian Harte,https://fbref.com/en/players/fd4fa092/Ian-Harte,Success,Not found,"August 31, 1977",Not found,175cm,Republic of Ireland,"DF (FB, left)",Left,1995-1996,17 years,Leeds United,1995,3634,https://www.transfermarkt.com/ian-harte/profil/spieler/3634
Eden Hazard,https://fbref.com/en/players/a39bb753/Eden-Hazard,Success,Not found,"January 7, 1991",Not found,173cm,Belgium,"FW-MF (AM-WM, left)",Right,2007-2008,16 years,Lille,2007,50202,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202
Ángelo Henríquez,https://fbref.com/en/players/6f3a433e/Angelo-Henriquez,Success,Not found,"April 13, 1994 (Age: 31-226d)","Santiago, Chile",175cm,Chile,FW,Right,2012-2013,18 years,Wigan Athletic,2012,189740,https://www.transfermarkt.com/ngelo-henrquez/profil/spieler/189740
Pablo Hernández,https://fbref.com/en/players/c0398aca/Pablo-Hernandez,Success,Not found,"April 11, 1985",Not found,173cm,Spain,"FW-MF (AM-WM, right)",Right,2005-2006,20 years,Valencia,2005,46220,https://www.transfermarkt.com/pablo-hernndez/profil/spieler/46220
Brett Holman,https://fbref.com/en/players/4f0d1bbe/Brett-Holman,Success,Not found,"March 27, 1984",Not found,177cm,Australia,FW-MF (AM-WM),Right,2002-2003,18 years,Excelsior,2002,21496,https://www.transfermarkt.com/brett-holman/profil/spieler/21496
Lewis Holtby,https://fbref.com/en/players/410ab123/Lewis-Holtby,Success,Not found,"September 18, 1990 (Age: 35-068d)","Erkelenz, Germany",176cm,Germany,MF (AM-CM-DM-WM),Left,2007-2008,16 years,AA Aachen,2007,55508,https://www.transfermarkt.com/lewis-holtby/profil/spieler/55508
Jos Hooiveld,https://fbref.com/en/players/f544a6ab/Jos-Hooiveld,Success,Not found,"April 22, 1983",Not found,193cm,Netherlands,DF-MF (CB),Left,2003-2004,20 years,Heerenveen,2003,4624,https://www.transfermarkt.com/jos-hooiveld/profil/spieler/4624
Noel Hunt,https://fbref.com/en/players/6825c1f9/Noel-Hunt,Success,Not found,"December 26, 1982",Not found,173cm,Republic of Ireland,FW-MF (WM),Left,2002-2003,19 years,Dunfermline Ath.,2002,12628,https://www.transfermarkt.com/noel-hunt/profil/spieler/12628
Jordon Ibe,https://fbref.com/en/players/9f736ed2/Jordon-Ibe,Success,Not found,"December 8, 1995",Not found,176cm,England eng,"FW-MF (WM, right)",Right,2011-2012,15 years,Wycombe,2011,195652,https://www.transfermarkt.com/jordon-ibe/profil/spieler/195652
