player_name,transfermarkt_url
Mame Biram Diouf,https://www.transfermarkt.com/mame-biram-diouf/profil/spieler/62049
Robbie Blake,https://www.transfermarkt.com/robbie-blake/profil/spieler/3490
Luís Boa Morte,https://www.transfermarkt.com/lus-boa-morte/profil/spieler/3422
Jérôme Boateng,https://www.transfermarkt.com/jrme-boateng/profil/spieler/26485
Ruud Boffin,https://www.transfermarkt.com/ruud-boffin/profil/spieler/31336
Ádám Bogdán,https://www.transfermarkt.com/dm-bogdn/profil/spieler/55247
Mauro Boselli,https://www.transfermarkt.com/mauro-boselli/profil/spieler/40822
José Bosingwa,https://www.transfermarkt.com/jos-bosingwa/profil/spieler/9813
Lee Bowyer,https://www.transfermarkt.com/lee-bowyer/profil/spieler/3877
Dedryck Boyata,https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262
Emmerson Boyce,https://www.transfermarkt.com/emmerson-boyce/profil/spieler/19641
Michael Bradley,https://www.transfermarkt.com/michael-bradley/profil/spieler/30593
Titus Bramble,https://www.transfermarkt.com/titus-bramble/profil/spieler/3130
Wayne Bridge,https://www.transfermarkt.com/wayne-bridge/profil/spieler/3682
Matthew Briggs,https://www.transfermarkt.com/matthew-briggs/profil/spieler/51318
Wes Brown,https://www.transfermarkt.com/wes-brown/profil/spieler/3405
Jeffrey Bruma,https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721
Chris Brunt,https://www.transfermarkt.com/chris-brunt/profil/spieler/36814
Mark Bunn,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319
Gary Cahill,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511
Tim Cahill,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556
Gary Caldwell,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791
Steven Caldwell,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462
DJ Campbell,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896
Fraizer Campbell,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
Sol Campbell,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198
John Carew,https://www.transfermarkt.com/john-carew/profil/spieler/3570
David Carney,https://www.transfermarkt.com/david-carney/profil/spieler/10387
Stephen Carr,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046
Jamie Carragher,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597
Michael Carrick,https://www.transfermarkt.com/michael-carrick/profil/spieler/3878
