player_name,nation,player_url_fbref,current age_fbref,dob_age_fbref,place_birth_fbref,height_fbref,citizenship_fbref,position_fbref,foot_fbref,current_club_fbref,debut_season_fbref,debut_age_fbref,first_club_fbref,debut_year_fbref,player_url_tra,slug,player_id_fbref,home_name_fbref,dob_age_tra,YEAR_tra,place_birth_tra,height_tra,citizenship_tra,position_tra,foot_tra,current_club_tra,joined_tra,contract_expires_tra,outfitter_tra,first_tier_debut_date,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,injury_count_total_tra,days_missed_total_tra,games_missed_total_tra,injury_seasons_tra,Deceased_tra,death_date,death_age,retired_tra,retirement_date_tra,year_retirement,career_lenght,career_lenght_w_actives_and_dead,shirt_number_tra,National_team,total_seasons_national,matches_national,minutes_national,goals_national,CAREER Sum of matches_played,CAREER Sum of minutes,CAREER Sum of goals
Íñigo López,es ESP,https://fbref.com/en/players/8c61ca86/Inigo-Lopez,43,7/23/1982,NA,185cm,NA,DF (CB),Right,NA,2010-2011,28,Granada,2010,https://www.transfermarkt.com/inigo-lopez/profil/spieler/75238,inigo-lopez,75238,Iñigo López,23/07/1982,1982,Logroño,1.85,Spain,Defender - Centre-Back,right,UD Sanse,1/1/2021,NA,NA,1/10/2011,29,LaLiga,29/08/2010,28,Segunda División,28,NA,NA,NA,1/0/1900,No,NA,NA,Yes,1/1/2021,2021,11,11,NA,No,0,Not_national_team,Not_national_team,Not_national_team,196,16402,12
Ádám Pintér,hu HUN,https://fbref.com/en/players/fdbcd938/Adam-Pinter,37,6/12/1988,NA,190cm,Hungary,DF-MF (CB-DM),Right,NA,2006-2007,18,MTK Budapest,2006,https://www.transfermarkt.com/adam-pinter/profil/spieler/63209,adam-pinter,63209,Ádám Pintér,12/6/1988,1988,Balassagyarmat,1.9,Hungary,Defender - Centre-Back,right,MTK Budapest,1/7/2021,NA,Nike,29/07/2006,18,Nemzeti Bajnokság,3/2/2017,28,2.Bundesliga,18,8,162,25,4,No,NA,NA,Yes,1/7/2021,2021,15,15,NA,Yes,7,20,979,0,242,17508,6
Álex Bergantiños,es ESP,https://fbref.com/en/players/65ea8868/Alex-Bergantinos,40,6/7/1985,NA,177cm,NA,MF (DM),Right,NA,2009-2010,24,Xerez,2009,https://www.transfermarkt.com/alex-bergantinos/profil/spieler/72189,alex-bergantinos,72189,Álex Bergantiños,7/6/1985,1985,A Coruña,1.76,Spain,Midfield - Defensive Midfield,right,Dep. La Coruña,1/7/2023,NA,NA,"30/08/2009	",24,LaLiga,"14/09/2008	",23,Segunda División,23,2,28,4,2,No,NA,NA,Yes,1/7/2023,2023,14,14,NA,No,0,Not_national_team,Not_national_team,Not_national_team,316,25278,10
Álex Campos,es ESP,https://fbref.com/en/players/24ad632c/Alex-Campos,34,6/28/1991,"Madrid, Spain",180cm,Spain,GK,Right,NA,2014-2015,23,Rayo Vallecano,2014,https://www.transfermarkt.com/alex-campos/profil/spieler/249466,alex-campos,249466,Álex Campos,28/06/1991 (34),1991,Madrid,1.8,Spain,Goalkeeper,NA,Marchamalo,1/7/2018,NA,NA,1/0/1900,NA,NA,NA,NA,NA,no_prof_debut,NA,NA,NA,1/0/1900,No,NA,NA,Yes,1/7/2018,2018,4,11,NA,No,0,Not_national_team,Not_national_team,Not_national_team,0,0,0
Álex Fernández,es ESP,https://fbref.com/en/players/aa677a35/Alex-Fernandez,32,"October 15, 1992 (Age: 33-011d)","Madrid, Spain",180cm,Spain,DF-MF (AM-CM-DM),Right,Cádiz,2010-2011,17,Real Madrid,2010,https://www.transfermarkt.com/alex-fernandez/profil/spieler/89733,alex-fernandez,89733,Álex Fernández,15/10/1992,1992,Alcalá de Henares,1.83,Spain,Midfield - Central Midfield,right,Cádiz CF,7/8/2017,30/06/2026,NA,6/3/2011,18,LaLiga,17/08/2012,19,Segunda División,18,NA,NA,NA,1/0/1900,No,NA,NA,No,NA,NA,NA,15,8,No,0,Not_national_team,Not_national_team,Not_national_team,259,19918,9
Álex Gálvez,es ESP,https://fbref.com/en/players/960fb42d/Alex-Galvez,36,6/6/1989,NA,188cm,NA,DF-MF (CB-DM),Right,NA,2011-2012,22,Sporting Gijón,2011,https://www.transfermarkt.com/alejandro-galvez/profil/spieler/128488,alejandro-galvez,128488,Alejandro Gálvez,06/06/1989 (36),1989,Granada,1.9,Spain,Defender - Centre-Back,right,Armilla,1/7/2025,30/06/2026,NA,15/01/2012,22,LaLiga,10/10/2021,32,Segunda División,22,13,243,27,6,No,NA,NA,No,NA,NA,NA,14,NA,No,0,Not_national_team,Not_national_team,Not_national_team,201,15222,8
Álex López,es ESP,https://fbref.com/en/players/30b44896/Alex-Lopez,37,1/11/1988,NA,175cm,Spain,MF (CM-DM),Right,NA,2009-2010,21,Celta Vigo,2009,https://www.transfermarkt.com/alex-lopez/profil/spieler/127457,alex-lopez,127457,Álex López,11/1/1988,1988,Ferrol,1.78,Spain,Midfield - Central Midfield,right,Racing Ferrol,3/2/2025,NA,NA,18/08/2012,24,LaLiga,15/05/2005,17,Segunda División,17,1,197,27,1,No,NA,NA,Yes,3/2/2025,2025,16,16,NA,No,0,Not_national_team,Not_national_team,Not_national_team,312,20074,24
Álex Martínez,es ESP,https://fbref.com/en/players/e1c805cf/Alex-Martinez,34,8/12/1990,NA,176cm,NA,"DF-MF (FB, left)",Left,NA,2010-2011,19,Betis,2010,https://www.transfermarkt.com/alex-martinez/profil/spieler/186891,alex-martinez,186891,Álex Martínez,12/8/1990,1990,Sevilla,1.76,Spain,Defender - Left-Back,left,Marbella FC,1/7/2025,30/06/2026,NA,27/08/2011,21,LaLiga,11/5/2011,20,Segunda División,20,5,515,64,3,No,NA,NA,No,NA,NA,NA,15,3,No,0,Not_national_team,Not_national_team,Not_national_team,181,14776,7
Álex Menéndez,es ESP,https://fbref.com/en/players/ddab8ee4/Alex-Menendez,34,"July 15, 1991 (Age: 34-103d)","Gijón, Spain",181cm,NA,"DF (FB, left)",Left,UP Langreo,2011-2012,20,Sporting Gijón,2011,https://www.transfermarkt.com/alex-menendez/profil/spieler/175921,alex-menendez,175921,Álex Menéndez,15/07/1991,1991,Gijón,1.81,Spain,Defender - Left-Back,left,UP Langreo,12/7/2024,30/06/2026,NA,1/5/2012,20,LaLiga,26/01/2013,21,Segunda División,20,3,129,9,3,No,NA,NA,No,NA,NA,NA,14,3,No,0,Not_national_team,Not_national_team,Not_national_team,117,8950,2
Álex Moreno,es ESP,https://fbref.com/en/players/16e9d0ea/Alex-Moreno,32,"June 8, 1993 (Age: 32-140d)","Sant Sadurní d'Anoia, Spain",179cm,NA,"DF-MF (FB-WM, left)",Left,Girona,2013-2014,20,Mallorca,2013,https://www.transfermarkt.com/alex-moreno/profil/spieler/193098,alex-moreno,193098,Álex Moreno,08/06/1993 (32),1993,Vilafranca Del Penedès,1.79,Spain,Defender - Left-Back,left,Girona,22/08/2025,30/06/2027,NA,14/09/2014,21,LaLiga,18/08/2013,20,Segunda División,20,12,344,35,10,No,NA,NA,No,NA,NA,NA,12,24,No,0,Not_national_team,Not_national_team,Not_national_team,396,28773,21
Álex Pérez,es ESP,https://fbref.com/en/players/8dac6f70/Alex-Perez,33,8/11/1991,NA,191cm,NA,DF (CB),Right,NA,2011-2012,19,Getafe,2011,https://www.transfermarkt.com/alex-perez/profil/spieler/167830,alex-perez,167830,Álex Pérez,11/8/1991,1991,Madrid,1.9,Spain,Defender - Centre-Back,right,CD Lugo,1/7/2023,NA,NA,5/5/2012,20,LaLiga,6/10/2012,21,Segunda División,20,5,472,57,3,No,NA,NA,Yes,1/7/2023,2023,12,12,NA,No,0,Not_national_team,Not_national_team,Not_national_team,190,15499,4
Álex Remiro,es ESP,https://fbref.com/en/players/374ee424/Alex-Remiro,30,"March 24, 1995 (Age: 30-216d)","Cascante, Spain",192cm,Spain,GK,Right,Real Sociedad,2015-2016,20,Bilbao B,2015,https://www.transfermarkt.com/alex-remiro/profil/spieler/212862,alex-remiro,212862,Álex Remiro,24/03/1995 (30),1995,Cascante,1.91,Spain,Goalkeeper,right,Real Sociedad,1/7/2019,30/06/2027,NA,26/09/2019,24,LaLiga,24/08/2015,20,Segunda División,20,2,39,7,2,No,NA,NA,No,NA,NA,NA,10,1,Yes,5,2,90,0,357,32128,0
Álex Rubio,es ESP,https://fbref.com/en/players/c8c36c4f/Alex-Rubio,32,7/23/1993,NA,185cm,Spain,FW-MF (WM),NA,NA,2012-2013,19,Sevilla,2012,https://www.transfermarkt.com/alex-rubio/profil/spieler/221658,alex-rubio,221658,Álex Rubio,23/07/1993 (32),1993,San Fernando,1.85,Spain,Attack - Centre-Forward,right,Tomares,1/7/2024,30/06/2026,NA,2/9/2012,19,LaLiga,No second tier career,NA,No second tier career,19,NA,NA,NA,1/0/1900,No,NA,NA,No,NA,NA,NA,13,23,No,0,Not_national_team,Not_national_team,Not_national_team,3,105,0
Álvaro Arbeloa,es ESP,https://fbref.com/en/players/6dc73abd/Alvaro-Arbeloa,42,1/17/1983,NA,184cm,Spain,"DF (FB, right)",Right,NA,2004-2005,21,Real Madrid,2004,https://www.transfermarkt.com/alvaro-arbeloa/profil/spieler/28260,alvaro-arbeloa,28260,Álvaro Arbeloa,17/01/1983 (42),1983,Salamanca,1.84,Spain,Defender - Right-Back,right,West Ham,1/7/2017,NA,NA,16/10/2004,21,LaLiga,27/08/2005,22,Segunda División,21,7,373,73,7,No,NA,NA,Yes,1/7/2017,2017,13,13,NA,Yes,8,28,2249,0,347,27786,8
Álvaro Arroyo,es ESP,https://fbref.com/en/players/b2fa39c5/Alvaro-Arroyo,37,7/22/1988,NA,180cm,NA,DF (CB-FB),Right,NA,2011-2012,23,Getafe,2011,https://www.transfermarkt.com/alvaro-arroyo/profil/spieler/138662,alvaro-arroyo,138662,Álvaro Arroyo,22/07/1988 (37),1988,Madrid,1.8,Spain,Defender - Centre-Back,right,Albacete,1/7/2021,NA,NA,"10/04/2012	",23,LaLiga,"02/12/2012	",24,Segunda División,23,NA,NA,NA,1/0/1900,No,NA,NA,Yes,1/7/2021,2021,10,10,NA,No,0,Not_national_team,Not_national_team,Not_national_team,179,14881,2
Álvaro Cejudo,es ESP,https://fbref.com/en/players/a39b23eb/Alvaro-Cejudo,41,1/29/1984,NA,180cm,NA,MF (AM-WM),Right,NA,2009-2010,25,Las Palmas,2009,https://www.transfermarkt.com/alvaro-cejudo/profil/spieler/72779,alvaro-cejudo,72779,Álvaro Cejudo,29/01/1984 (41),1984,Puente Genil,1.76,Spain,Attack - Second Striker,right,Racing,1/7/2021,NA,NA,2/3/2011,27,LaLiga,29/08/2009,25,Segunda División,25,9,172,26,5,No,NA,NA,Yes,1/7/2021,2021,12,12,NA,No,0,Not_national_team,Not_national_team,Not_national_team,294,19361,36
Álvaro Domínguez,es ESP,https://fbref.com/en/players/cd0a9411/Alvaro-Dominguez,36,5/16/1989,NA,189cm,Spain,"DF (CB-FB, left)",Left,NA,2008-2009,19,Atlético Madrid,2008,https://www.transfermarkt.com/alvaro-dominguez/profil/spieler/62915,alvaro-dominguez,62915,Álvaro Domínguez,16/05/1989,1989,Madrid,NA,Spain,Defender - Centre-Back,NA,Mönchengladbach,6/12/2016,NA,NA,26/10/2008,19,LaLiga,No second tier career,NA,No second tier career,19,11,585,83,6,No,NA,NA,Yes,6/12/2016,2016,8,8,NA,No,0,Not_national_team,Not_national_team,Not_national_team,203,16978,9
Álvaro García,es ESP,https://fbref.com/en/players/90bbd822/Alvaro-Garcia,32,"October 27, 1992 (Age: 32-364d)","Utrera, Spain",168cm,NA,"FW-MF (AM-WM, left)",Left,Rayo Vallecano,2013-2014,20,Granada,2013,https://www.transfermarkt.com/alvaro-garcia/profil/spieler/257062,alvaro-garcia,257062,Álvaro García,27/10/1992,1992,Utrera,1.67,Spain,Attack - Left Winger,both,Rayo Vallecano,23/08/2018,30/06/2028,Puma,18/08/2013,20,LaLiga,7/9/2014,21,Segunda División,20,2,113,16,2,No,NA,NA,No,NA,NA,NA,12,18,No,0,Not_national_team,Not_national_team,Not_national_team,392,28211,57
Álvaro Giménez,es ESP,https://fbref.com/en/players/18017beb/Alvaro-Gimenez,34,"May 19, 1991 (Age: 34-160d)","Elche, Spain",182cm,Spain,FW-MF,Right,Racing Ferrol,2007-2008,16,Elche,2007,https://www.transfermarkt.com/alvaro-gimenez/profil/spieler/57935,alvaro-gimenez,57935,Álvaro Giménez,19/05/1991,1991,Elche,1.83,Spain,Attack - Centre-Forward,left,Racing Ferrol,25/07/2023,30/06/2026,NA,29/10/2011,20,LaLiga,22/09/2007,16,Segunda División,16,3,272,31,3,No,NA,NA,No,NA,NA,NA,18,20,No,0,Not_national_team,Not_national_team,Not_national_team,372,22552,65
Álvaro González,es ESP,https://fbref.com/en/players/42dcf26d/Alvaro-Gonzalez,35,"January 8, 1990 (Age: 35-291d)","Potes, Spain",183cm,Spain,"DF (CB, right)",Right,Johor Darul Ta'zim FC,2010-2011,20,Racing Sant,2010,https://www.transfermarkt.com/alvaro-gonzalez/profil/spieler/183647,alvaro-gonzalez,183647,Álvaro González,8/1/1990,1990,Potes,1.82,Spain,Defender - Centre-Back,right,CD Tenerife,12/7/2025,30/06/2027,Puma,1/5/2011,21,LaLiga,17/08/2013,23,Segunda División,21,7,86,12,5,No,NA,NA,No,NA,NA,NA,15,22,No,0,Not_national_team,Not_national_team,Not_national_team,399,34872,10
Álvaro Medrán,es ESP,https://fbref.com/en/players/31223bcf/Alvaro-Medran,31,"March 15, 1994 (Age: 31-225d)","Dos Torres, Spain",176cm,Spain,MF (CM-DM),Right,Al-Ettifaq,2013-2014,19,Real Madrid B,2013,https://www.transfermarkt.com/alvaro-medran/profil/spieler/253839,alvaro-medran,253839,Álvaro Medrán,15/03/1994,1994,Dos Torres (Córdoba),1.77,Spain,Midfield - Central Midfield,right,Al-Ettifaq,26/01/2024,30/06/2027,NA,18/10/2014,20,LaLiga,23/02/2014,19,Segunda División,19,7,433,34,7,No,NA,NA,No,NA,NA,NA,12,10,No,0,Not_national_team,Not_national_team,Not_national_team,173,11901,4
Álvaro Morata,es ESP,https://fbref.com/en/players/129af0db/Alvaro-Morata,32,"October 23, 1992 (Age: 33-003d)","Madrid, Spain",189cm,Spain,FW,Right,Como,2010-2011,17,Real Madrid,2010,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223,alvaro-morata,128223,Álvaro Morata,23/10/1992 (33),1992,Madrid,1.89,Spain,Attack - Centre-Forward,right,Como,12/8/2025,30/06/2026,adidas,12/12/2010,18,LaLiga,1/9/2012,19,Segunda División,18,28,386,67,10,No,NA,NA,No,NA,NA,NA,15,7,Yes,23,87,5257,37,560,31944,196
Álvaro Negredo,es ESP,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,39,8/20/1985,NA,186cm,Spain,FW,Left,NA,2005-2006,19,Real Madrid B,2005,https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644,alvaro-negredo,18644,Álvaro Negredo,20/08/1985 (40),1985,Madrid,1.86,Spain,Attack - Centre-Forward,left,Real Valladolid,6/3/2025,NA,New Balance,26/08/2007,22,LaLiga,27/11/2005,20,Segunda División,20,9,216,42,6,No,NA,NA,Yes,6/3/2025,2025,20,20,NA,Yes,5,9,411,7,594,37861,197
Álvaro Rubio,es ESP,https://fbref.com/en/players/149770b8/Alvaro-Rubio,46,4/18/1979,NA,178cm,Spain,DF-MF (CM-DM),NA,NA,2001-2002,22,Albacete,2001,https://www.transfermarkt.com/alvaro-rubio/profil/spieler/8323,alvaro-rubio,8323,Álvaro Rubio,18/04/1979 (46),1979,Logroño,1.8,Spain,Midfield - Defensive Midfield,right,Bengaluru FC,1/1/2017,NA,NA,26/10/2003,24,LaLiga,5/1/2000,20,LaLiga2,20,1,25,6,1,No,NA,NA,Yes,1/1/2017,2017,16,16,NA,No,0,Not_national_team,Not_national_team,Not_national_team,444,32251,8
Álvaro Vázquez,es ESP,https://fbref.com/en/players/d2d8675a/Alvaro-Vazquez,34,4/27/1991,NA,182cm,Spain,FW,Right,NA,2010-2011,19,Espanyol,2010,https://www.transfermarkt.com/alvaro-vazquez/profil/spieler/141835,alvaro-vazquez,141835,Álvaro Vázquez,27/04/1991,1991,Badalona,1.82,Spain,Attack - Centre-Forward,right,Arenas Club,27/08/2025,30/06/2026,NA,21/09/2010,19,LaLiga,26/08/2016,25,Segunda División,19,8,336,38,5,No,NA,NA,No,NA,NA,NA,15,9,No,0,Not_national_team,Not_national_team,Not_national_team,332,17861,60
Álvaro Vadillo,es ESP,https://fbref.com/en/players/61b62b33/Alvaro-Vadillo,30,9/12/1994,NA,180cm,Spain,FW-MF (AM-WM),Right,NA,2011-2012,16,Betis,2011,https://www.transfermarkt.com/alvaro-vadillo/profil/spieler/162074,alvaro-vadillo,162074,Álvaro Vadillo,12/09/1994 (31),1994,Puerto Real,1.8,Spain,Attack - Left Winger,right,Without Club,1/7/2024,NA,NA,27/08/2011,16,LaLiga,21/02/2015,20,Segunda División,16,9,585,77,7,No,NA,NA,No,NA,NA,NA,14,NA,No,0,Not_national_team,Not_national_team,Not_national_team,242,11656,20
Ángel Dealbert,es ESP,https://fbref.com/en/players/8242a7ad/Angel-Dealbert,42,1/1/1983,NA,185cm,NA,DF (CB),NA,NA,2005-2006,22,Castellón,2005,https://www.transfermarkt.com/angel-dealbert/profil/spieler/51420,angel-dealbert,51420,Ángel Dealbert,01/01/1983 (42),1983,Benlloch,1.85,Spain,Defender - Centre-Back,right,Castellón,1/7/2018,NA,NA,30/08/2009,26,LaLiga,22/12/2005,22,Segunda División,22,NA,NA,NA,1/0/1900,No,NA,NA,Yes,1/7/2018,2018,13,13,NA,No,0,Not_national_team,Not_national_team,Not_national_team,291,24827,3
Ángel Di María,ar ARG,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,37,"February 14, 1988 (Age: 37-254d)","Rosario, Argentina",180cm,Argentina,FW-MF (AM-CM-WM),Left,Rosario Central,2007-2008,19,Benfica,2007,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320,angel-di-maria,45320,Ángel Di María,14/02/1988,1988,Rosario,1.78,Argentina  Italy,Attack - Right Winger,left,Rosario Central,1/7/2025,30/06/2026,adidas,15/12/2005,17,Torneo Inicial,No second tier career,NA,No second tier career,17,51,748,146,15,No,NA,NA,No,NA,NA,NA,18,11,Yes,17,89,6202,20,721,49503,178
Ángel López,es ESP,https://fbref.com/en/players/93cdc601/Angel-Lopez,44,3/10/1981,NA,180cm,Spain,DF-MF (FB),Right,NA,2000-2001,19,Las Palmas,2000,https://www.transfermarkt.com/angel-lopez/profil/spieler/15500,angel-lopez,15500,Ángel López,10/03/1981 (44),1981,Las Palmas de Gran Canaria,1.8,Spain,Defender - Right-Back,right,UD Las Palmas,12/7/2016,NA,NA,23/09/2000,19,LaLiga,29/08/2004,23,Segunda División,19,2,339,59,2,No,NA,NA,Yes,12/7/2016,2016,16,16,NA,Yes,1,1,90,0,460,37134,14
Ángel Lafita,es ESP,https://fbref.com/en/players/0b68c35a/Angel-Lafita,40,8/7/1984,NA,188cm,NA,FW-MF (AM-WM),Right,NA,2005-2006,20,Zaragoza,2005,https://www.transfermarkt.com/angel-lafita/profil/spieler/35562,angel-lafita,35562,Ángel Lafita,07/08/1984 (41),1984,Zaragoza,1.88,Spain,Attack - Left Winger,right,Al-Jazira,2/4/2018,NA,NA,28/08/2005,21,LaLiga,No second tier career,NA,No second tier career,21,4,223,34,4,No,NA,NA,Yes,2/4/2018,2018,13,13,NA,No,0,Not_national_team,Not_national_team,Not_national_team,281,17483,35
Ángel Rodríguez,es ESP,https://fbref.com/en/players/8cfc2f69/Angel-Rodriguez,38,"April 26, 1987 (Age: 38-183d)","Santa Cruz de Tenerife, Spain",172cm,Spain,FW,Right,Tenerife,2005-2006,18,Tenerife,2005,https://www.transfermarkt.com/angel-rodriguez/profil/spieler/51510,angel-rodriguez,51510,Ángel Rodríguez,26/04/1987,1987,Santa Cruz de Tenerife,1.71,Spain,Attack - Centre-Forward,right,Without Club,1/7/2025,NA,NA,29/08/2009,22,LaLiga,15/01/2006,18,Segunda División,18,5,100,12,4,No,NA,NA,No,NA,NA,NA,20,NA,No,0,Not_national_team,Not_national_team,Not_national_team,574,29146,153
