player_name,fbref_url,transfer_url,nationality,career_length,retired,retirement_age,age_current,debut_age,debut_year,injury_count_total,days_missed_total,games_missed_total,total_matches_club,total_matches_total,seasons_club,foot,position_simple,height,debut_age_num,height_clean,debut_year_num,injuries_per_season,foot_clean,event,debut_band,height_group,inj_band,debut_decade,nationality_clean,region
Ádám Pintér,https://fbref.com/en/players/fdbcd938/Adam-Pinter,https://www.transfermarkt.com/adam-pinter/profil/spieler/63209,Hungary,15,Yes,33,37,18,2006,8,162,25,242,262,7,right,Defender,1.9,18,1.9,2006,1.142857143,right,1,"[18,21)","(1.83,2]","(3,8]",2000s,Hungary,Rest_of_World
Álex Bergantiños,https://fbref.com/en/players/65ea8868/Alex-Bergantinos,https://www.transfermarkt.com/alex-bergantinos/profil/spieler/72189,Spain,15,Yes,38,40,23,2009,2,28,4,316,316,0,right,Midfield,1.76,23,1.76,2009,0,right,1,"[21,24)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Álex Fernández,https://fbref.com/en/players/aa677a35/Alex-Fernandez,https://www.transfermarkt.com/alex-fernandez/profil/spieler/89733,Spain,15,No,NA,32,18,2010,NA,NA,NA,259,259,0,right,Midfield,1.83,18,1.83,2010,0,right,0,"[18,21)","(1.78,1.83]",NA,2010s,Spain,EU_Major
Álex Gálvez,https://fbref.com/en/players/960fb42d/Alex-Galvez,https://www.transfermarkt.com/alejandro-galvez/profil/spieler/128488,Spain,15,No,NA,36,22,2011,13,243,27,201,201,0,right,Defender,1.9,22,1.9,2011,0,right,0,"[21,24)","(1.83,2]","(8,56]",2010s,Spain,EU_Major
Álex López,https://fbref.com/en/players/30b44896/Alex-Lopez,https://www.transfermarkt.com/alex-lopez/profil/spieler/127457,Spain,20,Yes,37,37,17,2009,1,197,27,312,312,0,right,Midfield,1.78,17,1.78,2009,0,right,1,"[15,18)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Álex Martínez,https://fbref.com/en/players/e1c805cf/Alex-Martinez,https://www.transfermarkt.com/alex-martinez/profil/spieler/186891,Spain,16,No,NA,34,20,2010,5,515,64,181,181,0,left,Defender,1.76,20,1.76,2010,0,left,0,"[18,21)","[1.6,1.78]","(3,8]",2010s,Spain,EU_Major
Álex Menéndez,https://fbref.com/en/players/ddab8ee4/Alex-Menendez,https://www.transfermarkt.com/alex-menendez/profil/spieler/175921,Spain,14,No,NA,34,20,2011,3,129,9,117,117,0,left,Defender,1.81,20,1.81,2011,0,left,0,"[18,21)","(1.78,1.83]","[1,3]",2010s,Spain,EU_Major
Álex Moreno,https://fbref.com/en/players/16e9d0ea/Alex-Moreno,https://www.transfermarkt.com/alex-moreno/profil/spieler/193098,Spain,13,No,NA,32,20,2013,12,344,35,396,396,0,left,Defender,1.79,20,1.79,2013,0,left,0,"[18,21)","(1.78,1.83]","(8,56]",2010s,Spain,EU_Major
Álex Pérez,https://fbref.com/en/players/8dac6f70/Alex-Perez,https://www.transfermarkt.com/alex-perez/profil/spieler/167830,Spain,12,Yes,32,33,20,2011,5,472,57,190,190,0,right,Defender,1.9,20,1.9,2011,0,right,1,"[18,21)","(1.83,2]","(3,8]",2010s,Spain,EU_Major
Álex Rubio,https://fbref.com/en/players/c8c36c4f/Alex-Rubio,https://www.transfermarkt.com/alex-rubio/profil/spieler/221658,Spain,14,No,NA,32,19,2012,NA,NA,NA,3,3,0,right,Attack,1.85,19,1.85,2012,0,right,0,"[18,21)","(1.83,2]",NA,2010s,Spain,EU_Major
Álvaro Arbeloa,https://fbref.com/en/players/6dc73abd/Alvaro-Arbeloa,https://www.transfermarkt.com/alvaro-arbeloa/profil/spieler/28260,Spain,13,Yes,34,42,21,2004,7,373,73,347,375,8,right,Defender,1.84,21,1.84,2004,0.875,right,1,"[21,24)","(1.83,2]","(3,8]",2000s,Spain,EU_Major
Álvaro Arroyo,https://fbref.com/en/players/b2fa39c5/Alvaro-Arroyo,https://www.transfermarkt.com/alvaro-arroyo/profil/spieler/138662,Spain,10,Yes,33,37,23,2011,NA,NA,NA,179,179,0,right,Defender,1.8,23,1.8,2011,0,right,1,"[21,24)","(1.78,1.83]",NA,2010s,Spain,EU_Major
Álvaro Cejudo,https://fbref.com/en/players/a39b23eb/Alvaro-Cejudo,https://www.transfermarkt.com/alvaro-cejudo/profil/spieler/72779,Spain,12,Yes,37,41,25,2009,9,172,26,294,294,0,right,Attack,1.76,25,1.76,2009,0,right,1,"[24,30]","[1.6,1.78]","(8,56]",2000s,Spain,EU_Major
Álvaro García,https://fbref.com/en/players/90bbd822/Alvaro-Garcia,https://www.transfermarkt.com/alvaro-garcia/profil/spieler/257062,Spain,13,No,NA,32,20,2013,2,113,16,392,392,0,both,Attack,1.67,20,1.67,2013,0,both,0,"[18,21)","[1.6,1.78]","[1,3]",2010s,Spain,EU_Major
Álvaro Giménez,https://fbref.com/en/players/18017beb/Alvaro-Gimenez,https://www.transfermarkt.com/alvaro-gimenez/profil/spieler/57935,Spain,18,No,NA,34,16,2007,3,272,31,372,372,0,left,Attack,1.83,16,1.83,2007,0,left,0,"[15,18)","(1.78,1.83]","[1,3]",2000s,Spain,EU_Major
Álvaro González,https://fbref.com/en/players/42dcf26d/Alvaro-Gonzalez,https://www.transfermarkt.com/alvaro-gonzalez/profil/spieler/183647,Spain,15,No,NA,35,21,2010,7,86,12,399,399,0,right,Defender,1.82,21,1.82,2010,0,right,0,"[21,24)","(1.78,1.83]","(3,8]",2010s,Spain,EU_Major
Álvaro Medrán,https://fbref.com/en/players/31223bcf/Alvaro-Medran,https://www.transfermarkt.com/alvaro-medran/profil/spieler/253839,Spain,12,No,NA,31,19,2013,7,433,34,173,173,0,right,Midfield,1.77,19,1.77,2013,0,right,0,"[18,21)","[1.6,1.78]","(3,8]",2010s,Spain,EU_Major
Álvaro Morata,https://fbref.com/en/players/129af0db/Alvaro-Morata,https://www.transfermarkt.com/alvaro-morata/profil/spieler/128223,Spain,16,No,NA,32,18,2010,28,386,67,560,647,23,right,Attack,1.89,18,1.89,2010,1.217391304,right,0,"[18,21)","(1.83,2]","(8,56]",2010s,Spain,EU_Major
Álvaro Negredo,https://fbref.com/en/players/63b0ca6b/Alvaro-Negredo,https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644,Spain,20,Yes,40,39,20,2005,9,216,42,594,603,5,left,Attack,1.86,20,1.86,2005,1.8,left,1,"[18,21)","(1.83,2]","(8,56]",2000s,Spain,EU_Major
Álvaro Rubio,https://fbref.com/en/players/149770b8/Alvaro-Rubio,https://www.transfermarkt.com/alvaro-rubio/profil/spieler/8323,Spain,18,Yes,38,46,20,2001,1,25,6,444,444,0,right,Midfield,1.8,20,1.8,2001,0,right,1,"[18,21)","(1.78,1.83]","[1,3]",2000s,Spain,EU_Major
Álvaro Vázquez,https://fbref.com/en/players/d2d8675a/Alvaro-Vazquez,https://www.transfermarkt.com/alvaro-vazquez/profil/spieler/141835,Spain,15,No,NA,34,19,2010,8,336,38,332,332,0,right,Attack,1.82,19,1.82,2010,0,right,0,"[18,21)","(1.78,1.83]","(3,8]",2010s,Spain,EU_Major
Álvaro Vadillo,https://fbref.com/en/players/61b62b33/Alvaro-Vadillo,https://www.transfermarkt.com/alvaro-vadillo/profil/spieler/162074,Spain,16,No,NA,30,16,2011,9,585,77,242,242,0,right,Attack,1.8,16,1.8,2011,0,right,0,"[15,18)","(1.78,1.83]","(8,56]",2010s,Spain,EU_Major
Ángel Dealbert,https://fbref.com/en/players/8242a7ad/Angel-Dealbert,https://www.transfermarkt.com/angel-dealbert/profil/spieler/51420,Spain,13,Yes,35,42,22,2005,NA,NA,NA,291,291,0,right,Defender,1.85,22,1.85,2005,0,right,1,"[21,24)","(1.83,2]",NA,2000s,Spain,EU_Major
Ángel Di María,https://fbref.com/en/players/19cda00b/Angel-Di-Maria,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320,Argentina  Italy,21,No,NA,37,17,2007,51,748,146,721,810,17,left,Attack,1.78,17,1.78,2007,3,left,0,"[15,18)","[1.6,1.78]","(8,56]",2000s,Argentina Italy,EU_Major
Ángel López,https://fbref.com/en/players/93cdc601/Angel-Lopez,https://www.transfermarkt.com/angel-lopez/profil/spieler/15500,Spain,16,Yes,35,44,19,2000,2,339,59,460,461,1,right,Defender,1.8,19,1.8,2000,2,right,1,"[18,21)","(1.78,1.83]","[1,3]",2000s,Spain,EU_Major
Ángel Lafita,https://fbref.com/en/players/0b68c35a/Angel-Lafita,https://www.transfermarkt.com/angel-lafita/profil/spieler/35562,Spain,13,Yes,34,40,21,2005,4,223,34,281,281,0,right,Attack,1.88,21,1.88,2005,0,right,1,"[21,24)","(1.83,2]","(3,8]",2000s,Spain,EU_Major
Ángel Rodríguez,https://fbref.com/en/players/8cfc2f69/Angel-Rodriguez,https://www.transfermarkt.com/angel-rodriguez/profil/spieler/51510,Spain,20,No,NA,38,18,2005,5,100,12,574,574,0,right,Attack,1.71,18,1.71,2005,0,right,0,"[18,21)","[1.6,1.78]","(3,8]",2000s,Spain,EU_Major
Ángel Trujillo,https://fbref.com/en/players/08011c9c/Angel-Trujillo,https://www.transfermarkt.com/angel-trujillo/profil/spieler/101742,Spain,8,Yes,32,37,24,2011,2,102,14,160,160,0,right,Defender,1.77,24,1.77,2011,0,right,1,"[24,30]","[1.6,1.78]","[1,3]",2010s,Spain,EU_Major
Aarón Ñíguez,https://fbref.com/en/players/5d720396/Aaron-Niguez,https://www.transfermarkt.com/aaron-niguez/profil/spieler/57943,Spain,15,Yes,33,36,18,2007,5,278,59,267,267,0,both,Attack,1.7,18,1.7,2007,0,both,1,"[18,21)","[1.6,1.78]","(3,8]",2000s,Spain,EU_Major
Abdón Prats,https://fbref.com/en/players/d1b060e2/Abdon-Prats,https://www.transfermarkt.com/abdon-prats/profil/spieler/177452,Spain,15,No,NA,32,19,2011,2,54,5,282,282,0,left,Attack,1.81,19,1.81,2011,0,left,0,"[18,21)","(1.78,1.83]","[1,3]",2010s,Spain,EU_Major
Abdelaziz Barrada,https://fbref.com/en/players/89dac314/Abdelaziz-Barrada,https://www.transfermarkt.com/abdelaziz-barrada/profil/spieler/93664,Morocco  France,10,No,NA,36,25,2011,6,216,31,116,134,5,right,Attack,1.79,25,1.79,2011,1.2,right,0,"[24,30]","(1.78,1.83]","(3,8]",2010s,Morocco France,EU_Major
Abdelkader Ghezzal,https://fbref.com/en/players/9152a181/Abdelkader-Ghezzal,https://www.transfermarkt.com/abdelkader-ghezzal/profil/spieler/76406,Algeria  France,12,Yes,32,40,20,2005,5,323,53,197,205,2,right,Attack,1.83,20,1.83,2005,2.5,right,1,"[18,21)","(1.78,1.83]","(3,8]",2000s,Algeria France,EU_Major
Abdelkader Oueslati,https://fbref.com/en/players/dc90d163/Abdelkader-Oueslati,https://www.transfermarkt.com/abdelkader-oueslati/profil/spieler/220805,Tunisia  France,14,No,NA,33,20,2012,5,212,34,75,77,2,right,Midfield,1.82,20,1.82,2012,2.5,right,0,"[18,21)","(1.78,1.83]","(3,8]",2010s,Tunisia France,EU_Major
Abdoul Sissoko,https://fbref.com/en/players/f7288611/Abdoul-Sissoko,https://www.transfermarkt.com/abdoul-wahid-sissoko/profil/spieler/83368,Mali  France,18,No,NA,35,18,2010,1,8,1,267,267,0,left,Midfield,1.8,18,1.8,2010,0,left,0,"[18,21)","(1.78,1.83]","[1,3]",2010s,Mali France,EU_Major
Abdoulay Konko,https://fbref.com/en/players/43857861/Abdoulay-Konko,https://www.transfermarkt.com/abdoulay-konko/profil/spieler/22139,France  Morocco,13,Yes,33,41,20,2004,35,737,121,324,324,0,right,Defender,1.84,20,1.84,2004,0,right,1,"[18,21)","(1.83,2]","(8,56]",2000s,France Morocco,EU_Major
Abdoulaye Ba,https://fbref.com/en/players/1f54ed90/Abdoulaye-Ba,https://www.transfermarkt.com/abdoulaye-ba/profil/spieler/106837,Senegal  Portugal,16,No,NA,34,19,2011,6,176,28,189,191,1,right,Defender,1.97,19,1.97,2011,6,right,0,"[18,21)","(1.83,2]","(3,8]",2010s,Senegal Portugal,EU_Major
Abel Aguilar,https://fbref.com/en/players/6936b41b/Abel-Aguilar,https://www.transfermarkt.com/abel-aguilar/profil/spieler/37388,Colombia,14,Yes,35,40,21,2005,4,79,14,364,393,8,right,Midfield,1.85,21,1.85,2005,0.5,right,1,"[21,24)","(1.83,2]","(3,8]",2000s,Colombia,Rest_of_World
Abel Gómez Moreno,https://fbref.com/en/players/b09801d8/Abel-Gomez-Moreno,https://www.transfermarkt.com/abel-gomez/profil/spieler/29065,Spain,15,Yes,37,43,22,2004,1,25,0,371,371,0,right,Midfield,1.81,22,1.81,2004,0,right,1,"[21,24)","(1.78,1.83]","[1,3]",2000s,Spain,EU_Major
Abraham González,https://fbref.com/en/players/682bd745/Abraham-Gonzalez,https://www.transfermarkt.com/abraham-gonzalez/profil/spieler/65243,Spain,19,Yes,38,40,19,2004,3,216,33,313,313,0,right,Midfield,1.75,19,1.75,2004,0,right,1,"[18,21)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Abraham Minero,https://fbref.com/en/players/ce2c56fc/Abraham-Minero,https://www.transfermarkt.com/abraham-minero/profil/spieler/95483,Spain,15,No,NA,39,24,2010,4,158,24,250,250,0,left,Defender,1.75,24,1.75,2010,0,left,0,"[24,30]","[1.6,1.78]","(3,8]",2010s,Spain,EU_Major
Abraham Paz,https://fbref.com/en/players/15ec0042/Abraham-Paz,https://www.transfermarkt.com/abraham-paz/profil/spieler/29137,Spain,16,Yes,40,46,24,2003,1,32,6,292,292,0,right,Defender,1.78,24,1.78,2003,0,right,1,"[24,30]","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Adama Traoré,https://fbref.com/en/players/9a28eba4/Adama-Traore,https://www.transfermarkt.com/adama-traore/profil/spieler/204103,Spain  Mali,13,No,NA,29,17,2013,15,368,61,422,430,4,right,Attack,1.78,17,1.78,2013,3.75,right,0,"[15,18)","[1.6,1.78]","(8,56]",2010s,Spain Mali,EU_Major
Adil Rami,https://fbref.com/en/players/8dbff17c/Adil-Rami,https://www.transfermarkt.com/adil-rami/profil/spieler/51118,France  Morocco,17,Yes,38,39,21,2006,22,530,90,478,501,9,right,Defender,1.91,21,1.91,2006,2.444444444,right,1,"[21,24)","(1.83,2]","(8,56]",2000s,France Morocco,EU_Major
Adri Embarba,https://fbref.com/en/players/db8f0eba/Adri-Embarba,https://www.transfermarkt.com/adrian-embarba/profil/spieler/288318,Spain,13,No,NA,33,21,2013,4,91,11,401,401,0,right,Attack,1.73,21,1.73,2013,0,right,0,"[21,24)","[1.6,1.78]","(3,8]",2010s,Spain,EU_Major
Adrià Carmona,https://fbref.com/en/players/9e95dc9e/Adria-Carmona,https://www.transfermarkt.com/adria-carmona/profil/spieler/73858,Spain,8,Yes,29,33,21,2012,3,344,42,60,60,0,left,Attack,1.71,21,1.71,2012,0,left,1,"[21,24)","[1.6,1.78]","[1,3]",2010s,Spain,EU_Major
Adrián,https://fbref.com/en/players/f76e6b4e/Adrian,https://www.transfermarkt.com/adrian/profil/spieler/71271,Spain,14,No,NA,38,25,2012,2,42,11,224,224,0,right,Goalkeeper,1.9,25,1.9,2012,0,right,0,"[24,30]","(1.83,2]","[1,3]",2010s,Spain,EU_Major
Adrián Colunga,https://fbref.com/en/players/2212dd4e/Adrian-Colunga,https://www.transfermarkt.com/adrian-colunga/profil/spieler/57866,Spain,12,Yes,34,40,22,2007,4,99,14,234,234,0,right,Attack,1.72,22,1.72,2007,0,right,1,"[21,24)","[1.6,1.78]","(3,8]",2000s,Spain,EU_Major
Adrián González,https://fbref.com/en/players/57ebd662/Adrian-Gonzalez,https://www.transfermarkt.com/adrian-gonzalez/profil/spieler/44073,Spain,16,Yes,34,37,18,2006,7,188,39,437,437,0,left,Midfield,1.84,18,1.84,2006,0,left,1,"[18,21)","(1.83,2]","(3,8]",2000s,Spain,EU_Major
Adrián Gunino,https://fbref.com/en/players/05652d7c/Adrian-Gunino,https://www.transfermarkt.com/adrian-gunino/profil/spieler/76699,Uruguay,9,Yes,28,36,19,2010,1,10,1,93,93,0,right,Defender,1.72,19,1.72,2010,0,right,1,"[18,21)","[1.6,1.78]","[1,3]",2010s,Uruguay,South_America
Adrián López,https://fbref.com/en/players/88a359d4/Adrian-Lopez,https://www.transfermarkt.com/adrian-lopez/profil/spieler/45383,Spain,17,Yes,35,37,18,2006,8,384,72,406,406,0,right,Attack,1.83,18,1.83,2006,0,right,1,"[18,21)","(1.78,1.83]","(3,8]",2000s,Spain,EU_Major
Adrián Lois,https://fbref.com/en/players/4337da46/Adrian-Lois,https://www.transfermarkt.com/adrian-lois/profil/spieler/152985,Spain,16,No,NA,36,21,2009,NA,NA,NA,3,3,0,right,Attack,1.76,21,1.76,2009,0,right,0,"[21,24)","[1.6,1.78]",NA,2000s,Spain,EU_Major
Adrián Marín,https://fbref.com/en/players/b7f2edff/Adrian-Marin,https://www.transfermarkt.com/adrian-marin/profil/spieler/295414,Spain,12,No,NA,28,17,2014,5,322,47,173,173,0,left,Defender,1.78,17,1.78,2014,0,left,0,"[15,18)","[1.6,1.78]","(3,8]",2010s,Spain,EU_Major
Adrián Sardinero,https://fbref.com/en/players/51e9bb3f/Adrian-Sardinero,https://www.transfermarkt.com/adrian-sardinero/profil/spieler/125870,Spain,15,No,NA,34,20,2010,1,80,5,169,169,0,right,Attack,1.75,20,1.75,2010,0,right,0,"[18,21)","[1.6,1.78]","[1,3]",2010s,Spain,EU_Major
Adriano,https://fbref.com/en/players/9d8586c4/Adriano,https://www.transfermarkt.com/adriano/profil/spieler/34495,Brazil  Spain,21,Yes,38,40,17,2004,25,456,59,492,492,0,both,Defender,1.72,17,1.72,2004,0,both,1,"[15,18)","[1.6,1.78]","(8,56]",2000s,Brazil Spain,EU_Major
Ager Aketxe,https://fbref.com/en/players/c5eaff5c/Ager-Aketxe,https://www.transfermarkt.com/ager-aketxe/profil/spieler/158057,Spain,12,No,NA,31,20,2014,8,453,69,302,302,0,left,Attack,1.74,20,1.74,2014,0,left,0,"[18,21)","[1.6,1.78]","(3,8]",2010s,Spain,EU_Major
Agustín Pastoriza,https://fbref.com/en/players/66dd8945/Agustin-Pastoriza,https://www.transfermarkt.com/agustin-pastoriza/profil/spieler/336103,Argentina  Spain,12,No,NA,29,18,2013,NA,NA,NA,1,1,0,left,Attack,1.77,18,1.77,2013,0,left,0,"[18,21)","[1.6,1.78]",NA,2010s,Argentina Spain,EU_Major
Aitor Núñez,https://fbref.com/en/players/511e3986/Aitor-Nunez,https://www.transfermarkt.com/aitor-nunez/profil/spieler/71989,Spain,14,Yes,35,37,21,2009,NA,NA,NA,17,17,0,right,Defender,1.76,21,1.76,2009,0,right,1,"[21,24)","[1.6,1.78]",NA,2000s,Spain,EU_Major
Aitor Ocio,https://fbref.com/en/players/f1c8639b/Aitor-Ocio,https://www.transfermarkt.com/aitor-ocio/profil/spieler/7615,Spain,15,Yes,36,48,21,2000,3,201,44,196,196,0,right,Defender,1.87,21,1.87,2000,0,right,1,"[21,24)","(1.83,2]","[1,3]",2000s,Spain,EU_Major
Akihiro Ienaga,https://fbref.com/en/players/69dab98d/Akihiro-Ienaga,https://www.transfermarkt.com/akihiro-ienaga/profil/spieler/86167,Japan,21,No,NA,39,18,2010,5,189,31,358,358,0,left,Attack,1.73,18,1.73,2010,0,left,0,"[18,21)","[1.6,1.78]","(3,8]",2010s,Japan,Rest_of_World
Alan Hutton,https://fbref.com/en/players/688ae34c/Alan-Hutton,https://www.transfermarkt.com/alan-hutton/profil/spieler/9619,Scotland,18,Yes,36,40,18,2002,7,2626,65,406,442,9,right,Defender,1.85,18,1.85,2002,0.777777778,right,1,"[18,21)","(1.83,2]","(3,8]",2000s,Scotland,UK_Ireland
Albert Crusat,https://fbref.com/en/players/ba027002/Albert-Crusat,https://www.transfermarkt.com/albert-crusat/profil/spieler/51536,Spain,12,Yes,32,43,20,2002,3,351,52,258,258,0,left,Attack,1.6,20,1.6,2002,0,left,1,"[18,21)","[1.6,1.78]","[1,3]",2000s,Spain,EU_Major
Albert Luque,https://fbref.com/en/players/80a6b1d8/Albert-Luque,https://www.transfermarkt.com/albert-luque/profil/spieler/7506,Spain,13,Yes,33,47,20,1998,1,29,6,326,335,3,left,Attack,1.83,20,1.83,1998,0.333333333,left,1,"[18,21)","(1.78,1.83]","[1,3]",1990s,Spain,EU_Major
Alberto Botía,https://fbref.com/en/players/7f6bff1f/Alberto-Botia,https://www.transfermarkt.com/alberto-botia/profil/spieler/53077,Spain,17,No,NA,36,20,2008,12,361,61,322,322,0,right,Defender,1.88,20,1.88,2008,0,right,0,"[18,21)","(1.83,2]","(8,56]",2000s,Spain,EU_Major
Alberto Bueno,https://fbref.com/en/players/9b878773/Alberto-Bueno,https://www.transfermarkt.com/alberto-bueno/profil/spieler/45335,Spain,16,Yes,34,37,18,2006,4,218,23,309,309,0,right,Attack,1.78,18,1.78,2006,0,right,1,"[18,21)","[1.6,1.78]","(3,8]",2000s,Spain,EU_Major
Alberto de la Bella,https://fbref.com/en/players/8497faf7/Alberto-de-la-Bella,https://www.transfermarkt.com/alberto-de-la-bella/profil/spieler/73319,Spain,15,Yes,37,39,22,2008,13,455,71,350,350,0,left,Defender,1.82,22,1.82,2008,0,left,1,"[21,24)","(1.78,1.83]","(8,56]",2000s,Spain,EU_Major
Alberto Lopo,https://fbref.com/en/players/17cd5bb7/Alberto-Lopo,https://www.transfermarkt.com/alberto-lopo/profil/spieler/7881,Spain,20,Yes,38,45,18,1998,3,107,19,452,452,0,right,Defender,1.86,18,1.86,1998,0,right,1,"[18,21)","(1.83,2]","[1,3]",1990s,Spain,EU_Major
Alberto Lora,https://fbref.com/en/players/723cd8b7/Alberto-Lora,https://www.transfermarkt.com/alberto-lora/profil/spieler/57816,Spain,18,No,NA,38,20,2007,6,301,34,258,258,0,right,Midfield,1.64,20,1.64,2007,0,right,0,"[18,21)","[1.6,1.78]","(3,8]",2000s,Spain,EU_Major
Alberto Moreno,https://fbref.com/en/players/11b9265b/Alberto-Moreno,https://www.transfermarkt.com/alberto-moreno/profil/spieler/207917,Spain,14,No,NA,33,19,2011,11,683,107,345,348,3,left,Defender,1.71,19,1.71,2011,3.666666667,left,0,"[18,21)","[1.6,1.78]","(8,56]",2010s,Spain,EU_Major
Alberto Noguera,https://fbref.com/en/players/8a46f4c8/Alberto-Noguera,https://www.transfermarkt.com/alberto-noguera/profil/spieler/185401,Spain,15,No,NA,35,21,2010,2,118,18,158,158,0,both,Attack,1.75,21,1.75,2010,0,both,0,"[21,24)","[1.6,1.78]","[1,3]",2010s,Spain,EU_Major
Alberto Perea,https://fbref.com/en/players/5496cc91/Alberto-Perea,https://www.transfermarkt.com/alberto-perea/profil/spieler/99559,Spain,17,No,NA,34,18,2011,8,258,37,194,194,0,right,Attack,1.8,18,1.8,2011,0,right,0,"[18,21)","(1.78,1.83]","(3,8]",2010s,Spain,EU_Major
Alberto Rivera,https://fbref.com/en/players/7002b605/Alberto-Rivera,https://www.transfermarkt.com/alberto-rivera/profil/spieler/23306,Spain,19,Yes,36,47,17,1994,NA,NA,NA,421,421,0,both,Midfield,1.67,17,1.67,1994,0,both,1,"[15,18)","[1.6,1.78]",NA,1990s,Spain,EU_Major
Aldo Duscher,https://fbref.com/en/players/44944ca7/Aldo-Duscher,https://www.transfermarkt.com/aldo-duscher/profil/spieler/3954,Argentina  Austria,14,Yes,33,46,19,2000,2,42,9,286,286,0,right,Midfield,1.8,19,1.8,2000,0,right,1,"[18,21)","(1.78,1.83]","[1,3]",2000s,Argentina Austria,South_America
Aleix Vidal,https://fbref.com/en/players/04965583/Aleix-Vidal,https://www.transfermarkt.com/aleix-vidal/profil/spieler/88490,Spain,15,Yes,34,35,19,2008,9,281,57,349,350,2,right,Attack,1.77,19,1.77,2008,4.5,right,1,"[18,21)","[1.6,1.78]","(8,56]",2000s,Spain,EU_Major
