transfermarkt_id,player_name,player_url,status,name_home_country_fbref,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,transfermarkt_url
3405,Wes Brown,https://fbref.com/en/players/659ccc97/Wes-Brown,Success,Not found,13-Oct-79,Not found,185,England eng,DF (CB),Right,1997-1998,17 years,Manchester Utd,1997,https://www.transfermarkt.com/wes-brown/profil/spieler/3405
88721,Jeffrey Bruma,https://fbref.com/en/players/fbffc4b1/Jeffrey-Bruma,Success,Not found,13-Nov-91,Not found,189,Netherlands,DF (CB-FB),Right,2009-2010,17 years,Grimsby Town,2009,https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721
36814,Chris Brunt,https://fbref.com/en/players/ec7e6ad1/Chris-Brunt,Success,Not found,14-Dec-84,Not found,180,Northern Ireland nir,"DF-MF (AM-WM, left)",Left,2003-2004,18 years,Sheffield Weds,2003,https://www.transfermarkt.com/chris-brunt/profil/spieler/36814
49319,Mark Bunn,https://fbref.com/en/players/a6738b6c/Mark-Bunn,Success,Not found,16-Nov-84,Not found,183,Not found,GK,Right,2006-2007,21 years,Northampton,2006,https://www.transfermarkt.com/mark-bunn/profil/spieler/49319
27511,Gary Cahill,https://fbref.com/en/players/7914b9fe/Gary-Cahill,Success,Not found,19-Dec-85,Not found,193,England eng,DF (CB),Right,2004-2005,18 years,Burnley,2004,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511
13556,Tim Cahill,https://fbref.com/en/players/e5a2dfc2/Tim-Cahill,Success,Not found,6-Dec-79,Not found,178,Australia,FW-MF (AM),Right,2001-2002,21 years,Millwall,2001,https://www.transfermarkt.com/tim-cahill/profil/spieler/13556
3791,Gary Caldwell,https://fbref.com/en/players/5dc37f4a/Gary-Caldwell,Success,Not found,12-Apr-82,Not found,180,Scotland sct,DF-MF,Right,2001-2002,19 years,Hibernian,2001,https://www.transfermarkt.com/gary-caldwell/profil/spieler/3791
3462,Steven Caldwell,https://fbref.com/en/players/6839f68e/Steven-Caldwell,Success,Not found,12-Sep-80,Not found,180,Scotland sct,DF (CB-FB),Right,2000-2001,19 years,Newcastle Utd,2000,https://www.transfermarkt.com/steven-caldwell/profil/spieler/3462
37896,DJ Campbell,https://fbref.com/en/players/d9129797/DJ-Campbell,Success,Not found,12-Nov-81,Not found,178,Not found,FW,Not found,2005-2006,23 years,Brentford,2005,https://www.transfermarkt.com/dj-campbell/profil/spieler/37896
42411,Fraizer Campbell,https://fbref.com/en/players/81d63375/Fraizer-Campbell,Success,Not found,13-Sep-87,Not found,180,England eng,FW,Right,2007-2008,19 years,Hull City,2007,https://www.transfermarkt.com/fraizer-campbell/profil/spieler/42411
3198,Sol Campbell,https://fbref.com/en/players/3e3b2fbd/Sol-Campbell,Success,Not found,18-Sep-74,Not found,188,England eng,DF-FW (CB),Not found,1992-1993,17 years,Tottenham,1992,https://www.transfermarkt.com/sol-campbell/profil/spieler/3198
3570,John Carew,https://fbref.com/en/players/91ef929d/John-Carew,Success,Not found,5-Sep-79,Not found,193,Norway,FW,Not found,2000,20 years,Rosenborg,Not found,https://www.transfermarkt.com/john-carew/profil/spieler/3570
10387,David Carney,https://fbref.com/en/players/f3041886/David-Carney,Success,Not found,30-Nov-83,Not found,181,Australia,"DF-MF (FB-WM, left)",Not found,2005-2006,21 years,Sydney FC,2005,https://www.transfermarkt.com/david-carney/profil/spieler/10387
4046,Stephen Carr,https://fbref.com/en/players/eb0ae1e9/Stephen-Carr,Success,Not found,29-Aug-76,Not found,175,Republic of Ireland,"DF (FB, right)",Not found,1993-1994,16 years,Tottenham,1993,https://www.transfermarkt.com/stephen-carr/profil/spieler/4046
3597,Jamie Carragher,https://fbref.com/en/players/d0ebce19/Jamie-Carragher,Success,Not found,28-Jan-78,Not found,185,England eng,"DF-MF (CB-DM-FB, right)",Not found,1996-1997,18 years,Liverpool,1996,https://www.transfermarkt.com/jamie-carragher/profil/spieler/3597
