player_name,transfermarkt_id
Danny Higginbotham,3686
Zavon Hines,67081
Thomas Hitzlsperger,1573
Alexander Hleb,597
Jonathan Hogg,61573
Junior Hoilett,58993
Stuart Holden,30071
Tim Howard,4267
Tom Huddlestone,13465
Aaron Hughes,3580
Stephen Hunt,36799
James Hurst,110863
Robert Huth,2998
Alan Hutton,9619
Pablo Ibáñez,8116
Hérita Ilunga,17432
Stephen Ireland,34838
Branislav Ivanović,36827
Jussi Jääskeläinen,3692
Lars Jacobsen,1423
Phil Jagielka,13520
Gonzalo Jara,40429
Matthew Jarvis,15921
Jermaine Jenas,3461
Cameron Jerome,35855
Park Ji-sung,4592
Martin Jiránek,6065
Jô,34156
Adam Johnson,31579
Andrew Johnson,14031
Eddie Johnson,38773
Glen Johnson,3881
Roger Johnson,42751
David Jones,24634
Jermaine Jones,1321
Kenwyne Jones,28245
Phil Jones,117996
Nigel de Jong,4672
Milan Jovanović,14933
Younès Kaboul,27114
Gaël Kakuta,74297
Nikola Kalinić,36371
Salomon Kalou,7971
Diomansy Kamara,6053
Robbie Keane,3144
Dekel Keinan,24476
Martin Kelly,78959
Stephen Kelly,12125
Andy Keogh,29419
Michael Kightly,25366
Ledley King,3360
Richard Kingson,7125
Chris Kirkland,3219
Ivan Klasnić,690
Zat Knight,4012
Aleksandar Kolarov,46156
Vincent Kompany,9594
Paul Konchesky,3296
Sergei Kornilenko,15881
Laurent Koscielny,76277
Radoslav Kováč,9702
Niko Kranjčar,16746
Tim Krul,33027
Shefki Kuqi,12398
Tomasz Kuszczak,1320
Dirk Kuyt,4010
Sotirios Kyrgiakos,9706
Louis Laing,110865
Frank Lampard,3163
Sebastian Larsson,31720
Jens Lehmann,122
Lucas Leiva,41414
Aaron Lennon,14221
Joleon Lescott,4241
Eric Lichaj,61575
Amine Linganzi,88596
Adrián López,45383
Jason Lowe,117997
Kazenga LuaLua,52576
David Luiz,46741
Craig Lynch,121334
Peter Løvenkrands,9620
Federico Macheda,61887
