player_name,player_url,player_id,full_name,position,current_club,status
Antonio Cotán,https://www.transfermarkt.com/antonio-cotan/profil/spieler/199330,199330,Antonio Cotán,Midfield - Central Midfield,Atlètic Lleida,Success
Antonio Floro Flores,https://www.transfermarkt.com/antonio-floro-flores/profil/spieler/16893,16893,Antonio Floro Flores,Attack - Centre-Forward,N/A,Success
Antonio López,https://www.transfermarkt.com/antonio-lopez/profil/spieler/7723,7723,Antonio López,Defender - Left-Back,N/A,Success
Antonio Luna,https://www.transfermarkt.com/antonio-luna/profil/spieler/126516,126516,Antonio Luna,Defender - Left-Back,Antequera CF,Success
Antonio Marín,https://www.transfermarkt.com/antonio-marin/profil/spieler/217149,217149,Antonio Marín,Defender - Right-Back,CD Estepona FS,Success
Antonio Rukavina,https://www.transfermarkt.com/antonio-rukavina/profil/spieler/27924,27924,Antonio Rukavina,Defender - Right-Back,N/A,Success
Antonio Tomás,https://www.transfermarkt.com/antonio-tomas/profil/spieler/37340,37340,Antonio Tomás,Midfield - Central Midfield,N/A,Success
Apoño,https://www.transfermarkt.com/apono/profil/spieler/58013,58013,Apoño,Midfield - Central Midfield,N/A,Success
Arda Turan,https://www.transfermarkt.com/arda-turan/profil/spieler/21369,21369,Arda Turan,Attack - Left Winger,N/A,Success
Ariel Nahuelpán,https://www.transfermarkt.com/ariel-nahuelpan/profil/spieler/68562,68562,Ariel Nahuelpán,Attack - Centre-Forward,Santa Cruz-PE,Success
Aritz Aduriz,https://www.transfermarkt.com/aritz-aduriz/profil/spieler/29124,29124,Aritz Aduriz,Attack - Centre-Forward,N/A,Success
Aritz Elustondo,https://www.transfermarkt.com/aritz-elustondo/profil/spieler/229804,229804,Aritz Elustondo,Defender - Centre-Back,Real Sociedad,Success
Aritz López Garai,https://www.transfermarkt.com/aritz-lopez-garai/profil/spieler/51489,51489,Aritz López Garai,Midfield - Central Midfield,N/A,Success
Arouna Koné,https://www.transfermarkt.com/arouna-kone/profil/spieler/8552,8552,Arouna Koné,Attack - Centre-Forward,N/A,Success
Arthur Boka,https://www.transfermarkt.com/arthur-boka/profil/spieler/13038,13038,Arthur Boka,Defender - Left-Back,N/A,Success
Asier del Horno,https://www.transfermarkt.com/asier-del-horno/profil/spieler/7617,7617,Asier del Horno,Defender - Left-Back,N/A,Success
Asier Illarramendi,https://www.transfermarkt.com/asier-illarramendi/profil/spieler/59344,59344,Asier Illarramendi,Midfield - Defensive Midfield,Kitchee,Success
Asier Riesgo,https://www.transfermarkt.com/asier-riesgo/profil/spieler/23338,23338,Asier Riesgo,Goalkeeper,N/A,Success
Augusto Fernández,https://www.transfermarkt.com/augusto-fernandez/profil/spieler/39151,39151,Augusto Fernández,Midfield - Central Midfield,N/A,Success
Aymeric Laporte,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,176553,Aymeric Laporte,Defender - Centre-Back,Athletic Club,Success
Ayoze Díaz Díaz,https://www.transfermarkt.com/ayoze-diaz/profil/spieler/16124,16124,Ayoze Díaz,Defender - Left-Back,N/A,Success
Ayoze García,https://www.transfermarkt.com/ayoze-garcia/profil/spieler/51518,51518,Ayoze García,Defender - Left-Back,N/A,Success
Aythami Artiles,https://www.transfermarkt.com/aythami-artiles/profil/spieler/44735,44735,Aythami Artiles,Defender - Centre-Back,Arucas CF,Success
Baba Diawara,https://www.transfermarkt.com/baba/profil/spieler/69819,69819,Baba,Attack - Centre-Forward,Without Club,Success
