player_name,current_club,position,age,nationality
Mikel San José,Not found,DF-MF (CB-DM),Not found,Spain
Miku,Metropolitanos FC,FW,40-114d,Venezuela
Miquel Robusté,Not found,DF (CB),Not found,Spain
Miranda,Not found,DF (CB),Not found,Brazil
Miroslav Stevanović,Servette,"FW-MF (AM-WM, right)",35-135d,Bosnia and Herzegovina
Mode,Not found,"DF (FB, right)",Not found,Not found
Modeste M'bami,Not found,MF,Not found,Cameroon
Modibo Diakité,Not found,DF (CB),Not found,Not found
Mohamed Sarr,Not found,DF-MF (CB-DM),Not found,Senegal
Mohamed Sissoko,Not found,MF (DM),Not found,Mali ml  Other: France
Mohamed Tchité,Not found,FW,Not found,Burundi
Mohammed Abu,Not found,FW-MF (CM-DM),Not found,Ghana
Mohammed Fatau,Not found,MF (DM),Not found,Not found
Moi Gómez,Osasuna,"FW-MF (AM-CM-WM, left)",31-171d,Spain
Moisés Delgado,Gimnàstic,"DF (FB, left)",31-237d,Not found
Moisés García,Not found,DF (CB),Not found,Not found
Moisés Hurtado,Not found,MF (DM),Not found,Spain
Momo,Not found,"MF (WM, left)",Not found,Not found
Mouhamadou Dabo,Not found,DF (CB-FB),Not found,France fr  Other: Senegal
Mounir El Hamdaoui,Not found,FW,Not found,Morocco ma  Other: Netherlands
Munir El Haddadi,Esteghlal Khuz,FW-MF,30-101d,Morocco ma  Other: Spain
Nélson Marcos,Not found,"DF (CB-FB, right)",Not found,Portugal pt  Other: Cape Verde
Nélson Oliveira,Vitória Guimarães,FW,34-125d,Portugal
Néstor Susaeta,Not found,FW-MF (AM-WM),Not found,Not found
Nabil Baha,Not found,FW,Not found,Morocco
Nabil El Zhar,Not found,"FW-MF (AM-WM, right)",Not found,Morocco ma  Other: France
Nabil Ghilas,Not found,FW-MF (WM),Not found,Algeria dz  Other: France
Nacho,Not found,"DF-MF (FB, left)",Not found,Not found
Nacho,Al Qadisiyah,DF (CB-FB),35-327d,Spain
Nacho Cases,Not found,MF,Not found,Not found
Nacho González,Not found,MF (AM),Not found,Uruguay
Nacho Monreal,Not found,"DF (FB, left)",Not found,Spain
Nacho Novo,Not found,FW,Not found,Not found
Nagore,Not found,DF (CB),Not found,Not found
Naldo,Leixões,DF (CB),37-108d,Not found
Nano,Not found,DF (CB),Not found,Not found
Nano,Not found,"DF-FW-MF (FB-WM, left)",Not found,Spain
Natxo Insa,Johor Darul Ta'zim FC,MF,39-185d,Malaysia my  Other: Spain
Nelson Valdez,Not found,FW,Not found,Paraguay
Nemanja Radoja,Sporting Kansas City,DF-MF (CM-DM),32-308d,Serbia
Nery Castillo,Not found,DF-FW-MF (WM),Not found,Mexico
Neymar,Santos,"FW-MF (AM-WM, left)",33-309d,Brazil
Nicki Bille Nielsen,Not found,FW,Not found,Denmark
Nicolás Bertolo,Not found,"FW-MF (AM-WM, left)",Not found,Argentina
Nicolás Otamendi,Benfica,DF (CB),37-302d,Argentina
Nicolás Pareja,Not found,DF (CB),Not found,Argentina
Nikolaos Karabelas,Not found,"DF (FB, left)",Not found,Greece
Nilmar,Not found,FW,Not found,Brazil
Nino,Not found,FW-MF,Not found,Not found
Noé Pamarot,Not found,DF (CB),Not found,Not found
Nolito,Not found,"FW-MF (AM-WM, left)",Not found,Spain
Nono,Ruch Chorzów,MF (CM),32-256d,Spain
Nordin Amrabat,Wydad AC,FW-MF (AM-CM-WM),38-255d,Morocco ma  Other: Netherlands
Nosa Igiebor,Not found,MF,Not found,Nigeria
Nuri Şahin,Not found,MF (DM),Not found,Turkey tr  Other: Germany
Obafemi Martins,Not found,FW,Not found,Nigeria
Odion Ighalo,Al-Wehda,FW,36-178d,Nigeria
Oguchi Onyewu,Not found,DF (CB),Not found,United States
Oier Olazábal,Not found,GK,Not found,Spain
Oier Sanjurjo,Not found,DF-MF (CB-CM-DM),Not found,Not found
Oleksandr Yakovenko,Not found,FW-MF (WM),Not found,Ukraine
Olivier Thomert,Not found,"FW-MF (WM, left)",Not found,Not found
Omar Mascarell,Mallorca,MF (CM-DM),32-312d,Equatorial Guinea gq  Other: Spain
Omar Ramos,Not found,FW-MF (WM),Not found,Spain
Orestis Karnezis,Not found,GK,Not found,Greece
Oriol Riera,Not found,FW,Not found,Not found
Oriol Romeu,Southampton,MF (CM-DM),34-078d,Spain
Osmar,Seoul E-Land FC,DF-MF (CB-DM),37-189d,Not found
Pablo Íñiguez,Not found,DF-MF (CB-DM),Not found,Spain
Pablo Álvarez,Not found,DF,Not found,Not found
Pablo Álvarez,Not found,"MF (WM, right)",Not found,Not found
Pablo Alcolea,Not found,GK,Not found,Not found
Pablo Barrera,Querétaro,"FW-MF (AM-WM, right)",38-173d,Mexico
Pablo Cáceres,Not found,"DF (FB, left)",Not found,Not found
Pablo Clavería,Not found,MF (CM),Not found,Not found
Pablo Hernández,Not found,FW-MF (AM-CM),Not found,Chile cl  Other: Argentina
Pablo Hernández,Not found,"FW-MF (AM-WM, right)",Not found,Spain
Pablo Hervías,Not found,"MF (AM, right)",Not found,Spain
Pablo Insua,Zaragoza,DF (CB),32-093d,Spain
Pablo Marí,Fiorentina,DF (CB),32-102d,Not found
Pablo Orbaiz,Not found,MF (DM),Not found,Spain
Pablo Pérez,Not found,MF (CM-WM),Not found,Argentina
Pablo Piatti,Not found,"FW-MF (WM, left)",Not found,Argentina
Pablo Pinillos Caro,Not found,"DF (FB, right)",Not found,Not found
Pablo Pintos,Not found,"DF (FB, right)",Not found,Uruguay
Pablo Sarabia,Al-Arabi,FW-MF (AM-WM),33-214d,Spain
Paco Alcácer,Sharjah,FW,32-103d,Spain
Paco Montañés,Not found,FW-MF (WM),Not found,Spain
Paco Peña,Not found,"DF (FB, left & right)",Not found,Not found
Papakouli Diop,Not found,MF (CM-DM),Not found,Senegal
Pape Diakhaté,Not found,DF (CB),Not found,Senegal
Pape Maly Diamanka,Not found,MF (CM),Not found,Senegal
Park Chu-young,Not found,FW-MF (AM),Not found,Korea Republic
Patrick Ebert,Not found,FW-MF (WM),Not found,Germany
Patrick Ekeng,Not found,MF (DM),Not found,Cameroon
Patrick Mtiliga,Not found,"DF (FB, left)",Not found,Denmark
Pau Cendrós,Not found,"DF (CB-FB, right)",Not found,Not found
Pau López,Real Betis,GK,30-363d,Spain
Paul Quaye,Not found,MF (DM),Not found,Ghana
Paulão,Not found,DF (CB),Not found,Not found
Paulo Assunção,Not found,MF (DM),Not found,Not found
Paulo da Silva,Not found,DF (CB),Not found,Paraguay
Pedro,Lazio,"FW-MF (AM-WM, right)",38-136d,Spain
Pedro Bigas,Elche,"DF-MF (CB-FB, left)",35-087d,Not found
Pedro Botelho,Not found,"DF-MF (FB-WM, left)",Not found,Not found
Pedro Geromel,Not found,"DF (CB, right)",Not found,Brazil
Pedro López,AD Ceuta FC,GK,30-324d,Not found
Pedro López Muñoz,Not found,"DF (FB, right)",Not found,Not found
Pedro León,Real Murcia,"FW-MF (AM-WM, right)",39-017d,Spain
Pedro Martín,Not found,FW,Not found,Not found
Pedro Morales,Not found,MF (AM),Not found,Not found
Pedro Mosquera,Not found,MF (CM-DM),Not found,Spain
Pedro Munitis,Not found,FW,Not found,Spain
Pedro Orfila,Not found,DF,Not found,Not found
Pedro Ríos,Not found,"MF (WM, right)",Not found,Not found
Pepe,Not found,DF-MF (CB-DM),Not found,Portugal pt  Other: Brazil
Philippe Coutinho,Vasco da Gama,FW-MF (AM-WM),33-182d,Brazil
Philippe Senderos,Not found,DF (CB),Not found,Switzerland
Pierre Webó,Not found,FW,Not found,Cameroon
Piet Velthuizen,Not found,GK,Not found,Netherlands
Piotr Trochowski,Not found,MF (AM-CM),Not found,Germany de  Other: Poland
Piti,Not found,FW-MF,Not found,Not found
Pizzi,Estoril,FW-MF (AM-CM-WM),36-066d,Portugal
Portu,Girona,"FW-MF (AM-DM-WM, right)",33-204d,Spain
Przemysław Tytoń,Twente,GK,38-341d,Poland
Quincy Owusu-Abeyie,Not found,"FW-MF (WM, left & right)",Not found,Ghana gh  Other: Netherlands
Quini,Atromitos,DF-MF (FB-WM),36-078d,Not found
Quique,Not found,FW-MF,Not found,Not found
Quique Rivero,Not found,MF,Not found,Not found
Raúl Albentosa,Not found,"DF (CB, right)",Not found,Not found
Raúl Albiol,Pisa,"DF (CB, right)",40-098d,Spain
Raúl Baena,Not found,MF (DM),Not found,Spain
Raúl Bravo,Not found,DF,Not found,Spain
Raúl Domínguez,Not found,GK,Not found,Not found
Raúl Fernández,Alavés,GK,37-273d,Not found
Raúl García,Not found,"DF (FB, left)",Not found,Not found
Raúl García,Not found,FW-MF (AM-DM),Not found,Spain
Raúl Goni,Not found,DF (CB),Not found,Spain
Raúl Jiménez,Fulham,FW,34-220d,Mexico
Raúl Navas,Not found,DF (CB),Not found,Not found
Raúl Rodríguez,Not found,DF (CB),Not found,Not found
Raúl Tamudo,Not found,FW,Not found,Spain
Radamel Falcao,Millonarios,FW,39-304d,Colombia
Rafa,Not found,DF-MF (CB),Not found,Not found
Rafa Gálvez,CD Ciudad de Lucena,DF-MF,32-205d,Not found
Rafa García,Not found,MF,Not found,Not found
Rafa Jordà,Not found,FW,Not found,Not found
Rafael Martins,Leixões,FW,36-269d,Not found
Rafel Sastre,Not found,"DF (FB, right)",Not found,Not found
Rafinha,Not found,MF (AM),Not found,Brazil
Rafita,Not found,"DF (FB, right)",Not found,Not found
Răzvan Raț,Not found,"DF (FB, left)",Not found,Romania
Ramón Arcas,Not found,MF,Not found,Not found
Ramon Azeez,Not found,MF (CM),Not found,Nigeria
Rúben Micael,Not found,MF (AM),Not found,Portugal
Rúben Vezo,Olympiacos,DF (CB),31-230d,Portugal
Rúper,Not found,MF (AM-DM),Not found,Not found
Raoul Loé,Not found,MF (DM),Not found,Cameroon cm  Other: France
Raphaël Varane,Not found,"DF-MF (CB-DM, right)",Not found,France
Raul Rusescu,Not found,FW-MF (AM),Not found,Romania
Rayco García Dauta,Not found,FW,Not found,Spain
Recio,Málaga,MF (CM-DM),34-334d,Spain
Renato,Not found,MF (AM-CM-DM),Not found,Brazil
Rene Krhin,Not found,FW-MF (CM-DM),Not found,Slovenia
Ricardo,Not found,GK,Not found,Spain
Ricardo Carvalho,Not found,DF (CB),Not found,Portugal
Ricardo Costa,Not found,DF (CB),Not found,Portugal
Ricardo Horta,Braga,FW-MF (AM-WM),31-087d,Portugal
Ricardo León Brito,Not found,MF (CM),Not found,Not found
Richard Boateng,Not found,MF (DM),Not found,Not found
Richmond Boakye,Not found,FW,Not found,Ghana
Riki,Not found,FW,Not found,Not found
Rober Correa,CD Extremadura,"DF (FB, right)",33-082d,Not found
Robert Acquafresca,Not found,FW,Not found,Italy
Robert Ibáñez,Eldense,"FW-MF (WM, right)",32-264d,Not found
Roberto,Not found,GK,Not found,Not found
Roberto,Not found,GK,Not found,Spain
Roberto Canella,Not found,"DF (FB, left)",Not found,Spain
Roberto Chen,Not found,DF-MF (CB-CM),Not found,Panama
Roberto Lago,Not found,"DF-MF (FB-WM, left)",Not found,Not found
Roberto Rosales,Deportivo Tachira,"DF-MF (CB-FB-WM, right)",37-021d,Venezuela
Roberto Soldado,Not found,FW,Not found,Spain
Roberto Torres,Not found,"MF (WM, right)",Not found,Not found
Roberto Trashorras,Not found,MF (AM-CM-DM),Not found,Spain
Roderick Miranda,Melbourne Victory,"DF (CB, left)",34-256d,Portugal
Rodolfo Bodipo,Not found,FW,Not found,Equatorial Guinea gq  Other: Spain
Rodri,Not found,FW,Not found,Spain
Rodri,Not found,DF (CB),Not found,Spain
Rodrigo,Al Rayyan,FW-MF,34-280d,Spain es  Other: Brazil
Rodrigo De Paul,Inter Miami,FW-MF (CM-WM),31-201d,Argentina
Rodrigo Galatto,Not found,GK,Not found,Not found
Roger Martí,Cádiz,FW,34-342d,Not found
Roland Lamah,Not found,"FW-MF (WM, left)",Not found,Belgium be  Other: Côte d'Ivoire
Romaric,Not found,MF,Not found,Côte d'Ivoire
Roque Santa Cruz,Libertad,FW,44-117d,Paraguay
Rovérsio,Not found,DF (CB),Not found,Not found
Royston Drenthe,Not found,"DF-MF (DM-FB-WM, left)",Not found,Netherlands
Rubén,Not found,GK,Not found,Spain
Rubén,Not found,DF (CB),Not found,Spain
Rubén Blanco,Not found,GK,Not found,Spain
Rubén Castro,Not found,FW-MF (WM),Not found,Spain
Rubén Duarte,Pumas UNAM,"DF (CB-FB, left)",30-054d,Spain
Rubén García,Osasuna,FW-MF (AM-WM),32-150d,Spain
Rubén Miño,Not found,GK,Not found,Spain
Rubén Pérez,AO Kifisia,MF (CM-DM),36-229d,Spain
Rubén Pardo,Not found,MF (CM),Not found,Spain
Rubén Peña,Leganés,"DF-MF (FB-WM, right)",34-146d,Not found
Rubén Ramiro,Not found,FW,Not found,Not found
Rubén Rochina,Not found,FW-MF,Not found,Spain
Rubén Suárez,Not found,"MF (AM-WM, right)",Not found,Spain
Rui Fonte,Paços de Ferreira,FW-MF (WM),35-232d,Portugal
Ruud van Nistelrooy,Not found,FW,Not found,Netherlands
Ryder Matos,Perugia,FW-MF (WM),32-287d,Brazil
Sérgio Pinto,Not found,FW-MF (CM-WM),Not found,Not found
Saïd Boutahar,Not found,"MF (WM, left)",Not found,Not found
Saúl,Not found,"MF (WM, right)",Not found,Spain
Saúl Ñíguez,Flamengo,"DF-MF (CM-DM-WM, left)",31-020d,Spain
Saúl Berjón,Not found,"FW-MF (AM, left)",Not found,Not found
Salomón Rondón,Oviedo,FW,36-086d,Venezuela
Salva Sevilla,Not found,MF (AM-CM-DM),Not found,Not found
Salvador Agra,Leixões,FW-MF (AM),34-030d,Portugal
Sílvio,Not found,DF (FB),Not found,Portugal
Sami Khedira,Not found,MF (CM-DM),Not found,Germany
Sammir,Not found,FW-MF (AM),Not found,Croatia hr  Other: Brazil
Samu Castillejo,Johor Darul Ta'zim FC,"FW-MF (AM-WM, right)",30-327d,Spain
Samu García,Not found,FW-MF (WM),Not found,Not found
Samu Martínez,CD Cieza,MF,31-240d,Not found
Samuel Llorca,Not found,DF (CB),Not found,Not found
Samuel Sáiz,Eyüpspor,FW-MF (AM),34-323d,Spain
Samuele Longo,Not found,FW,33-333d,Italy
Sandro Ramírez,Las Palmas,FW-MF,30-155d,Spain
Sandro Silva,Not found,MF (DM),Not found,Not found
Santi Cazorla,Oviedo,MF (AM-WM),40-363d,Spain
Santi Mina,Not found,FW,Not found,Spain
Santiago Acasiete,Not found,"DF (CB-FB, left)",Not found,Peru
Seba Fernández,Danubio,FW,40-202d,Uruguay
Sebastián Cristóforo,Central Córdoba de Santiago del Estero,MF (CM),32-110d,Uruguay
Sebastián Dubarbier,Not found,"DF-FW-MF (FB-WM, left)",Not found,Not found
Sebastián Eguren,Not found,MF (DM),Not found,Uruguay
Sendoa Agirre,Not found,MF (AM),Not found,Not found
Sergi Darder,Mallorca,MF (AM-CM-WM),31-354d,Spain
Sergi Enrich,Huesca,FW-MF,35-288d,Spain
Sergi Gómez,Alverca,DF (CB),33-258d,Spain
Sergi Roberto,Como,"DF-MF (AM-CM-FB, right)",33-307d,Spain
Sergio,Not found,MF (WM),Not found,Not found
Sergio,Not found,DF (CB),Not found,Spain
Sergio,Not found,MF,Not found,Spain
Sergio Álvarez,Not found,GK,Not found,Not found
Sergio Álvarez,Eibar,DF-MF (CM-DM),33-322d,Spain
Sergio Abad Beyxer,Not found,MF (WM),Not found,Not found
Sergio Agüero,Not found,FW,Not found,Argentina
Sergio Asenjo,Not found,GK,Not found,Spain
Sergio Ballesteros,Not found,DF (CB),Not found,Spain
Sergio Busquets,Inter Miami,MF (CM-DM),37-148d,Spain
Sergio Canales,Monterrey,FW-MF (AM-CM),34-298d,Spain
Sergio Escudero,Deportivo La Coruña,"DF-MF (FB, left)",36-100d,Not found
Sergio García,Not found,FW-MF (WM),Not found,Spain
Sergio Mantecón,Not found,MF (DM),Not found,Not found
Sergio Marcos,RSD Alcalá,MF,33-311d,Not found
Sergio Matabuena,Not found,MF (DM),Not found,Not found
Sergio Pelegrín,Not found,DF (CB),Not found,Spain
Sergio Ramos,Monterrey,DF (CB-FB),39-256d,Spain
Sergio Rico,Al Gharrafa,GK,32-101d,Spain
Sergio Sánchez,Not found,DF (CB),Not found,Spain
Sergio Tejera,Racing Ferrol,MF (CM-DM-WM),35-197d,Spain
Seydou Keita,Not found,MF,Not found,Mali
Shkodran Mustafi,Not found,"DF (CB, right)",Not found,Germany
Sidnei,Not found,"DF (CB, left)",36-110d,Brazil
Simão Mate Junior,Not found,DF-MF (DM),Not found,Mozambique
Simão Sabrosa,Not found,MF (AM-WM),Not found,Portugal
Sisi,Not found,"FW-MF (WM, right)",Not found,Spain
Sofiane Feghouli,Not found,"FW-MF (AM-WM, right)",Not found,Algeria dz  Other: France
Stéphane Mbia,Not found,DF-MF (CB-DM),Not found,Cameroon
Stefan Babović,Not found,MF (AM-WM),Not found,Serbia rs  Other: Montenegro
Stephan Andersen,Not found,GK,Not found,Denmark
Stole Dimitrievski,Valencia,GK,31-351d,North Macedonia
Sulayman Marreh,Not found,DF-MF (CB-DM),Not found,Gambia
Suso,Cádiz,"FW-MF (AM, right)",32-022d,Spain
Tarsicio Aguado,Not found,MF,Not found,Not found
Tato,Not found,MF,Not found,Not found
Teerasil Dangda,Bangkok United FC,FW,37-188d,Thailand
Theo Bongonda,Spartak Moscow,FW-MF (AM),30-021d,Congo DR cd  Other: Belgium
Theofanis Gekas,Not found,FW,Not found,Greece
Thiago Alcántara,Not found,MF (CM-DM-WM),Not found,Spain es  Other: Italy
Thibaut Courtois,Real Madrid,GK,33-214d,Belgium
Thievy Bifouma,Perspolis,FW-MF (AM),33-212d,Congo cg  Other: France
Thomas Partey,Villarreal,DF-MF (CM-DM),32-181d,Ghana
Thomas Vermaelen,Not found,"DF (CB, left)",Not found,Belgium
Tiago Gomes,Not found,MF (CM),Not found,Portugal
Tiago Ilori,FC Dila Gori,DF (CB),32-288d,Portugal pt  Other: England
Tiago Mendes,Not found,MF (CM),Not found,Portugal
Tiago Pinto,Not found,"DF (FB, left)",Not found,Portugal
Tiberio Guarente,Not found,MF (CM),Not found,Italy
Timothée Kolodziejczak,Paris FC,"DF (CB-FB, left)",34-071d,France
Tino Costa,Not found,MF (AM),Not found,Argentina
Tito,Not found,"DF (FB, right)",Not found,Not found
Toño,Not found,GK,Not found,Not found
Toby Alderweireld,Not found,DF (CB-FB),Not found,Belgium
Toché,Not found,FW,Not found,Spain
Tomáš Ujfaluši,Not found,DF (CB),Not found,Czech Republic
Tomás Mejías,Not found,GK,Not found,Spain
Tomás Pina Isla,Not found,MF (CM-DM),Not found,Not found
Tomer Hemed,Not found,FW,Not found,Israel
Tomislav Dujmović,Not found,MF (CM-DM),Not found,Croatia
Toni Doblas,Not found,GK,Not found,Not found
Toni Dovale,Not found,DF-MF (AM-WM),Not found,Not found
Toni Kroos,Not found,"MF (AM-CM-DM-WM, left)",Not found,Germany
Tote,Not found,FW-MF (AM),Not found,Not found
Tropi,Not found,MF (DM),Not found,Not found
Tsepo Masilela,Not found,"DF (FB, left)",Not found,South Africa
Txema Añibarro,Not found,DF-MF (DM),Not found,Not found
Uche Henry Agbo,FC Aktobe,MF (AM-DM),30-007d,Nigeria
Unai Alba,Not found,GK,Not found,Not found
Unai Albizua,Not found,DF (CB),Not found,Not found
Unai Bustinza,Not found,"DF (CB-FB, right)",Not found,Not found
Unai García,Panetolikos,"DF (CB, right)",33-311d,Not found
Unai López,Rayo Vallecano,MF (CM-DM),30-042d,Spain
Urko Vera,Not found,FW,Not found,Not found
Ustaritz,Not found,DF (CB),Not found,Not found
Víctor Álvarez,Not found,"DF-MF (FB, left)",Not found,Spain
Víctor Camarasa,Debrecen,MF (CM),31-197d,Spain
Víctor Casadesús,Not found,FW,Not found,Spain
Víctor Pérez,Not found,MF (DM),Not found,Not found
Víctor Rodríguez,Not found,"FW-MF (AM-WM, left)",Not found,Not found
Víctor Ruiz,Not found,"DF-MF (CB-DM, left)",Not found,Spain
Víctor Sánchez,Not found,"DF-MF (CM-DM, right)",Not found,Not found
Víctor Valdés,Not found,GK,Not found,Spain
Vadim Demidov,Not found,DF-MF (CB-DM),Not found,Norway
Valdet Rama,Not found,"FW-MF (AM-WM, left)",Not found,Albania al  Other: Kosovo
Valdo,Not found,FW-MF (AM-WM),Not found,Cape Verde cv  Other: Spain
Verza,Not found,MF,Not found,Spain
Vicente Guaita,Parma,GK,38-335d,Not found
Vicente Iborra,Not found,MF (AM-CM-DM),Not found,Not found
Vicente Rodríguez,Not found,"FW-MF (WM, left)",Not found,Spain
Vinícius Araújo,Not found,FW,Not found,Brazil
Vitolo,Not found,FW-MF (AM-WM),Not found,Spain
Vitorino Antunes,Paços de Ferreira,"DF (CB-FB, left)",38-254d,Portugal
Vladimír Weiss,ŠK Slovan Bratislava,FW-MF (WM),36-011d,Slovakia
Wakaso,Not found,MF (AM-CM-WM),Not found,Ghana
Waldo Ponce,Not found,DF (CB),Not found,Chile
Walter Pandiani,Not found,FW,Not found,Uruguay
Weligton Oliveira,Not found,DF (CB),Not found,Not found
Wellington Silva,Qingdao Jonoon,"FW-MF (AM-WM, left)",32-339d,Brazil
Welliton,Not found,FW,Not found,Not found
Willian José,Bahia,FW,34-018d,Brazil
Willy Caballero,Not found,GK,Not found,Argentina
Xabi Alonso,Not found,MF (CM-DM),Not found,Spain
Xabi Irureta,Not found,GK,Not found,Not found
Xabi Prieto,Not found,"MF (AM-CM-WM, right)",Not found,Spain
Xabier Castillo,Not found,"DF (FB, left)",Not found,Croatia hr  Other: Spain
Xabier Etxeita,Not found,DF (CB),Not found,Spain
Xavi,Not found,MF (CM),Not found,Spain
Xavi Annunziata,Not found,FW-MF (WM),Not found,Not found
Xavi Torres,Not found,DF-MF (CM-DM),Not found,Not found
Ximo Navarro,Deportivo La Coruña,"DF (CB-FB, right)",35-322d,Not found
Xisco,Not found,FW,Not found,Spain
Xisco,Not found,"FW-MF (WM, left)",Not found,Spain
Xisco Nadal,Not found,FW-MF (WM),Not found,Spain
Yacine Brahimi,Al Gharrafa,"FW-MF (AM, left)",35-306d,Algeria dz  Other: France
Yoel,Racing Ferrol,GK,37-105d,Spain
Yohan Mollo,Olympique Alès,"DF-FW-MF (AM-WM, left)",36-146d,France
Youssef El-Arabi,Nantes,FW,38-311d,Morocco ma  Other: France
Yuri Berchiche,Athletic Club,"DF (FB, left)",35-304d,Spain
Yves Desmarets,Not found,"MF (WM, left)",Not found,Haiti
Zé Castro,Not found,DF (CB),Not found,Portugal
Zakarya Bergdich,Not found,"DF-MF (FB, left)",Not found,Morocco ma  Other: France
Zubi,Not found,MF (WM),Not found,Not found
