player_name,current_club,position,age,nationality
David Cortés,Not found,"DF (FB, right)",Not found,Not found
David Costas,Oviedo,DF (CB),30-260d,Spain
David de Gea,Fiorentina,GK,35-034d,Spain
David García,Not found,"DF (FB, left)",Not found,Spain
David Generelo,Not found,MF (CM),Not found,Not found
David Goldar,Pafos FC,DF (CB),31-087d,Not found
David López,Not found,MF (AM-WM),Not found,Not found
David López,Girona,DF-MF (CB-DM),36-063d,Not found
David Lombán,Not found,DF (CB),Not found,Spain
David Mateos,Not found,DF (CB),Not found,Spain
David Navarro,Not found,DF (CB),Not found,Not found
David Rochela,Not found,DF (CB),Not found,Spain
David Rodríguez,Not found,FW,Not found,Spain
David Timor,FC Goa,DF-MF (AM-CM-DM),36-055d,Not found
David Trezeguet,Not found,FW,Not found,France
David Villa,Not found,FW-MF (WM),Not found,Spain
David Zurutuza,Not found,"MF (AM-CM, left)",Not found,Not found
Deivid,Not found,DF-MF (CB),Not found,Not found
Dejan Lekić,Not found,FW,Not found,Serbia
Denis Cheryshev,Panionios,"FW-MF (WM, left)",34-350d,Russia
Denis Suárez,Alavés,MF (AM-CM-WM),31-339d,Spain
Derek Boateng,Not found,MF (DM),Not found,Ghana
Didier Zokora,Not found,MF (DM),Not found,Côte d'Ivoire
Diego,Not found,MF (AM-CM),Not found,Brazil
Diego Alves,Not found,GK,Not found,Brazil
Diego Benito Rey,Not found,MF,Not found,Not found
Diego Buonanotte,Temuco,FW-MF (AM-WM),37-236d,Argentina
Diego Capel,Not found,"MF (WM, left)",Not found,Spain
Diego Castro,Not found,FW-MF (WM),Not found,Not found
Diego Colotto,Not found,"DF (CB, right)",Not found,Argentina
Diego Costa,Not found,FW,Not found,Spain es  Other: Brazil
Diego Forlán,Not found,FW-MF (AM),Not found,Uruguay
Diego Godín,Not found,DF (CB),Not found,Uruguay
Diego Ifrán,Not found,FW,Not found,Not found
Diego López,Not found,GK,Not found,Spain
Diego Llorente,Real Betis,DF (CB),32-117d,Spain
