player_name,transfermarkt_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation
Luis Alberto,https://www.transfermarkt.com/luis-alberto/profil/spieler/128220,Success,128220,spieler,Luis Alberto,28/09/1992 (33),San José del Valle,"1,83 m",Spain,Midfield - Attacking Midfield,right,Not found,Al-Duhail SC,1/7/2024,30/06/2027,adidas,26,271,55,No,Not found,10,10,"players corrected transfer

"
Sone Aluko,https://www.transfermarkt.com/sone-aluko/profil/spieler/42198,Success,42198,spieler,Sone Aluko,19/02/1989 (36),London,"1,73 m",Nigeria  England,Attack - Right Winger,left,Not found,Ipswich,1/7/2024,-,Not found,7,248,78,Yes,1/7/2024,Not found,5,"players corrected transfer

"
Kim Bo-kyung,https://www.transfermarkt.com/bo-kyung-kim/profil/spieler/128375,Success,128375,spieler,Bo-kyung Kim,06/10/1989 (36),"Gurye, Jeollanam","1,78 m","Korea, South",Midfield - Attacking Midfield,left,Not found,FC Anyang,23/01/2025,-,Not found,5,123,20,No,Not found,24,5,"players corrected transfer

"
Cabral,https://www.transfermarkt.com/cabral/profil/spieler/33046,Success,33046,spieler,Cabral,22/10/1988 (37),Praia,"1,80 m",Switzerland  Cape Verde,Midfield - Defensive Midfield,right,Not found,Lausanne-Sport,1/7/2020,-,adidas,6,133,15,Yes,1/7/2020,Not found,4,"players corrected transfer

"
Cala,https://www.transfermarkt.com/juan-cala/profil/spieler/67089,Success,67089,spieler,Juan Cala,26/11/1989 (36),Lebrija,"1,86 m",Spain,Defender - Centre-Back,right,Not found,Cádiz CF,5/10/2023,-,Not found,7,488,59,Yes,5/10/2023,Not found,6,"players corrected transfer

"
José Cañas,https://www.transfermarkt.com/jose-alberto-canas/profil/spieler/69609,Success,69609,spieler,José Alberto Cañas,27/05/1987 (38),Rota,"1,78 m",Spain,Midfield - Defensive Midfield,right,Not found,Manchester 62,28/08/2024,30/06/2026,Not found,8,309,53,No,Not found,87,5,"players corrected transfer

"
Mohamed Gedo,https://www.transfermarkt.com/gedo/profil/spieler/104941,Success,104941,spieler,Gedo,30/10/1984 (41),Damanhour,"1,84 m",Egypt,Attack - Centre-Forward,right,Not found,El Gouna,10/1/2021,-,Not found,5,394,41,Yes,10/1/2021,Not found,4,"players corrected transfer

"
Mats Møller Dæhli,https://www.transfermarkt.com/mats-moller-daehli/profil/spieler/190831,Success,190831,spieler,Mats Møller Dæhli,02/03/1995 (30),Oslo,"1,72 m",Norway,Midfield - Central Midfield,right,Not found,Molde FK,31/01/2024,31/12/2027,Not found,16,536,79,No,Not found,17,9,"players corrected transfer

"
Liam O'Neil,https://www.transfermarkt.com/liam-oneil/profil/spieler/141349,Success,141349,spieler,Liam O'Neil,31/07/1993 (32),Cambridge,"1,81 m",England  Wales,Midfield - Defensive Midfield,right,Not found,Boreham Wood,8/12/2023,-,Not found,0,0,0,Yes,8/12/2023,Not found,0,"players corrected transfer

"
Willian,https://www.transfermarkt.com/willian/profil/spieler/52769,Success,52769,spieler,Willian,09/08/1988 (37),Ribeirão Pires,"1,75 m",Brazil,Attack - Left Winger,right,Not found,Grêmio,5/9/2025,31/12/2026,Puma,17,276,49,No,Not found,88,9,"players corrected transfer

"
James Wilson,https://www.transfermarkt.com/james-wilson/profil/spieler/214104,Success,214104,spieler,James Wilson,01/12/1995 (30),Biddulph,"1,83 m",England,Attack - Centre-Forward,left,Not found,Without Club,1/7/2025,-,adidas,5,395,58,No,Not found,Not found,3,"players corrected transfer

"
Michael Duff,https://www.transfermarkt.com/michael-duff/profil/spieler/36894,Success,36894,spieler,Michael Duff,11/01/1978 (47),Belfast,"1,85 m",Northern Ireland,Defender - Centre-Back,right,Not found,Burnley,1/7/2016,-,Not found,1,40,8,Yes,1/7/2016,Not found,1,"players corrected transfer

"
Fernando,https://www.transfermarkt.com/fernando/profil/spieler/51174,Success,51174,spieler,Fernando,25/07/1987 (38),Brasília,"1,83 m",Brazil  Portugal,Midfield - Defensive Midfield,right,Not found,Without Club,13/08/2025,-,New Balance,27,961,128,No,Not found,Not found,13,"players corrected transfer

"
Nenê,https://www.transfermarkt.com/nene/profil/spieler/29091,Success,29091,spieler,Nenê,19/07/1981 (44),Jundiaí,"1,81 m",Brazil  Spain,Midfield - Attacking Midfield,left,Not found,Juventude,12/4/2023,31/12/2025,Puma,3,153,21,No,Not found,10,3,"players corrected transfer

"
José Pozo,https://www.transfermarkt.com/jose-pozo/profil/spieler/195605,Success,195605,spieler,José Pozo,15/03/1996 (29),Málaga,"1,71 m",Spain,Midfield - Attacking Midfield,left,Not found,Pogon Szczecin,1/7/2025,30/06/2027,Not found,4,220,29,No,Not found,14,4,"players corrected transfer

"
Carlos Sánchez,https://www.transfermarkt.com/carlos-sanchez/profil/spieler/51226,Success,51226,spieler,Carlos Sánchez,06/02/1986 (39),Quibdó,"1,82 m",Colombia,Midfield - Defensive Midfield,left,Not found,Barracas C.,1/1/2025,-,Nike,5,329,57,Yes,1/1/2025,Not found,3,"players corrected transfer

"
Yun Suk-young,https://www.transfermarkt.com/seok-yeong-yun/profil/spieler/126643,Success,126643,spieler,Seok-yeong Yun,13/02/1990 (35),"Suwon, Gyeonggi","1,83 m","Korea, South",Defender - Left-Back,left,Not found,Cheongju FC,21/03/2025,-,adidas,6,224,49,No,Not found,36,5,"players corrected transfer

"
Filip Đuričić,https://www.transfermarkt.com/filip-djuricic/profil/spieler/94307,Success,94307,spieler,Filip Djuricic,30/01/1992 (33),Belgrade,"1,81 m",Serbia,Midfield - Attacking Midfield,right,Not found,Panathinaikos,1/7/2023,30/06/2026,adidas,12,370,64,No,Not found,31,9,"players corrected transfer

"
Éder,https://www.transfermarkt.com/eder/profil/spieler/84481,Success,84481,spieler,Éder,22/12/1987 (37),Bissau,"1,90 m",Portugal  Guinea-Bissau,Attack - Centre-Forward,both,Not found,Al-Raed,25/07/2022,-,Nike,5,120,22,Yes,25/07/2022,Not found,3,"players corrected transfer

"
Son Heung-min,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845,Success,91845,spieler,Heung-min Son,08/07/1992 (33),"Chuncheon, Gangwon","1,84 m","Korea, South",Attack - Left Winger,both,Not found,LAFC,6/8/2025,31/12/2027,adidas,17,458,77,No,Not found,7,10,"players corrected transfer

"
Jordan Pickford,https://www.transfermarkt.com/jordan-pickford/profil/spieler/130164,Success,130164,spieler,Jordan Pickford,07/03/1994 (31),Washington,"1,85 m",England,Goalkeeper,left,Not found,Everton,1/7/2017,30/06/2029,Puma,4,120,27,No,Not found,1,4,"players corrected transfer

"
Charlie Adam,https://www.transfermarkt.com/charlie-adam/profil/spieler/28990,Success,28990,spieler,Charlie Adam,10/12/1985 (39),Dundee,"1,85 m",Scotland,Midfield - Central Midfield,left,Not found,Dundee FC,21/09/2022,-,Nike,4,183,30,Yes,21/09/2022,Not found,4,first scrap players transfer
Emmanuel Adebayor,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883,Success,8883,spieler,Emmanuel Adebayor,26/02/1984 (41),Lomé,"1,92 m",Togo  Nigeria,Attack - Centre-Forward,right,Not found,AC Semassi FC,20/03/2023,-,Not found,19,214,43,Yes,20/03/2023,Not found,8,first scrap players transfer
Gabriel Agbonlahor,https://www.transfermarkt.com/gabriel-agbonlahor/profil/spieler/37148,Success,37148,spieler,Gabriel Agbonlahor,13/10/1986 (39),Birmingham,"1,83 m",England  Nigeria,Attack - Centre-Forward,right,Not found,Aston Villa,1/7/2018,-,Not found,12,365,46,Yes,1/7/2018,Not found,8,first scrap players transfer
