player_name,transfermarkt_url,status,transfermarkt_id,player_slug,home_name,dob_age,place_birth,height,citizenship,position,foot,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation
Iago Falque,https://www.transfermarkt.com/iago-falque/profil/spieler/59340,Success,59340,spieler,Iago Falque,04/01/1990 (35),Vigo,"1,74 m",Spain,Attack - Right Winger,left,Not found,LD Alajuelense,10/5/2025,-,Nike,24,659,112,Yes,10/5/2025,Not found,11,first scrap players transfer
Adam Federici,https://www.transfermarkt.com/adam-federici/profil/spieler/4233,Success,4233,spieler,Adam Federici,31/01/1985 (40),Nowra,"1,88 m",Australia  Italy,Goalkeeper,right,Not found,Macarthur,23/10/2021,-,Not found,3,272,34,Yes,23/10/2021,Not found,3,first scrap players transfer
Chico Flores,https://www.transfermarkt.com/chico-flores/profil/spieler/51681,Success,51681,spieler,Chico Flores,06/03/1987 (38),Cádiz,"1,87 m",Spain,Defender - Centre-Back,right,Not found,CF Fuenlabrada,24/08/2020,-,Not found,7,226,37,Yes,24/08/2020,Not found,5,first scrap players transfer
José Fonte,https://www.transfermarkt.com/jos-fonte/profil/spieler/33829,Success,33829,spieler,José Fonte,22/12/1983 (41),Penafiel,"1,91 m",Portugal,Defender - Centre-Back,right,Not found,Casa Pia,10/7/2024,30/06/2026,Not found,3,148,32,No,Not found,6,3,first scrap players transfer
Danny Fox,https://www.transfermarkt.com/danny-fox/profil/spieler/31553,Success,31553,spieler,Danny Fox,29/05/1986 (39),Winsford,"1,83 m",Scotland  England,Defender - Left-Back,left,Not found,Winsford,1/7/2023,-,Not found,4,91,15,No,Not found,Not found,3,first scrap players transfer
Fraser Fyvie,https://www.transfermarkt.com/fraser-fyvie/profil/spieler/107350,Success,107350,spieler,Fraser Fyvie,27/03/1993 (32),Aberdeen,"1,72 m",Scotland,Midfield - Central Midfield,right,Not found,Cove Rangers,17/08/2019,31/05/2026,Not found,7,892,157,No,Not found,24,7,first scrap players transfer
Javi García,https://www.transfermarkt.com/javi-garca/profil/spieler/36350,Success,36350,spieler,Javi García,08/02/1987 (38),Mula,"1,87 m",Spain,Midfield - Defensive Midfield,right,Not found,Boavista,1/7/2022,-,Not found,11,220,36,Yes,1/7/2022,Not found,7,first scrap players transfer
Javier Garrido,https://www.transfermarkt.com/javier-garrido/profil/spieler/7571,Success,7571,spieler,Javier Garrido,01/07/1979 (46),Valencia,"1,76 m",Spain,Defender - Right-Back,right,Not found,Valencia,1/7/2006,-,Not found,0,0,0,Yes,1/7/2006,Not found,0,first scrap players transfer
Paulo Gazzaniga,https://www.transfermarkt.com/paulo-gazzaniga/profil/spieler/195488,Success,195488,spieler,Paulo Gazzaniga,02/01/1992 (33),Murphy,"1,95 m",Argentina  Italy,Goalkeeper,right,Not found,Girona,1/7/2023,30/06/2027,adidas,1,20,2,No,Not found,13,1,first scrap players transfer
Olivier Giroud,https://www.transfermarkt.com/olivier-giroud/profil/spieler/82442,Success,82442,spieler,Olivier Giroud,30/09/1986 (39),Chambéry,"1,92 m",France,Attack - Centre-Forward,left,Not found,Lille,1/7/2025,30/06/2026,Puma,22,391,87,No,Not found,9,10,first scrap players transfer
Serge Gnabry,https://www.transfermarkt.com/serge-gnabry/profil/spieler/159471,Success,159471,spieler,Serge Gnabry,14/07/1995 (30),Stuttgart,"1,76 m",Germany  Cote d'Ivoire,Attack - Second Striker,right,Not found,Bayern Munich,1/7/2017,30/06/2026,adidas,44,892,157,No,Not found,7,11,first scrap players transfer
Román Golobart,https://www.transfermarkt.com/romn-golobart/profil/spieler/90273,Success,90273,spieler,Román Golobart,21/03/1992 (33),Barcelona,N/A,Spain,Defender - Centre-Back,N/A,Not found,Nea Salamis,1/7/2022,-,Not found,1,45,7,Yes,1/7/2022,Not found,1,first scrap players transfer
Kaspars Gorkšs,https://www.transfermarkt.com/kaspars-gorks/profil/spieler/30379,Success,30379,spieler,Kaspars Gorkss,06/11/1981 (44),Riga,"1,91 m",Latvia,Defender - Centre-Back,left,Not found,Auda,19/08/2018,-,Not found,1,5,1,Yes,19/08/2018,Not found,1,first scrap players transfer
Yoan Gouffran,https://www.transfermarkt.com/yoan-gouffran/profil/spieler/23825,Success,23825,spieler,Yoan Gouffran,25/05/1986 (39),Villeneuve-Saint-Georges,"1,75 m",France  Guadeloupe,Attack - Left Winger,right,Not found,Ararat-Armenia,12/10/2021,-,Not found,5,222,43,Yes,12/10/2021,Not found,5,first scrap players transfer
Esteban Granero,https://www.transfermarkt.com/esteban-granero/profil/spieler/44065,Success,44065,spieler,Esteban Granero,02/07/1987 (38),Madrid,"1,80 m",Spain,Midfield - Central Midfield,right,Not found,Marbella FC,1/7/2021,-,Not found,7,293,66,Yes,1/7/2021,Not found,5,first scrap players transfer
Chris Gunter,https://www.transfermarkt.com/chris-gunter/profil/spieler/43853,Success,43853,spieler,Chris Gunter,21/07/1989 (36),Newport,"1,80 m",Wales,Defender - Right-Back,right,Not found,AFC Wimbledon,1/7/2023,-,Not found,1,29,8,Yes,1/7/2023,Not found,1,first scrap players transfer
Jonathan de Guzmán,https://www.transfermarkt.com/jonathan-de-guzmn/profil/spieler/31067,Success,31067,spieler,Jonathan de Guzmán,13/09/1987 (38),"Toronto, Ontario","1,73 m",Netherlands  Canada,Midfield - Central Midfield,right,Not found,Sparta R.,22/07/2022,30/06/2026,Not found,29,899,138,No,Not found,Not found,12,first scrap players transfer
Massadio Haïdara,https://www.transfermarkt.com/massadio-hadara/profil/spieler/170929,Success,170929,spieler,Massadio Haïdara,02/12/1992 (32),Trappes,"1,79 m",Mali  France,Defender - Left-Back,left,Not found,Kocaelispor,3/7/2025,30/06/2027,Puma,28,1096,222,No,Not found,21,12,first scrap players transfer
Robert Hall,https://www.transfermarkt.com/robert-hall/profil/spieler/121236,Success,121236,spieler,Rob Hall,20/10/1993 (32),Aylesbury,"1,73 m",England,Attack - Right Winger,left,Not found,Cheshunt,4/7/2025,-,Not found,3,616,80,Yes,4/7/2025,Not found,3,first scrap players transfer
Ian Harte,https://www.transfermarkt.com/ian-harte/profil/spieler/3634,Success,3634,spieler,Ian Harte,31/08/1977 (48),Drogheda,"1,75 m",Ireland,Defender - Left-Back,left,Not found,Bournemouth,27/08/2015,-,Not found,2,222,40,Yes,27/08/2015,Not found,2,first scrap players transfer
Eden Hazard,https://www.transfermarkt.com/eden-hazard/profil/spieler/50202,Success,50202,spieler,Eden Hazard,07/01/1991 (34),La Louvière,"1,75 m",Belgium,Attack - Left Winger,right,Not found,Real Madrid,10/10/2023,-,Nike,32,731,121,Yes,10/10/2023,Not found,8,first scrap players transfer
Ángelo Henríquez,https://www.transfermarkt.com/ngelo-henrquez/profil/spieler/189740,Success,189740,spieler,Ángelo Henríquez,13/04/1994 (31),La Reina,"1,75 m",Chile,Attack - Centre-Forward,right,Not found,La Serena,2/3/2025,30/12/2025,Not found,11,227,26,No,Not found,11,7,first scrap players transfer
Pablo Hernández,https://www.transfermarkt.com/pablo-hernndez/profil/spieler/46220,Success,46220,spieler,Pablo Hernández,11/04/1985 (40),Castellón,"1,73 m",Spain,Attack - Right Winger,right,Not found,Castellón,14/07/2023,-,Not found,9,311,51,Yes,14/07/2023,Not found,5,first scrap players transfer
Brett Holman,https://www.transfermarkt.com/brett-holman/profil/spieler/21496,Success,21496,spieler,Brett Holman,27/03/1984 (41),Bankstown,"1,77 m",Australia,Midfield - Attacking Midfield,right,Not found,Brisbane Roar,30/06/2019,-,Not found,3,79,13,Yes,30/06/2019,Not found,2,first scrap players transfer
Lewis Holtby,https://www.transfermarkt.com/lewis-holtby/profil/spieler/55508,Success,55508,spieler,Lewis Holtby,18/09/1990 (35),Erkelenz,"1,76 m",Germany  England,Midfield - Central Midfield,left,Not found,NAC Breda,11/8/2025,30/06/2027,Puma,36,639,73,No,Not found,90,13,first scrap players transfer
Jos Hooiveld,https://www.transfermarkt.com/jos-hooiveld/profil/spieler/4624,Success,4624,spieler,Jos Hooiveld,22/04/1983 (42),Zeijen,"1,93 m",Netherlands,Defender - Centre-Back,left,Not found,VV Pelikaan-S,1/7/2021,-,Not found,4,75,12,Yes,1/7/2021,Not found,3,first scrap players transfer
Noel Hunt,https://www.transfermarkt.com/noel-hunt/profil/spieler/12628,Success,12628,spieler,Noel Hunt,26/12/1982 (42),Waterford,"1,73 m",Ireland,Attack - Centre-Forward,left,Not found,Waterford FC,1/1/2019,-,Not found,1,85,16,Yes,1/1/2019,Not found,1,first scrap players transfer
Jordon Ibe,https://www.transfermarkt.com/jordon-ibe/profil/spieler/195652,Success,195652,spieler,Jordon Ibe,08/12/1995 (29),London,"1,76 m",England  Nigeria,Attack - Right Winger,right,Not found,Loko Sofia,15/11/2025,30/06/2027,Nike,5,458,44,No,Not found,33,3,first scrap players transfer
Shinji Kagawa,https://www.transfermarkt.com/shinji-kagawa/profil/spieler/81785,Success,81785,spieler,Shinji Kagawa,17/03/1989 (36),"Kobe, Hyogo","1,75 m",Japan,Midfield - Attacking Midfield,right,Not found,Cerezo Osaka,1/2/2023,31/01/2026,adidas,21,547,90,No,Not found,8,9,first scrap players transfer
Kei Kamara,https://www.transfermarkt.com/kei-kamara/profil/spieler/39049,Success,39049,spieler,Kei Kamara,01/09/1984 (41),Kenema,"1,88 m",Sierra Leone  United States,Attack - Centre-Forward,right,Not found,Cincinnati,12/5/2025,31/12/2025,adidas,2,28,5,No,Not found,85,2,first scrap players transfer
Harry Kane,https://www.transfermarkt.com/harry-kane/profil/spieler/132098,Success,132098,spieler,Harry Kane,28/07/1993 (32),London,"1,88 m",England  Ireland,Attack - Centre-Forward,right,Not found,Bayern Munich,12/8/2023,30/06/2027,Skechers,19,480,101,No,Not found,9,9,first scrap players transfer
Jem Karacan,https://www.transfermarkt.com/jem-karacan/profil/spieler/61447,Success,61447,spieler,Jem Karacan,21/02/1989 (36),Catford,"1,75 m",Türkiye  England,Midfield - Central Midfield,right,Not found,Radcliffe,23/01/2023,-,Not found,3,375,48,Yes,23/01/2023,Not found,3,first scrap players transfer
Giorgos Karagounis,https://www.transfermarkt.com/giorgos-karagounis/profil/spieler/6106,Success,6106,spieler,Georgios Karagounis,06/03/1977 (48),Pyrgos,"1,76 m",Greece,Midfield - Central Midfield,right,Not found,Fulham,1/7/2014,-,Not found,1,14,2,Yes,1/7/2014,Not found,1,first scrap players transfer
Jimmy Kébé,https://www.transfermarkt.com/jimmy-kb/profil/spieler/33822,Success,33822,spieler,Jimmy Kébé,19/01/1984 (41),Vitry-sur-Seine,"1,87 m",Mali  France,Attack - Right Winger,left,Not found,Crystal Palace,23/01/2015,-,Not found,2,214,23,Yes,23/01/2015,Not found,2,first scrap players transfer
Billy Knott,https://www.transfermarkt.com/billy-knott/profil/spieler/133392,Success,133392,spieler,Billy Knott,28/11/1992 (32),Canvey Island,"1,73 m",England,Midfield - Central Midfield,left,Not found,Hullbridge,1/7/2025,-,Nike,0,0,0,No,Not found,Not found,0,first scrap players transfer
Arouna Koné,https://www.transfermarkt.com/arouna-kon/profil/spieler/8552,Success,8552,spieler,Arouna Koné,11/11/1983 (42),Anyama,"1,81 m",Cote d'Ivoire,Attack - Centre-Forward,right,Not found,VK Weerde,1/1/2023,-,Not found,9,795,128,Yes,1/1/2023,Not found,8,first scrap players transfer
Adam Lallana,https://www.transfermarkt.com/adam-lallana/profil/spieler/43530,Success,43530,spieler,Adam Lallana,10/05/1988 (37),St Albans,"1,72 m",England,Midfield - Attacking Midfield,both,Not found,Southampton,1/7/2025,-,Puma,26,817,141,Yes,1/7/2025,Not found,11,first scrap players transfer
Roland Lamah,https://www.transfermarkt.com/roland-lamah/profil/spieler/35035,Success,35035,spieler,Roland Lamah,31/12/1987 (37),Abidjan,"1,80 m",Belgium  Cote d'Ivoire,Attack - Left Winger,left,Not found,Memphis 901,1/12/2021,-,Not found,1,6,1,Yes,1/12/2021,Not found,1,first scrap players transfer
Rickie Lambert,https://www.transfermarkt.com/rickie-lambert/profil/spieler/49655,Success,49655,spieler,Rickie Lambert,16/02/1982 (43),Kirkby,"1,87 m",England,Attack - Centre-Forward,right,Not found,Cardiff,2/10/2017,-,adidas,0,0,0,Yes,2/10/2017,Not found,0,first scrap players transfer
Adam le Fondre,https://www.transfermarkt.com/adam-le-fondre/profil/spieler/46106,Success,46106,spieler,Adam Le Fondre,02/12/1986 (38),Stockport,"1,80 m",England  France,Attack - Centre-Forward,right,Not found,FC United,1/8/2024,-,Not found,3,128,20,No,Not found,Not found,3,first scrap players transfer
Mikele Leigertwood,https://www.transfermarkt.com/mikele-leigertwood/profil/spieler/14041,Success,14041,spieler,Mikele Leigertwood,12/11/1982 (43),Enfield,"1,88 m",Antigua and Barbuda  England,Midfield - Defensive Midfield,both,Not found,Reading,1/7/2014,-,Not found,0,0,0,Yes,1/7/2014,Not found,0,first scrap players transfer
Hugo Lloris,https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965,Success,17965,spieler,Hugo Lloris,26/12/1986 (38),Nice,"1,88 m",France,Goalkeeper,left,Not found,LAFC,31/01/2024,31/12/2025,Nike,14,498,80,No,Not found,1,9,first scrap players transfer
Matthew Lowton,https://www.transfermarkt.com/matthew-lowton/profil/spieler/102258,Success,102258,spieler,Matthew Lowton,09/06/1989 (36),Chesterfield,"1,80 m",England,Defender - Right-Back,right,Not found,Precision FC,1/9/2024,-,Not found,6,283,21,No,Not found,Not found,4,first scrap players transfer
Modibo Maïga,https://www.transfermarkt.com/modibo-maga/profil/spieler/46831,Success,46831,spieler,Modibo Maïga,03/09/1987 (38),Bamako,"1,85 m",Mali,Attack - Centre-Forward,left,Not found,Al-Jeel,1/7/2023,-,Not found,0,0,0,Yes,1/7/2023,Not found,0,first scrap players transfer
Mikael Mandron,https://www.transfermarkt.com/mikael-mandron/profil/spieler/218144,Success,218144,spieler,Mikael Mandron,11/10/1994 (31),Boulogne-sur-Mer,"1,91 m",France  Scotland,Attack - Centre-Forward,left,Not found,St. Mirren,7/7/2023,31/05/2026,Not found,1,64,9,No,Not found,9,1,first scrap players transfer
Kader Mangane,https://www.transfermarkt.com/kader-mangane/profil/spieler/4796,Success,4796,spieler,Kader Mangane,23/03/1983 (42),Thiès,"1,93 m",Senegal  France,Defender - Centre-Back,right,Not found,R. Strasbourg,1/7/2018,-,Not found,2,208,10,Yes,1/7/2018,Not found,2,first scrap players transfer
Vito Mannone,https://www.transfermarkt.com/vito-mannone/profil/spieler/33781,Success,33781,spieler,Vito Mannone,02/03/1988 (37),Desio,"1,88 m",Italy,Goalkeeper,right,Not found,Without Club,1/7/2025,-,Not found,3,131,18,No,Not found,Not found,3,first scrap players transfer
Stanislav Manolev,https://www.transfermarkt.com/stanislav-manolev/profil/spieler/36233,Success,36233,spieler,Stanislav Manolev,16/12/1985 (39),Blagoevgrad,"1,85 m",Bulgaria,Defender - Right-Back,right,Not found,Pirin,22/05/2022,-,Not found,1,93,11,Yes,22/05/2022,Not found,1,first scrap players transfer
Adrian Mariappa,https://www.transfermarkt.com/adrian-mariappa/profil/spieler/38145,Success,38145,spieler,Adrian Mariappa,03/10/1986 (39),London,"1,79 m",Jamaica  England,Defender - Centre-Back,right,Not found,St Albans City,30/10/2025,-,Not found,1,53,10,No,Not found,Not found,1,first scrap players transfer
Marko Marin,https://www.transfermarkt.com/marko-marin/profil/spieler/35251,Success,35251,spieler,Marko Marin,13/03/1989 (36),Gradiška,"1,70 m",Germany  Serbia,Midfield - Attacking Midfield,right,Not found,Ferencváros,1/7/2022,-,Not found,13,354,45,Yes,1/7/2022,Not found,5,first scrap players transfer
Emmanuel Mayuka,https://www.transfermarkt.com/emmanuel-mayuka/profil/spieler/55709,Success,55709,spieler,Emmanuel Mayuka,21/11/1990 (35),Kabwe,"1,78 m",Zambia,Attack - Centre-Forward,right,Not found,NAPSA Stars,1/1/2023,-,Nike,1,131,17,Yes,1/1/2023,Not found,1,first scrap players transfer
Stéphane Mbia,https://www.transfermarkt.com/stphane-mbia/profil/spieler/27470,Success,27470,spieler,Stéphane Mbia,20/05/1986 (39),Yaoundé,"1,89 m",Cameroon  France,Midfield - Defensive Midfield,right,Not found,Without Club,1/7/2024,-,adidas,11,662,97,No,Not found,Not found,6,first scrap players transfer
Jobi McAnuff,https://www.transfermarkt.com/jobi-mcanuff/profil/spieler/14047,Success,14047,spieler,Jobi McAnuff,09/11/1981 (44),London,N/A,Jamaica  England,Attack - Left Winger,N/A,Not found,Leyton Orient,9/5/2021,-,Not found,0,0,0,Yes,9/5/2021,Not found,0,first scrap players transfer
Alex McCarthy,https://www.transfermarkt.com/alex-mccarthy/profil/spieler/95976,Success,95976,spieler,Alex McCarthy,03/12/1989 (35),Guildford,"1,93 m",England,Goalkeeper,right,Not found,Southampton,1/8/2016,30/06/2026,Not found,7,654,105,No,Not found,1,6,first scrap players transfer
George McCartney,https://www.transfermarkt.com/george-mccartney/profil/spieler/3775,Success,3775,spieler,George McCartney,29/04/1981 (44),Belfast,"1,83 m",Northern Ireland,Defender - Left-Back,left,Not found,West Ham,1/7/2014,-,Not found,6,323,60,Yes,1/7/2014,Not found,4,first scrap players transfer
Garath McCleary,https://www.transfermarkt.com/garath-mccleary/profil/spieler/69653,Success,69653,spieler,Garath McCleary,15/05/1987 (38),Oxford,"1,87 m",Jamaica  England,Attack - Right Winger,right,Not found,Gillingham,1/9/2025,30/06/2026,Not found,0,0,0,No,Not found,7,0,first scrap players transfer
Michu,https://www.transfermarkt.com/michu/profil/spieler/70789,Success,70789,spieler,Michu,21/03/1986 (39),Oviedo,"1,85 m",Spain,Attack - Second Striker,left,Not found,Real Oviedo,1/7/2017,-,adidas,5,359,66,Yes,1/7/2017,Not found,3,first scrap players transfer
Kevin Mirallas,https://www.transfermarkt.com/kevin-mirallas/profil/spieler/33639,Success,33639,spieler,Kevin Mirallas,05/10/1987 (38),Liège,"1,82 m",Belgium  Spain,Attack - Right Winger,right,Not found,AEL Limassol,1/9/2023,-,New Balance,11,299,43,Yes,1/9/2023,Not found,7,first scrap players transfer
Adam Mitchell,https://www.transfermarkt.com/adam-mitchell/profil/spieler/154293,Success,154293,spieler,Adam Mitchell,23/06/1983 (42),Dublin,Not found,Ireland,Defender - Centre-Back,Not found,Not found,O'Devaney Dun.,1/1/2016,-,Not found,1,8,1,No,Not found,Not found,1,first scrap players transfer
Nacho Monreal,https://www.transfermarkt.com/nacho-monreal/profil/spieler/43003,Success,43003,spieler,Nacho Monreal,26/02/1986 (39),Pamplona,"1,79 m",Spain,Defender - Left-Back,left,Not found,Real Sociedad,16/08/2022,-,Puma,18,790,139,Yes,16/08/2022,Not found,12,first scrap players transfer
Sean Morrison,https://www.transfermarkt.com/sean-morrison/profil/spieler/79723,Success,79723,spieler,Sean Morrison,08/01/1991 (34),Plymouth,"1,94 m",England  Ireland,Defender - Centre-Back,right,Not found,Rotherham,1/7/2024,-,Not found,2,326,24,Yes,1/7/2024,Not found,2,first scrap players transfer
Ján Mucha,https://www.transfermarkt.com/jn-mucha/profil/spieler/33195,Success,33195,spieler,Jan Mucha,05/12/1982 (42),Belá nad Cirochou,"1,89 m",Slovakia,Goalkeeper,right,Not found,Hamilton Acad.,1/1/2019,-,Not found,0,0,0,Yes,1/1/2019,Not found,0,first scrap players transfer
Alfred N'Diaye,https://www.transfermarkt.com/alfred-ndiaye/profil/spieler/77737,Success,77737,spieler,Alfred N'Diaye,06/03/1990 (35),Paris,"1,89 m",Senegal  France,Midfield - Defensive Midfield,right,Not found,Without Club,1/7/2024,-,Not found,3,75,14,No,Not found,Not found,3,first scrap players transfer
Steven Naismith,https://www.transfermarkt.com/steven-naismith/profil/spieler/12763,Success,12763,spieler,Steven Naismith,14/09/1986 (39),Irvine,"1,78 m",Scotland,Attack - Second Striker,right,Not found,Heart of Midl.,1/7/2021,-,adidas,12,988,166,Yes,1/7/2021,Not found,7,first scrap players transfer
Matija Nastasić,https://www.transfermarkt.com/matija-nastasi/profil/spieler/143559,Success,143559,spieler,Matija Nastasić,28/03/1993 (32),Valjevo,"1,87 m",Serbia,Defender - Centre-Back,left,Not found,Al-Ula,21/08/2025,-,Nike,22,885,169,No,Not found,15,10,first scrap players transfer
Joey O'Brien,https://www.transfermarkt.com/joey-obrien/profil/spieler/34672,Success,34672,spieler,Joey O'Brien,17/02/1986 (39),"Crumlin, Dublin","1,80 m",Ireland,Defender - Right-Back,right,Not found,Shamrock Rovers,1/1/2022,-,Not found,7,372,62,Yes,1/1/2022,Not found,6,first scrap players transfer
Oscar,https://www.transfermarkt.com/oscar/profil/spieler/85314,Success,85314,spieler,Oscar,09/09/1991 (34),Americana,"1,80 m",Brazil  Italy,Midfield - Attacking Midfield,right,Not found,São Paulo,3/1/2025,31/12/2027,adidas,10,387,70,No,Not found,8,7,first scrap players transfer
Bryan Oviedo,https://www.transfermarkt.com/bryan-oviedo/profil/spieler/124983,Success,124983,spieler,Bryan Oviedo,18/02/1990 (35),San José,"1,72 m",Costa Rica,Defender - Left-Back,left,Not found,AD San Carlos,2/9/2025,30/06/2026,Not found,16,669,123,No,Not found,3,9,first scrap players transfer
Alex Pearce,https://www.transfermarkt.com/alex-pearce/profil/spieler/47768,Success,47768,spieler,Alex Pearce,09/11/1988 (37),Oxford,"1,88 m",Ireland  Scotland,Defender - Centre-Back,right,Not found,Without Club,1/7/2025,-,Not found,2,56,11,No,Not found,Not found,1,first scrap players transfer
Mladen Petrić,https://www.transfermarkt.com/mladen-petri/profil/spieler/2874,Success,2874,spieler,Mladen Petric,01/01/1981 (44),Dubrave,N/A,Croatia  Switzerland,Attack - Centre-Forward,N/A,Not found,Panathinaikos,1/7/2016,-,Not found,19,394,87,Yes,1/7/2016,Not found,8,first scrap players transfer
Lucas Piazon,https://www.transfermarkt.com/lucas-piazon/profil/spieler/176485,Success,176485,spieler,Lucas Piazón,20/01/1994 (31),São Paulo,"1,82 m",Brazil  Italy,Midfield - Defensive Midfield,right,Not found,Wieczysta,20/08/2025,30/06/2027,Nike,7,264,37,No,Not found,12,6,first scrap players transfer
Lukas Podolski,https://www.transfermarkt.com/lukas-podolski/profil/spieler/15185,Success,15185,spieler,Lukas Podolski,04/06/1985 (40),Gliwice,"1,82 m",Germany  Poland,Attack - Centre-Forward,left,Not found,Górnik Zabrze,6/7/2021,30/06/2026,adidas,36,792,136,No,Not found,10,16,first scrap players transfer
Emanuel Pogatetz,https://www.transfermarkt.com/emanuel-pogatetz/profil/spieler/1094,Success,1094,spieler,Emanuel Pogatetz,16/01/1983 (42),Graz,"1,91 m",Austria,Defender - Centre-Back,left,Not found,LASK,1/1/2020,-,Not found,14,393,67,Yes,1/1/2020,Not found,9,first scrap players transfer
Goran Popov,https://www.transfermarkt.com/goran-popov/profil/spieler/19721,Success,19721,spieler,Goran Popov,02/10/1984 (41),Strumica,"1,88 m",North Macedonia,Defender - Left-Back,left,Not found,Vardar,1/7/2019,-,Not found,4,270,44,Yes,1/7/2019,Not found,3,first scrap players transfer
Dan Potts,https://www.transfermarkt.com/dan-potts/profil/spieler/207037,Success,207037,spieler,Dan Potts,13/04/1994 (31),London,"1,83 m",England,Defender - Centre-Back,left,Not found,Without Club,28/01/2025,-,Not found,4,403,60,No,Not found,Not found,3,first scrap players transfer
Nick Powell,https://www.transfermarkt.com/nick-powell/profil/spieler/134424,Success,134424,spieler,Nick Powell,23/03/1994 (31),Crewe,"1,83 m",England,Midfield - Attacking Midfield,both,Not found,Bradford,18/08/2025,-,Not found,4,337,71,No,Not found,22,4,first scrap players transfer
Guly do Prado,https://www.transfermarkt.com/guly-do-prado/profil/spieler/22801,Success,22801,spieler,Guly,31/12/1981 (43),Campinas,"1,89 m",Brazil  Italy,Midfield - Attacking Midfield,right,Not found,Caldense,1/1/2020,-,Nike,2,110,18,Yes,1/1/2020,Not found,2,first scrap players transfer
Gastón Ramírez,https://www.transfermarkt.com/gastn-ramrez/profil/spieler/123742,Success,123742,spieler,Gastón Ramírez,02/12/1990 (34),Fray Bentos,"1,83 m",Uruguay,Midfield - Central Midfield,left,Not found,Miramar,20/02/2025,31/12/2025,Nike,21,468,81,No,Not found,10,14,first scrap players transfer
Iván Ramis,https://www.transfermarkt.com/ivn-ramis/profil/spieler/26066,Success,26066,spieler,Iván Ramis,25/10/1984 (41),Sa Pobla,"1,89 m",Spain,Defender - Centre-Back,right,Not found,SD Eibar,20/07/2020,-,Not found,21,2896,125,Yes,20/07/2020,Not found,7,first scrap players transfer
Ben Reeves,https://www.transfermarkt.com/ben-reeves/profil/spieler/171234,Success,171234,spieler,Ben Reeves,19/11/1991 (34),Verwood,"1,71 m",Northern Ireland  England,Midfield - Attacking Midfield,left,Not found,Southampton U21,15/08/2024,30/06/2026,Not found,2,72,10,No,Not found,Not found,1,first scrap players transfer
Karim Rekik,https://www.transfermarkt.com/karim-rekik/profil/spieler/182579,Success,182579,spieler,Karim Rekik,02/12/1994 (30),Den Haag,"1,86 m",Netherlands  Tunisia,Defender - Centre-Back,left,Not found,Al-Jazira,30/07/2023,-,Not found,22,540,92,No,Not found,Not found,8,first scrap players transfer
Loïc Rémy,https://www.transfermarkt.com/loc-rmy/profil/spieler/45121,Success,45121,spieler,Loïc Rémy,02/01/1987 (38),Rillieux-la-Pape,"1,85 m",France  Martinique,Attack - Centre-Forward,right,Not found,Stade Brestois,8/10/2023,-,Not found,24,696,117,Yes,8/10/2023,Not found,8,first scrap players transfer
Frazer Richardson,https://www.transfermarkt.com/frazer-richardson/profil/spieler/4094,Success,4094,spieler,Frazer Richardson,29/10/1982 (43),Rotherham,"1,80 m",England,Defender - Right-Back,right,Not found,Doncaster,3/1/2017,-,Not found,1,77,12,Yes,3/1/2017,Not found,1,first scrap players transfer
Sascha Riether,https://www.transfermarkt.com/sascha-riether/profil/spieler/1662,Success,1662,spieler,Sascha Riether,23/03/1983 (42),Lahr,N/A,Germany,Defender - Right-Back,N/A,Not found,FC Schalke 04,1/7/2019,-,Not found,6,104,16,Yes,1/7/2019,Not found,4,first scrap players transfer
Joel Robles,https://www.transfermarkt.com/joel-robles/profil/spieler/101118,Success,101118,spieler,Joel Robles,17/06/1990 (35),Getafe,"1,94 m",Spain,Goalkeeper,right,Not found,Estoril,31/07/2024,30/06/2028,Not found,1,35,4,No,Not found,1,1,first scrap players transfer
Hal Robson-Kanu,https://www.transfermarkt.com/hal-robson-kanu/profil/spieler/65976,Success,65976,spieler,Hal Robson-Kanu,21/05/1989 (36),London,"1,83 m",Wales  England,Attack - Centre-Forward,left,Not found,West Brom,1/7/2021,-,Not found,5,151,27,Yes,1/7/2021,Not found,2,first scrap players transfer
Jay Rodriguez,https://www.transfermarkt.com/jay-rodriguez/profil/spieler/53360,Success,53360,spieler,Jay Rodríguez,29/07/1989 (36),Burnley,"1,85 m",England  Spain,Attack - Centre-Forward,right,Not found,Wrexham,31/01/2025,30/06/2026,Not found,15,1254,180,No,Not found,16,8,first scrap players transfer
Markus Rosenberg,https://www.transfermarkt.com/markus-rosenberg/profil/spieler/27505,Success,27505,spieler,Markus Rosenberg,27/09/1982 (43),Malmö,N/A,Sweden,Attack - Centre-Forward,N/A,Not found,Malmö,1/1/2020,-,Not found,4,128,18,Yes,1/1/2020,Not found,1,first scrap players transfer
Nuri Şahin,https://www.transfermarkt.com/nuri-ahin/profil/spieler/31095,Success,31095,spieler,Nuri Şahin,05/09/1988 (37),Lüdenscheid,"1,80 m",Türkiye  Germany,Midfield - Defensive Midfield,left,Not found,Antalyaspor,1/7/2022,-,Not found,27,855,149,Yes,1/7/2022,Not found,12,first scrap players transfer
