"rank","player_name.x","nation","position.x","current_club.x","age","dob","matches_played","starts","minutes","X90s","goals_12","assists_13","goals_assists_14","goals_PK_15","penalty_goals","penalty_attempts","yellow_cards","red_cards","goals_20","assists_21","GA_22","goals_PK_23","goals_assists_minus_PK","matches","season2","goals_against","goals_against_per_90","shots_on_target_against","saves","save_percentage_31","wins","draws","losses","clean_sheets","CS.","penalties_against","penalty_saves","penalty_misses","save_percentage_40","transfermarkt_id","player_name.x.x","transfermarkt_url.x","first_tier_debut_date","first_tier_debut_age","first_tier_debut_age.1","first_tier_debut_competition","second_tier_debut_date","second_tier_debut_age","second_tier_debut_age.1","second_tier_debut_competition","debut_age_transfermarket","explanation.x","player_name.y","player_url.x","status.x","player_slug","home_name","dob_age.x","place_birth.x","height.x","citizenship.x","position.x.x","foot.x","agent","current_club","joined","contract_expires","outfitter","injury_count_total","days_missed_total","games_missed_total","retired","retirement_date","shirt_number","injury_seasons","explanation.y","player_name","player_url.y","status.y","name_home_country","dob_age.y","place_birth.y","height.y","citizenship.y","position.y","foot.y","debut_season","debut_age","first_club","debut_year","transfermarkt_url.y","explanation"
290,"Adam le Fondre","eng ENG","FW","Reading",25,1986,34,11,1514,16.8,12,1,13,9,3,3,3,0,0.71,0.06,0.77,0.54,0.59,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46106,"Adam le Fondre","https://www.transfermarkt.com/adam-le-fondre/profil/spieler/46106","18/08/2012","25 years 08 months 16 days","25","Premier League","10/9/2011","24","24","Championship","24","first scrap players","Adam le Fondre","https://www.transfermarkt.com/adam-le-fondre/profil/spieler/46106","Success","spieler","Adam Le Fondre","02/12/1986 (38)","Stockport","1,80 m","England  France","Attack - Centre-Forward","right","Not found","FC United","1/8/2024","-","Not found",3,128,20,"No","Not found","Not found",3,"first scrap players transfer","Adam le Fondre","https://fbref.com/en/players/f3a77fec/Adam-le-Fondre","Success","Not found","2-Dec-86","Not found","177","Not found","FW","Right","2004-2005","17 years","Stockport","2004","https://www.transfermarkt.com/adam-le-fondre/profil/spieler/46106","first scrap players fbref"
291,"Mikele Leigertwood","ag ATG","DF,MF","Reading",29,1982,30,29,2645,29.4,1,0,1,1,0,0,3,0,0.03,0,0.03,0.03,0.03,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14041,"Mikele Leigertwood","https://www.transfermarkt.com/mikele-leigertwood/profil/spieler/14041","6/11/2004","21 years 11 months 25 days","21","Premier League","21/04/2002","19","19","First Division (until 03/04)","19","first scrap players","Mikele Leigertwood","https://www.transfermarkt.com/mikele-leigertwood/profil/spieler/14041","Success","spieler","Mikele Leigertwood","12/11/1982 (43)","Enfield","1,88 m","Antigua and Barbuda  England","Midfield - Defensive Midfield","both","Not found","Reading","1/7/2014","-","Not found",0,0,0,"Yes","1/7/2014","Not found",0,"first scrap players transfer","Mikele Leigertwood","https://fbref.com/en/players/3cd9228b/Mikele-Leigertwood","Success","Not found","12-Nov-82","Not found","188","Antigua and Barbuda ag  Other: England","DF-MF (DM)","Not found","2002-2003","19 years","Wimbledon","2002","https://www.transfermarkt.com/mikele-leigertwood/profil/spieler/14041","first scrap players fbref"
292,"Lucas Leiva","br BRA","MF","Liverpool",25,1987,26,24,1942,21.6,0,1,1,0,0,0,6,0,0,0.05,0.05,0,0.05,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41414,"Lucas Leiva","https://www.transfermarkt.com/lucas-leiva/profil/spieler/41414","16/04/2006","19 years 03 months 07 days","19","Campeonato Brasileiro Série A","23/07/2022","35","35","","19","first scrap players","Lucas Leiva","https://www.transfermarkt.com/lucas-leiva/profil/spieler/41414","Success","spieler","Lucas Leiva","09/01/1987 (38)","Dourados","1,79 m","Brazil  Italy","Midfield - Defensive Midfield","right","Not found","Grêmio","17/03/2023","-","Nike",19,774,131,"Yes","17/03/2023","Not found",11,"first scrap players transfer","Lucas Leiva","https://fbref.com/en/players/4c78b5ed/Lucas-Leiva","Success","Not found","9-Jan-87","Not found","179","Brazil","MF (CM-DM)","Right","2007-2008","20 years","Liverpool","2007","https://www.transfermarkt.com/lucas-leiva/profil/spieler/41414","first scrap players fbref"
293,"Aaron Lennon","eng ENG","FW,MF","Tottenham",25,1987,34,33,2821,31.3,4,7,11,4,0,0,1,0,0.13,0.22,0.35,0.13,0.35,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14221,"Aaron Lennon","https://www.transfermarkt.com/aaron-lennon/profil/spieler/14221","23/08/2003","16 years 04 months 07 days","16","Premier League","29/08/2004","17","17","Championship","16","first scrap players","Aaron Lennon","https://www.transfermarkt.com/aaron-lennon/profil/spieler/14221","Success","spieler","Aaron Lennon","16/04/1987 (38)","Chapeltown","1,65 m","England  Ireland","Attack - Right Winger","right","Not found","Burnley","15/11/2022","-","Not found",8,373,79,"Yes","15/11/2022","Not found",7,"first scrap players transfer","Aaron Lennon","https://fbref.com/en/players/2ff964a0/Aaron-Lennon","Success","Not found","16-Apr-87","Not found","165","England eng","FW-MF (AM-WM, right)","Right","2003-2004","16 years","Leeds United","2003","https://www.transfermarkt.com/aaron-lennon/profil/spieler/14221","first scrap players fbref"
294,"Joleon Lescott","eng ENG","DF","Manchester City",29,1982,26,17,1551,17.2,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4241,"Joleon Lescott","https://www.transfermarkt.com/joleon-lescott/profil/spieler/4241","19/08/2006","24 years 03 days","24","Premier League","13/08/2000","17","17","","17","first scrap players","Joleon Lescott","https://www.transfermarkt.com/joleon-lescott/profil/spieler/4241","Success","spieler","Joleon Lescott","16/08/1982 (43)","Birmingham","1,91 m","England","Defender - Centre-Back","left","Not found","Sunderland","1/7/2017","-","Not found",4,187,39,"Yes","1/7/2017","Not found",3,"first scrap players transfer","Joleon Lescott","https://fbref.com/en/players/62393d3b/Joleon-Lescott","Success","Not found","16-Aug-82","Not found","188","England eng","DF (CB)","Left","2001-2002","18 years","Wolves","2001","https://www.transfermarkt.com/joleon-lescott/profil/spieler/4241","first scrap players fbref"
295,"Eric Lichaj","us USA","DF","Aston Villa",23,1988,17,9,1140,12.7,0,1,1,0,0,0,6,0,0,0.08,0.08,0,0.08,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61575,"Eric Lichaj","https://www.transfermarkt.com/eric-lichaj/profil/spieler/61575","10/11/2010","21 years 11 months 24 days","21","Premier League","12/2/2011","22","22","Championship","21","first scrap players","Eric Lichaj","https://www.transfermarkt.com/eric-lichaj/profil/spieler/61575","Success","spieler","Eric Lichaj","17/11/1988 (37)","Downers Grove, Illinois","1,80 m","United States  Poland","Defender - Right-Back","right","Not found","Karagümrük","1/7/2021","-","Not found",1,36,5,"Yes","1/7/2021","Not found",1,"first scrap players transfer","Eric Lichaj","https://fbref.com/en/players/7636a420/Eric-Lichaj","Success","Not found","17-Nov-88","Not found","180","United States","DF (FB, right)","Right","2009-2010","20 years","Leyton Orient","2009","https://www.transfermarkt.com/eric-lichaj/profil/spieler/61575","first scrap players fbref"
296,"Anders Lindegaard","dk DEN","GK","Manchester Utd",28,1984,10,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22491,"Anders Lindegaard","https://www.transfermarkt.com/anders-lindegaard/profil/spieler/22491","19/11/2006","22 years 07 months 06 days","22","Superligaen","3/9/2008","24","24","1.Division","22","first scrap players","Anders Lindegaard","https://www.transfermarkt.com/anders-lindegaard/profil/spieler/22491","Success","spieler","Anders Lindegaard","13/04/1984 (41)","Dyrup","1,93 m","Denmark","Goalkeeper","right","Not found","Helsingborgs IF","1/1/2023","-","Not found",4,152,36,"Yes","1/1/2023","Not found",4,"first scrap players transfer","Anders Lindegaard","https://fbref.com/en/players/636f1a28/Anders-Lindegaard","Success","Not found","13-Apr-84","Not found","193","Denmark","GK","Right","2006-2007","22 years","Odense","2006","https://www.transfermarkt.com/anders-lindegaard/profil/spieler/22491","first scrap players fbref"
297,"Jake Livermore","eng ENG","MF","Tottenham",22,1989,11,4,421,4.7,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61832,"Jake Livermore","https://www.transfermarkt.com/jake-livermore/profil/spieler/61832","20/03/2010","20 years 04 months 06 days","20","Premier League","22/08/2009","19","19","Championship","19","first scrap players","Jake Livermore","https://www.transfermarkt.com/jake-livermore/profil/spieler/61832","Success","spieler","Jake Livermore","14/11/1989 (36)","London","1,80 m","England","Midfield - Defensive Midfield","right","Not found","Watford","1/7/2025","-","Not found",1,21,3,"Yes","1/7/2025","Not found",1,"first scrap players transfer","Jake Livermore","https://fbref.com/en/players/b98570d1/Jake-Livermore","Success","Not found","14-Nov-89","Not found","175","England eng","MF (CM-DM)","Right","2007-2008","17 years","MK Dons","2007","https://www.transfermarkt.com/jake-livermore/profil/spieler/61832","first scrap players fbref"
298,"Hugo Lloris","fr FRA","GK","Tottenham",25,1986,27,27,2430,27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17965,"Hugo Lloris","https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965","18/03/2006","19 years 02 months 20 days","19","Ligue 1","No second tier career","No second tier career","No second tier career","No second tier career","19","first scrap players","Hugo Lloris","https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965","Success","spieler","Hugo Lloris","26/12/1986 (38)","Nice","1,88 m","France","Goalkeeper","left","Not found","LAFC","31/01/2024","31/12/2025","Nike",14,498,80,"No","Not found","1",9,"first scrap players transfer","Hugo Lloris","https://fbref.com/en/players/8f62b6ee/Hugo-Lloris","Success","Not found","December 26, 1986 (Age: 38-334d)","Nice, France","188","France","GK","Left","2005-2006","18 years","Nice","2005","https://www.transfermarkt.com/hugo-lloris/profil/spieler/17965","first scrap players fbref"
299,"Shane Long","ie IRL","FW","West Brom",25,1987,34,25,2151,23.9,8,4,12,8,0,1,3,0,0.33,0.17,0.5,0.33,0.5,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37304,"Shane Long","https://www.transfermarkt.com/shane-long/profil/spieler/37304","23/03/2005","18 years 02 months 01 day","18","Premier Division","28/12/2005","18","18","Championship","18","first scrap players","Shane Long","https://www.transfermarkt.com/shane-long/profil/spieler/37304","Success","spieler","Shane Long","22/01/1987 (38)","Gortnahoe","1,80 m","Ireland","Attack - Centre-Forward","both","Not found","Reading","1/7/2023","-","Not found",15,290,48,"Yes","1/7/2023","Not found",8,"first scrap players transfer","Shane Long","https://fbref.com/en/players/9f472354/Shane-Long","Success","Not found","22-Jan-87","Not found","180","Republic of Ireland","FW","Right","2005-2006","18 years","Reading","2005","https://www.transfermarkt.com/shane-long/profil/spieler/37304","first scrap players fbref"
300,"Adrián López","es ESP","DF","Wigan Athletic",25,1987,5,3,357,4,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44966,"Adrián López","https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966","30/09/2007","20 years 07 months 05 days","20","LaLiga","20/08/2017","30 years 05 months 26 days","30","1.Division","20","players corrected","Adrián López","https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966","Success","spieler","Adrián López","25/02/1987 (38)","As Pontes","1,84 m","Spain","Defender - Centre-Back","right","Not found","SD Compostela","1/7/2019","-","adidas",2,80,14,"Yes","1/7/2019","Not found",2,"players corrected transfer

","Adrián López","https://fbref.com/en/players/70392341/Adrian-Lopez","Success","Not found","25-Feb-87","Not found","184cm","Not found","DF (CB)","Right","2007-2008","20 years","La Coruña","2007","https://www.transfermarkt.com/adrian-lopez/profil/spieler/44966","players corrected fbref"
301,"Matthew Lowton","eng ENG","DF","Aston Villa",23,1989,37,37,3266,36.3,2,3,5,2,0,0,10,0,0.06,0.08,0.14,0.06,0.14,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102258,"Matthew Lowton","https://www.transfermarkt.com/matthew-lowton/profil/spieler/102258","1/8/2009","20 years 01 month 23 days","20","Nemzeti Bajnokság","24/03/2010","20","20","Championship","20","first scrap players","Matthew Lowton","https://www.transfermarkt.com/matthew-lowton/profil/spieler/102258","Success","spieler","Matthew Lowton","09/06/1989 (36)","Chesterfield","1,80 m","England","Defender - Right-Back","right","Not found","Precision FC","1/9/2024","-","Not found",6,283,21,"No","Not found","Not found",4,"first scrap players transfer","Matthew Lowton","https://fbref.com/en/players/9a9c05db/Matthew-Lowton","Success","Not found","9-Jun-89","Not found","180","Not found","DF (FB, right)","Right","2009-2010","20 years","Ferencváros","2009","https://www.transfermarkt.com/matthew-lowton/profil/spieler/102258","first scrap players fbref"
302,"David Luiz","br BRA","DF,MF","Chelsea",25,1987,30,29,2632,29.2,2,2,4,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46741,"David Luiz","https://www.transfermarkt.com/david-luiz/profil/spieler/46741","12/3/2007","19 years 10 months 18 days","19","Liga Portugal","No second tier career","No second tier career","No second tier career","No second tier career","19","first scrap players","David Luiz","https://www.transfermarkt.com/david-luiz/profil/spieler/46741","Success","spieler","David Luiz","22/04/1987 (38)","Diadema","1,89 m","Brazil","Defender - Centre-Back","right","Not found","Pafos","3/8/2025","31/05/2027","adidas",30,703,134,"No","Not found","4",11,"first scrap players transfer","David Luiz","https://fbref.com/en/players/c0e27d1a/David-Luiz","Success","Not found","April 22, 1987 (Age: 38-217d)","Diadema, Brazil","189","Brazil","DF-MF (CB-DM)","Right","2006-2007","19 years","Benfica","2006","https://www.transfermarkt.com/david-luiz/profil/spieler/46741","first scrap players fbref"
303,"Romelu Lukaku","be BEL","FW","West Brom",19,1993,35,20,2005,22.3,17,4,21,15,2,3,3,0,0.76,0.18,0.94,0.67,0.85,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96341,"Romelu Lukaku","https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341","22/08/2009","16 years 03 months 09 days","16","Jupiler Pro League","No second tier career","No second tier career","No second tier career","No second tier career","16","first scrap players","Romelu Lukaku","https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341","Success","spieler","Romelu Lukaku","13/05/1993 (32)","Antwerpen","1,91 m","Belgium  DR Congo","Attack - Centre-Forward","left","Not found","Napoli","29/08/2024","30/06/2027","Nike",20,468,91,"No","Not found","9",10,"first scrap players transfer","Romelu Lukaku","https://fbref.com/en/players/5eae500a/Romelu-Lukaku","Success","Not found","May 13, 1993 (Age: 32-196d)","Antwerpen, Belgium","192","Belgium","FW","Left","2009-2010","16 years","Anderlecht","2009","https://www.transfermarkt.com/romelu-lukaku/profil/spieler/96341","first scrap players fbref"
304,"Jamie Mackie","sct SCO","FW,MF","QPR",26,1985,29,17,1713,19,2,0,2,2,0,0,2,0,0.11,0,0.11,0.11,0.11,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15929,"Jamie Mackie","https://www.transfermarkt.com/jamie-mackie/profil/spieler/15929","2/10/2011","26 years 10 days","26","Premier League","26/12/2003","18","18","First Division (until 03/04)","18","first scrap players","Jamie Mackie","https://www.transfermarkt.com/jamie-mackie/profil/spieler/15929","Success","spieler","Jamie Mackie","22/09/1985 (40)","Dorking","1,82 m","Scotland  England","Attack - Centre-Forward","right","Not found","Oxford United","21/07/2020","-","Not found",0,0,0,"Yes","21/07/2020","Not found",0,"first scrap players transfer","Jamie Mackie","https://fbref.com/en/players/d0de6b37/Jamie-Mackie","Success","Not found","22-Sep-85","Not found","173","Scotland sct  Other: England","FW-MF (WM)","Right","2003-2004","17 years","Wimbledon","2003","https://www.transfermarkt.com/jamie-mackie/profil/spieler/15929","first scrap players fbref"
305,"Modibo Maïga","ml MLI","FW,MF","West Ham",24,1987,17,2,421,4.7,2,2,4,2,0,0,2,0,0.43,0.43,0.86,0.43,0.86,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46831,"Modibo Maïga","https://www.transfermarkt.com/modibo-maga/profil/spieler/46831","25/08/2007","19 years 11 months 22 days","19","Ligue 1","1/2/2014","26","26","Championship","19","first scrap players","Modibo Maïga","https://www.transfermarkt.com/modibo-maga/profil/spieler/46831","Success","spieler","Modibo Maïga","03/09/1987 (38)","Bamako","1,85 m","Mali","Attack - Centre-Forward","left","Not found","Al-Jeel","1/7/2023","-","Not found",0,0,0,"Yes","1/7/2023","Not found",0,"first scrap players transfer","Modibo Maïga","https://fbref.com/en/players/a546477d/Modibo-Maiga","Success","Not found","3-Sep-87","Not found","185","Mali","FW-MF (WM)","Left","2007-2008","19 years","Le Mans","2007","https://www.transfermarkt.com/modibo-maga/profil/spieler/46831","first scrap players fbref"
306,"Shaun Maloney","sct SCO","FW,MF","Wigan Athletic",29,1983,36,34,2938,32.6,6,8,14,5,1,1,6,0,0.18,0.25,0.43,0.15,0.4,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9508,"Shaun Maloney","https://www.transfermarkt.com/shaun-maloney/profil/spieler/9508","6/5/2001","18 years 03 months 12 days","18","Scottish Premiership","3/8/2013","30","30","Championship","18","first scrap players","Shaun Maloney","https://www.transfermarkt.com/shaun-maloney/profil/spieler/9508","Success","spieler","Shaun Maloney","24/01/1983 (42)","Miri","1,71 m","Scotland  England","Midfield - Attacking Midfield","right","Not found","Hull City","1/7/2017","-","Not found",4,260,47,"Yes","1/7/2017","Not found",4,"first scrap players transfer","Shaun Maloney","https://fbref.com/en/players/0558e236/Shaun-Maloney","Success","Not found","24-Jan-83","Not found","171","Scotland sct  Other: Malaysia","FW-MF (WM)","Both","2000-2001","17 years","Celtic","2000","https://www.transfermarkt.com/shaun-maloney/profil/spieler/9508","first scrap players fbref"
307,"Mikael Mandron","fr FRA","FW","Sunderland",17,1994,2,0,23,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218144,"Mikael Mandron","https://www.transfermarkt.com/mikael-mandron/profil/spieler/218144","29/04/2013","18 years 06 months 18 days","18","Premier League","21/02/2017","22","22","Championship","18","first scrap players","Mikael Mandron","https://www.transfermarkt.com/mikael-mandron/profil/spieler/218144","Success","spieler","Mikael Mandron","11/10/1994 (31)","Boulogne-sur-Mer","1,91 m","France  Scotland","Attack - Centre-Forward","left","Not found","St. Mirren","7/7/2023","31/05/2026","Not found",1,64,9,"No","Not found","9",1,"first scrap players transfer","Mikael Mandron","https://fbref.com/en/players/47a26e7c/Mikael-Mandron","Success","Not found","October 11, 1994 (Age: 31-045d)","Boulogne-sur-Mer, France","191","Not found","FW","Right","2012-2013","17 years","Sunderland","2012","https://www.transfermarkt.com/mikael-mandron/profil/spieler/218144","first scrap players fbref"
308,"Kader Mangane","sn SEN","DF,MF","Sunderland",29,1983,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4796,"Kader Mangane","https://www.transfermarkt.com/kader-mangane/profil/spieler/4796","4/8/2001","18 years 04 months 12 days","18","Raiffeisen Super League","28/07/2006","23","23","Brack.ch Challenge League","18","first scrap players","Kader Mangane","https://www.transfermarkt.com/kader-mangane/profil/spieler/4796","Success","spieler","Kader Mangane","23/03/1983 (42)","Thiès","1,93 m","Senegal  France","Defender - Centre-Back","right","Not found","R. Strasbourg","1/7/2018","-","Not found",2,208,10,"Yes","1/7/2018","Not found",2,"first scrap players transfer","Kader Mangane","https://fbref.com/en/players/dbb10755/Kader-Mangane","Success","Not found","23-Mar-83","Not found","193","Senegal","DF-MF (CB)","Right","2003-2004","20 years","Xamax","2003","https://www.transfermarkt.com/kader-mangane/profil/spieler/4796","first scrap players fbref"
309,"Vito Mannone","it ITA","GK","Arsenal",24,1988,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33781,"Vito Mannone","https://www.transfermarkt.com/vito-mannone/profil/spieler/33781","24/05/2009","21 years 02 months 22 days","21","Premier League","22/09/2006","18","18","Championship","18","first scrap players","Vito Mannone","https://www.transfermarkt.com/vito-mannone/profil/spieler/33781","Success","spieler","Vito Mannone","02/03/1988 (37)","Desio","1,88 m","Italy","Goalkeeper","right","Not found","Without Club","1/7/2025","-","Not found",3,131,18,"No","Not found","Not found",3,"first scrap players transfer","Vito Mannone","https://fbref.com/en/players/c4173f1a/Vito-Mannone","Success","Not found","March 2, 1988 (Age: 37-268d)","Desio, Italy","191","Italy","GK","Right","2006-2007","18 years","Barnsley","2006","https://www.transfermarkt.com/vito-mannone/profil/spieler/33781","first scrap players fbref"
310,"Stanislav Manolev","bg BUL","DF,MF","Fulham",26,1985,5,4,431,4.8,0,0,0,0,0,0,2,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36233,"Stanislav Manolev","https://www.transfermarkt.com/stanislav-manolev/profil/spieler/36233","20/03/2004","18 years 03 months 04 days","18","efbet Liga","19/08/2013","27","27","Keuken Kampioen Divisie","18","first scrap players","Stanislav Manolev","https://www.transfermarkt.com/stanislav-manolev/profil/spieler/36233","Success","spieler","Stanislav Manolev","16/12/1985 (39)","Blagoevgrad","1,85 m","Bulgaria","Defender - Right-Back","right","Not found","Pirin","22/05/2022","-","Not found",1,93,11,"Yes","22/05/2022","Not found",1,"first scrap players transfer","Stanislav Manolev","https://fbref.com/en/players/42138efa/Stanislav-Manolev","Success","Not found","16-Dec-85","Not found","185","Bulgaria","DF-MF (FB, right)","Right","2009-2010","23 years","PSV Eindhoven","2009","https://www.transfermarkt.com/stanislav-manolev/profil/spieler/36233","first scrap players fbref"
311,"Adrian Mariappa","jm JAM","DF","Reading",25,1986,29,29,2610,29,1,0,1,1,0,0,5,0,0.03,0,0.03,0.03,0.03,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38145,"Adrian Mariappa","https://www.transfermarkt.com/adrian-mariappa/profil/spieler/38145","19/08/2006","19 years 10 months 16 days","19","Premier League","14/02/2006","19","19","Championship","19","first scrap players","Adrian Mariappa","https://www.transfermarkt.com/adrian-mariappa/profil/spieler/38145","Success","spieler","Adrian Mariappa","03/10/1986 (39)","London","1,79 m","Jamaica  England","Defender - Centre-Back","right","Not found","St Albans City","30/10/2025","-","Not found",1,53,10,"No","Not found","Not found",1,"first scrap players transfer","Adrian Mariappa","https://fbref.com/en/players/8aa5f52c/Adrian-Mariappa","Success","Not found","October 3, 1986 (Age: 39-053d)","Harrow, England, United Kingdom","180","Jamaica jm  Other: England","DF (CB, right)","Right","2005-2006","18 years","Watford","2005","https://www.transfermarkt.com/adrian-mariappa/profil/spieler/38145","first scrap players fbref"
312,"Marko Marin","de GER","FW,MF","Chelsea",23,1989,6,2,144,1.6,1,1,2,1,0,0,2,0,0.62,0.62,1.25,0.62,1.25,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35251,"Marko Marin","https://www.transfermarkt.com/marko-marin/profil/spieler/35251","31/03/2007","18 years 18 days","18","1.Bundesliga","13/08/2007","18","18","2.Bundesliga","18","first scrap players","Marko Marin","https://www.transfermarkt.com/marko-marin/profil/spieler/35251","Success","spieler","Marko Marin","13/03/1989 (36)","Gradiška","1,70 m","Germany  Serbia","Midfield - Attacking Midfield","right","Not found","Ferencváros","1/7/2022","-","Not found",13,354,45,"Yes","1/7/2022","Not found",5,"first scrap players transfer","Marko Marin","https://fbref.com/en/players/a022e78c/Marko-Marin","Success","Not found","13-Mar-89","Not found","170","Germany de  Other: Bosnia and Herzegovina","FW-MF (AM-WM)","Right","2006-2007","17 years","Gladbach","2006","https://www.transfermarkt.com/marko-marin/profil/spieler/35251","first scrap players fbref"
313,"Chris Martin","sct SCO","FW","Norwich City",23,1988,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46154,"Chris Martin","https://www.transfermarkt.com/chris-martin/profil/spieler/46154","21/08/2011","22 years 09 months 17 days","22","Premier League","30/01/2007","18 years 02 months 26 days","18","Championship","18","players corrected","Chris Martin","https://www.transfermarkt.com/chris-martin/profil/spieler/46154","Success","spieler","Chris Martin","04/11/1988 (37)","Beccles","1,84 m","Scotland  England","Attack - Centre-Forward","right","Not found","Without Club","1/7/2025","-","Not found",2,68,15,"No","Not found","Not found",1,"players corrected transfer

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,"Russell Martin","sct SCO","DF","Norwich City",26,1986,31,30,2691,29.9,3,0,3,3,0,0,1,0,0.1,0,0.1,0.1,0.1,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67303,"Russell Martin","https://www.transfermarkt.com/russell-martin/profil/spieler/67303","13/08/2011","25 years 07 months 09 days","25","Premier League","18/08/2009","23","23","Championship","23","first scrap players","Russell Martin","https://www.transfermarkt.com/russell-martin/profil/spieler/67303","Success","spieler","Russell Martin","04/01/1986 (39)","Brighton","1,83 m","Scotland  England","Defender - Centre-Back","right","Not found","MK Dons","6/11/2019","-","Not found",3,45,9,"Yes","6/11/2019","Not found",2,"first scrap players transfer","Russell Martin","https://fbref.com/en/players/24952f1e/Russell-Martin","Success","Not found","4-Jan-86","Not found","183","Scotland sct  Other: England","DF (CB)","Right","2004-2005","18 years","Wycombe","2004","https://www.transfermarkt.com/russell-martin/profil/spieler/67303","first scrap players fbref"
315,"Sylvain Marveaux","fr FRA","FW,MF","Newcastle Utd",26,1986,22,10,1007,11.2,1,4,5,1,0,0,0,0,0.09,0.36,0.45,0.09,0.45,"Matches","2012-2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39909,"Sylvain Marveaux","https://www.transfermarkt.com/sylvain-marveaux/profil/spieler/39909","5/8/2006","20 years 03 months 21 days","20","Ligue 1","29/07/2017","31","31","Ligue 2","20","first scrap players","Sylvain Marveaux","https://www.transfermarkt.com/sylvain-marveaux/profil/spieler/39909","Success","spieler","Sylvain Marveaux","15/04/1986 (39)","Vannes","1,72 m","France  Martinique","Midfield - Attacking Midfield","left","Not found","Charlotte Ind.","1/12/2021","-","Not found",7,531,125,"Yes","1/12/2021","Not found",5,"first scrap players transfer","Sylvain Marveaux","https://fbref.com/en/players/4ef705ab/Sylvain-Marveaux","Success","Not found","15-Apr-86","Not found","172","France","FW-MF (AM)","Left","2006-2007","20 years","Rennes","2006","https://www.transfermarkt.com/sylvain-marveaux/profil/spieler/39909","first scrap players fbref"
