fbref_url,transfermarkt_id,player_name,name_home_country,dob_age,place_birth,height,citizenship,position,foot,debut_season,debut_age,first_club,debut_year,explanation
https://fbref.com/en/players/1cb49278/Andreas-Christensen,196948,Andreas Christensen,Not found,"April 10, 1996 (Age: 29-229d)","Lillerød, Denmark",188,Denmark,DF-MF (CB),Right,2014-2015,18 years,Chelsea,2014,first scrap players fbref
https://fbref.com/en/players/e2b384d2/Chuba-Akpom,197642,Chuba Akpom,Not found,"October 9, 1995 (Age: 30-047d)","Newham, England, United Kingdom",183,England eng,FW-MF,Right,2013-2014,17 years,Brentford,2013,first scrap players fbref
https://fbref.com/en/players/646ee278/John-Swift,197693,John Swift,Not found,"June 23, 1995 (Age: 30-155d)","Portsmouth, England, United Kingdom",182,England eng,FW-MF (AM),Right,2013-2014,18 years,Chelsea,2013,first scrap players fbref
https://fbref.com/en/players/45963054/Jamie-Vardy,197838,Jamie Vardy,Not found,"January 11, 1987 (Age: 38-318d)","Sheffield, England, United Kingdom",178,England eng,FW,Right,2011-2012,24 years,Fleetwood Town,2011,first scrap players fbref
https://fbref.com/en/players/7ef25942/Tokelo-Rantie,198495,Tokelo Rantie,Not found,8-Sep-90,Not found,172,South Africa,FW,Right,2012,21 years,Malmö,Not found,first scrap players fbref
https://fbref.com/en/players/b44c39da/Muamer-Tankovic,198513,Muamer Tanković,Not found,"February 22, 1995 (Age: 30-276d)","Norrköping, Sweden",179,Sweden,FW-MF (AM),Right,2013-2014,18 years,Fulham,2013,first scrap players fbref
https://fbref.com/en/players/b30c7426/Josh-Murphy,199528,Josh Murphy,Not found,"February 24, 1995 (Age: 30-274d)","Wembley, England, United Kingdom",173,England eng,"FW-MF (AM-WM, left)",Right,2013-2014,18 years,Norwich City,2013,first scrap players fbref
https://fbref.com/en/players/c691bfe2/Sadio-Mane,200512,Sadio Mané,Not found,"April 10, 1992 (Age: 33-229d)","Sédhiou, Senegal",175,Senegal,"FW-MF (AM, left)",Right,2011-2012,19 years,Metz,2011,first scrap players fbref
https://fbref.com/en/players/ff9fcd4d/Alex-Pritchard,200777,Alex Pritchard,Not found,"May 3, 1993 (Age: 32-206d)","Orsett, England, United Kingdom",171,England eng,FW-MF (AM),Right,2012-2013,19 years,P'borough Utd,2012,first scrap players fbref
https://fbref.com/en/players/ff674795/Kevin-Stewart,200782,Kevin Stewart,Not found,7-Sep-93,Not found,182,Jamaica jm  Other: England,DF-MF (DM),Right,2012-2013,18 years,Crewe Alexandra,2012,first scrap players fbref
https://fbref.com/en/players/a5ae8f8e/Milos-Veljkovic,202228,Miloš Veljković,Not found,"September 26, 1995 (Age: 30-060d)","Belgrade, Serbia",184,Serbia rs  Other: Switzerland,DF (CB),Right,2013-2014,17 years,Tottenham,2013,first scrap players fbref
https://fbref.com/en/players/e97fd090/Ruben-Loftus-Cheek,202886,Ruben Loftus-Cheek,Not found,"January 23, 1996 (Age: 29-306d)","Lewisham, England, United Kingdom",191,England eng,MF (AM-WM),Right,2014-2015,18 years,Chelsea,2014,first scrap players fbref
https://fbref.com/en/players/d3ce0e89/Danny-Ward,203026,Danny Ward,Not found,"June 22, 1993 (Age: 32-167d)","Wrexham, Wales, United Kingdom",191,Wales wls,GK,Right,2010-2011,17 years,Tamworth,2010,players corrected fbref
https://fbref.com/en/players/e76cb9cc/Chancel-Mbemba,203348,Chancel Mbemba,Not found,"August 8, 1994 (Age: 31-109d)","Kinshasa, Congo DR",182,Congo DR,"DF (CB, right)",Right,2013-2014,18 years,Anderlecht,2013,first scrap players fbref
https://fbref.com/en/players/6639e500/Andreas-Pereira,203394,Andreas Pereira,Not found,"January 1, 1996 (Age: 29-328d)","Duffel, Belgium",177,Brazil br  Other: Belgium,MF (AM),Right,2014-2015,18 years,Manchester Utd,2014,first scrap players fbref
https://fbref.com/en/players/c693347d/Andreas-Cornelius,203412,Andreas Cornelius,Not found,"March 16, 1993 (Age: 32-254d)","Copenhagen, Denmark",193,Denmark,FW,Left,2011-2012,18 years,FC Copenhagen,2011,first scrap players fbref
https://fbref.com/en/players/b0b4fd3e/Jack-Grealish,203460,Jack Grealish,Not found,"September 10, 1995 (Age: 30-076d)","Birmingham, England, United Kingdom",175,England eng  Other: Republic of Ireland,"FW-MF (AM-WM, left)",Right,2013-2014,17 years,Notts County,2013,first scrap players fbref
https://fbref.com/en/players/e8f3848e/Jamar-Loza,203464,Jamar Loza,Not found,10-May-94,Not found,178,Jamaica,FW-MF,Right,2013-2014,19 years,Southend United,2013,first scrap players fbref
https://fbref.com/en/players/65829d85/Dominic-Samuel,203784,Dominic Samuel,Not found,"April 11, 1994 (Age: 31-228d)","Southwark, England, United Kingdom",182,England eng,FW-MF,Right,2012-2013,18 years,Colchester Utd,2012,first scrap players fbref
https://fbref.com/en/players/9a28eba4/Adama-Traore,204103,Adama Traoré,Not found,"January 25, 1996 (Age: 29-304d)","l'Hospitalet de Llobregat, Spain",178,Spain es  Other: Mali,"FW-MF (AM-WM, right)",Right,2013-2014,17 years,Barcelona,2013,first scrap players fbref
https://fbref.com/en/players/e3aa211f/Adam-Campbell,204354,Adam Campbell,Not found,"January 1, 1995 (Age: 30-328d)","North Shields, England, United Kingdom",168,England eng,FW-MF (WM),Both,2012-2013,17 years,Newcastle Utd,2012,first scrap players fbref
https://fbref.com/en/players/3595affe/Dan-Potts,207037,Dan Potts,Not found,13-Apr-94,Not found,173,England eng,"DF (FB, left)",Left,2011-2012,17 years,West Ham,2011,first scrap players fbref
https://fbref.com/en/players/11b9265b/Alberto-Moreno,207917,Alberto Moreno,Not found,"July 5, 1992 (Age: 33-154d)","Sevilla, Spain",172,Spain,"DF-MF (FB, left)",Left,2011-2012,19 years,Sevilla,2011,players corrected fbref
https://fbref.com/en/players/cea4ee8f/Dele-Alli,207929,Dele Alli,Not found,11-Apr-96,Not found,188,England eng,FW-MF (AM),Right,2012-2013,16 years,MK Dons,2012,first scrap players fbref
https://fbref.com/en/players/321506b3/Brendan-Galloway,208244,Brendan Galloway,Not found,"March 17, 1996 (Age: 29-253d)","Harare, Zimbabwe",186,Zimbabwe zw  Other: England,DF,Left,2011-2012,15 years,MK Dons,2011,first scrap players fbref
https://fbref.com/en/players/af721f98/Oumar-Niasse,209781,Oumar Niasse,Not found,18-Apr-90,Not found,182,Senegal,FW-MF (WM),Right,2012,21 years,Brann,Not found,first scrap players fbref
https://fbref.com/en/players/1a4ef233/Daniel-Amartey,214056,Daniel Amartey,Not found,21-Dec-94,Not found,182,Ghana,"DF-MF (CB, right)",Right,2013,18 years,Djurgården,Not found,first scrap players fbref
https://fbref.com/en/players/dc6f5bdd/Calum-Chambers,215118,Calum Chambers,Not found,"January 20, 1995 (Age: 30-309d)","Petersfield, England, United Kingdom",183,England eng,DF-MF (CB-FB),Right,2013-2014,18 years,Southampton,2013,first scrap players fbref
https://fbref.com/en/players/84afeaff/George-Honeyman,218140,George Honeyman,Not found,"September 8, 1994 (Age: 31-078d)","Prudhoe, England, United Kingdom",173,Not found,FW-MF (AM-CM),Right,2014-2015,19 years,Sunderland,2014,first scrap players fbref
https://fbref.com/en/players/47a26e7c/Mikael-Mandron,218144,Mikael Mandron,Not found,"October 11, 1994 (Age: 31-045d)","Boulogne-sur-Mer, France",191,Not found,FW,Right,2012-2013,17 years,Sunderland,2012,first scrap players fbref
https://fbref.com/en/players/0ff967f7/Matthew-Pennington,220755,Matthew Pennington,Not found,"October 6, 1994 (Age: 31-050d)","Warrington, England, United Kingdom",185,England eng,DF (CB),Right,2013-2014,18 years,Tranmere Rovers,2013,first scrap players fbref
https://fbref.com/en/players/354b46ef/Abdul-Razak-Dikeni,224090,Abdul Razak,Not found,13-Jan-04,Not found,Not found,Not found,DF,Not found,2020-2021,16 years,Holstein Kiel,2020,first scrap players fbref
https://fbref.com/en/players/e4086af3/Baba-Rahman,224884,Baba Rahman,Not found,"July 2, 1994 (Age: 31-146d)","Tamale, Ghana",179,Ghana,"DF-MF (CB-FB, left)",Left,2012-2013,18 years,Greuther Fürth,2012,first scrap players fbref
https://fbref.com/en/players/b9fbae28/NGolo-Kante,225083,N'Golo Kanté,Not found,"March 29, 1991 (Age: 34-241d)","Paris, France",169,France,MF (CM-DM-WM),Right,2011-2012,20 years,Boulogne,2011,first scrap players fbref
https://fbref.com/en/players/59d93937/Patrick-Roberts,225452,Patrick Roberts,Not found,"February 5, 1997 (Age: 28-293d)","Kingston upon Thames, England, United Kingdom",167,England eng,"FW-MF (AM-WM, right)",Left,2013-2014,16 years,Fulham,2013,first scrap players fbref
https://fbref.com/en/players/f744b4df/Dominic-Gape,226964,Dominic Gape,Not found,"September 9, 1994 (Age: 31-077d)","Burton Bradstock, England, United Kingdom",180,Not found,MF (CM),Right,2014-2015,19 years,Southampton,2014,first scrap players fbref
https://fbref.com/en/players/430696d5/Lloyd-Isgrove,226965,Lloyd Isgrove,Not found,12-Jan-93,Not found,178,Wales wls  Other: England,"MF (WM, right)",Right,2013-2014,20 years,P'borough Utd,2013,first scrap players fbref
https://fbref.com/en/players/803ae100/Harrison-Reed,226973,Harrison Reed,Not found,"January 27, 1995 (Age: 30-302d)","Worthing, England, United Kingdom",176,England eng,MF (DM),Right,2013-2014,18 years,Southampton,2013,first scrap players fbref
https://fbref.com/en/players/44361ade/Sam-Gallagher,227183,Sam Gallagher,Not found,"September 15, 1995 (Age: 30-071d)","Crediton, England, United Kingdom",193,England eng  Other: Scotland,FW-MF,Right,2013-2014,17 years,Southampton,2013,first scrap players fbref
