player_name,season,squad,position,age,nation,minutes,rank,player_url_fbref,current age_fbref,dob_age_fbref,place_birth_fbref,height_fbref,citizenship_fbref,position_fbref,foot_fbref,current_club_fbref,debut_season_fbref,debut_age_fbref,first_club_fbref,debut_year_fbref,player_url_tra,slug,player_id_fbref,home_name_fbref,dob_age_tra,fecha americana,YEAR_tra,place_birth_tra,height_tra,citizenship_tra,position_tra,foot_tra,current_club_tra,joined_tra,contract_expires_tra,outfitter_tra,first_tier_debut_date,first_tier_debut_age,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_competition,debut_age_transfermarket,injury_count_total_tra,days_missed_total_tra,games_missed_total_tra,injury_seasons_tra,Deceased_tra,death_date,death_age,retired_tra,retirement_date_tra,year_retirement,career_lenght,career_lenght_w_actives_and_dead,shirt_number_tra,National_team,total_seasons_national,matches_national,minutes_national,goals_national,CAREER Sum of matches_played,CAREER Sum of minutes,CAREER Sum of goals
Mehdi Lacen,2013-2014,Getafe,MF,29,dz ALG,1264,267,https://fbref.com/en/players/a3a306f6/Mehdi-Lacen,2/10/1900,30756,NA,175cm,Algeria dz  Other: France,MF (DM),Left,NA,2005-2006,21,Alavés,2005,https://www.transfermarkt.com/mehdi-lacen/profil/spieler/35539,mehdi-lacen,35539,Mehdi Lacen,15/05/1984,30817,1984,Paris,"1,76",Algeria  France,Midfield - Defensive Midfield,left,Málaga CF,1/7/2019,-,NA,15/10/2005,21,LaLiga,37660,1/19/1900,Ligue 2,19,4,71,6,3,No,NA,NA,Yes,43472,2019,14,14,NA,Yes,7,20,1311,0,396,28579,8
Mehdi Lacen,2014-2015,Getafe,MF,30,dz ALG,2598,307,https://fbref.com/en/players/a3a306f6/Mehdi-Lacen,2/10/1900,30756,NA,175cm,Algeria dz  Other: France,MF (DM),Left,NA,2005-2006,21,Alavés,2005,https://www.transfermarkt.com/mehdi-lacen/profil/spieler/35539,mehdi-lacen,35539,Mehdi Lacen,15/05/1984,30817,1984,Paris,"1,76",Algeria  France,Midfield - Defensive Midfield,left,Málaga CF,1/7/2019,-,NA,15/10/2005,21,LaLiga,37660,1/19/1900,Ligue 2,19,4,71,6,3,No,NA,NA,Yes,43472,2019,14,14,NA,Yes,7,20,1311,0,396,28579,8
Mehmet Topal,2010-2011,Valencia,"DF,MF",24,tr TUR,1828,534,https://fbref.com/en/players/f93c876b/Mehmet-Topal,2/8/1900,31474,NA,187cm,Turkey,DF-MF (CB-CM-DM),Right,NA,2006-2007,20,Galatasaray,2006,https://www.transfermarkt.com/mehmet-topal/profil/spieler/44402,mehmet-topal,44402,Mehmet Topal,31474,31474,1986,Malatya,"1,87",Türkiye,Midfield - Defensive Midfield,right,Besiktas,19/07/2022,-,Nike,38969,20,Süper Lig,30/01/2005,1/18/1900,1.Lig,18,37,611,147,15,No,NA,NA,Yes,19/07/2022,2022,16,16,NA,Yes,13,58,4138,2,468,35013,28
Mehmet Topal,2011-2012,Valencia,"DF,MF",25,tr TUR,1287,530,https://fbref.com/en/players/f93c876b/Mehmet-Topal,2/8/1900,31474,NA,187cm,Turkey,DF-MF (CB-CM-DM),Right,NA,2006-2007,20,Galatasaray,2006,https://www.transfermarkt.com/mehmet-topal/profil/spieler/44402,mehmet-topal,44402,Mehmet Topal,31474,31474,1986,Malatya,"1,87",Türkiye,Midfield - Defensive Midfield,right,Besiktas,19/07/2022,-,Nike,38969,20,Süper Lig,30/01/2005,1/18/1900,1.Lig,18,37,611,147,15,No,NA,NA,Yes,19/07/2022,2022,16,16,NA,Yes,13,58,4138,2,468,35013,28
Mesut Özil,2010-2011,Real Madrid,MF,21,de GER,2523,409,https://fbref.com/en/players/16380240/Mesut-Ozil,2/5/1900,32431,NA,183cm,Germany,MF (AM-WM),Left,NA,2006-2007,17,Schalke 04,2006,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664,mesut-ozil,35664,Mesut Özil,15/10/1988,32431,1988,Gelsenkirchen,"1,80",Germany,Midfield - Attacking Midfield,left,Basaksehir,22/03/2023,-,Nike,39059,17,1.Bundesliga,No second tier career,NA,No second tier career,17,45,798,159,13,No,NA,NA,Yes,22/03/2023,2023,17,17,NA,Yes,15,75,6296,20,552,40964,88
Mesut Özil,2011-2012,Real Madrid,MF,22,de GER,2553,414,https://fbref.com/en/players/16380240/Mesut-Ozil,2/5/1900,32431,NA,183cm,Germany,MF (AM-WM),Left,NA,2006-2007,17,Schalke 04,2006,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664,mesut-ozil,35664,Mesut Özil,15/10/1988,32431,1988,Gelsenkirchen,"1,80",Germany,Midfield - Attacking Midfield,left,Basaksehir,22/03/2023,-,Nike,39059,17,1.Bundesliga,No second tier career,NA,No second tier career,17,45,798,159,13,No,NA,NA,Yes,22/03/2023,2023,17,17,NA,Yes,15,75,6296,20,552,40964,88
Mesut Özil,2012-2013,Real Madrid,MF,23,de GER,2035,407,https://fbref.com/en/players/16380240/Mesut-Ozil,2/5/1900,32431,NA,183cm,Germany,MF (AM-WM),Left,NA,2006-2007,17,Schalke 04,2006,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664,mesut-ozil,35664,Mesut Özil,15/10/1988,32431,1988,Gelsenkirchen,"1,80",Germany,Midfield - Attacking Midfield,left,Basaksehir,22/03/2023,-,Nike,39059,17,1.Bundesliga,No second tier career,NA,No second tier career,17,45,798,159,13,No,NA,NA,Yes,22/03/2023,2023,17,17,NA,Yes,15,75,6296,20,552,40964,88
Mesut Özil,2013-2014,Real Madrid,MF,24,de GER,132,377,https://fbref.com/en/players/16380240/Mesut-Ozil,2/5/1900,32431,NA,183cm,Germany,MF (AM-WM),Left,NA,2006-2007,17,Schalke 04,2006,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664,mesut-ozil,35664,Mesut Özil,15/10/1988,32431,1988,Gelsenkirchen,"1,80",Germany,Midfield - Attacking Midfield,left,Basaksehir,22/03/2023,-,Nike,39059,17,1.Bundesliga,No second tier career,NA,No second tier career,17,45,798,159,13,No,NA,NA,Yes,22/03/2023,2023,17,17,NA,Yes,15,75,6296,20,552,40964,88
Michael Essien,2012-2013,Real Madrid,"DF,MF",29,gh GHA,1691,173,https://fbref.com/en/players/d6577282/Michael-Essien,2/11/1900,30288,NA,177cm,Ghana,DF-MF,Right,NA,2000-2001,17,Bastia,2000,https://www.transfermarkt.com/michael-essien/profil/spieler/5588,michael-essien,5588,Michael Essien,30022,30288,1982,Accra,"1,78",Ghana  France,Midfield - Defensive Midfield,right,FK Sabail,44083,-,NA,30/09/2000,17,Ligue 1,No second tier career,NA,No second tier career,17,7,744,142,6,No,NA,NA,Yes,44083,2020,20,20,NA,Yes,5,9,616,0,433,33614,49
Michael Jakobsen,2010-2011,Almería,DF,24,dk DEN,1201,259,https://fbref.com/en/players/9135fc2e/Michael-Jakobsen,2/8/1900,31414,NA,185cm,Denmark,DF (CB-FB),NA,NA,2004-2005,18,Aalborg,2004,https://www.transfermarkt.com/michael-jakobsen/profil/spieler/8421,michael-jakobsen,8421,Michael Jakobsen,31444,31414,1986,København,"1,85",Denmark,Defender - Centre-Back,left,FK Beograd,28/10/2023,-,NA,28/03/2004,18,Eredivisie,27/08/2011,25,Segunda División,18,1,56,19,1,No,NA,NA,No,NA,NA,NA,21,NA,Yes,1,4,360,0,446,38794,21
Michael Krohn-Dehli,2012-2013,Celta Vigo,"FW,MF",29,dk DEN,2812,273,https://fbref.com/en/players/1c8dc17d/Michael-Krohn-Dehli,2/11/1900,30473,NA,170cm,Denmark,FW-MF (CM-WM),Right,NA,2004-2005,21,RKC Waalwijk,2004,https://www.transfermarkt.com/michael-krohn-dehli/profil/spieler/18006,michael-krohn-dehli,18006,Michael Krohn-Dehli,06/06/1983 (42),30473,1983,Hvidovre,"1,71",Denmark,Midfield - Central Midfield,both,Dep. La Coruña,30/06/2019,-,NA,15/08/2004,21,Eredivisie,17/08/2018,2/4/1900,Segunda División,21,6,448,81,3,No,NA,NA,Yes,30/06/2019,2019,15,15,NA,Yes,10,39,2820,4,384,28465,37
Michael Krohn-Dehli,2013-2014,Celta Vigo,"FW,MF",30,dk DEN,1949,265,https://fbref.com/en/players/1c8dc17d/Michael-Krohn-Dehli,2/11/1900,30473,NA,170cm,Denmark,FW-MF (CM-WM),Right,NA,2004-2005,21,RKC Waalwijk,2004,https://www.transfermarkt.com/michael-krohn-dehli/profil/spieler/18006,michael-krohn-dehli,18006,Michael Krohn-Dehli,06/06/1983 (42),30473,1983,Hvidovre,"1,71",Denmark,Midfield - Central Midfield,both,Dep. La Coruña,30/06/2019,-,NA,15/08/2004,21,Eredivisie,17/08/2018,35,Segunda División,21,6,448,81,3,No,NA,NA,Yes,30/06/2019,2019,15,15,NA,Yes,10,39,2820,4,384,28465,37
