player_name.x,transfermarkt_id.x,transfermarkt_url,fbref_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age.1,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age.1,second_tier_debut_competition,debut_age_transfermarket,explanation.x,player_name.y,status,transfermarkt_id.y,player_slug,home_name,dob_age.x,place_birth.x,height.x,citizenship.x,position.x,foot.x,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation.y,transfermarkt_id,player_name.x.x,name_home_country,dob_age.y,place_birth.y,height.y,citizenship.y,position.y,foot.y,debut_season,debut_age,first_club,debut_year,explanation,player_name.y.y,matches_national,minutes_national,goals_national,seasons_national,total_matches_club,total_minutes_club,total_goals_club,seasons_club,clubs_club,player_name,deceased,death_date,death_age,total_matches_total,total_minutes_total,total_goals_total,position_clean,position_simple,dob,age_current,retirement_date_clean,retirement_age,career_length
Yann M'Vila,60573,https://www.transfermarkt.com/yann-mvila/profil/spieler/60573,https://fbref.com/en/players/d4133fa1/Yann-MVila,16/08/2009,19 years 01 month 18 days,19,Ligue 1,16/03/2024,33,33,,19,first scrap players,Yann M'Vila,Success,60573,spieler,Yann M'Vila,29/06/1990,Amiens,"1,83",France  Congo,Midfield - Defensive Midfield,right,Not found,SM Caen,45451,30/06/2026,Not found,19,341,61,No,Not found,6,9,first scrap players transfer,60573,Yann M'Vila,Not found,"June 29, 1990 (Age: 35-149d)","Amiens, France",182,France,MF (CM-DM),Right,2009-2010,19 years,Dijon,2009,first scrap players fbref,Yann M'Vila,11,903,1,1,501,40992,13,16,9,Yann M'Vila,No,Not found,NA,512,41895,14,Midfield - Defensive Midfield,Midfield,33053,35,NA,NA,16
Shaun MacDonald,10375,https://www.transfermarkt.com/shaun-macdonald/profil/spieler/10375,https://fbref.com/en/players/fdcff59c/Shaun-MacDonald,17/10/2015,27 years 04 months 00 days,27,Premier League,20/09/2008,20,20,Championship,20,first scrap players,Shaun MacDonald,Success,10375,spieler,Shaun MacDonald,17/06/1988,Swansea,"1,83",Wales,Midfield - Central Midfield,right,Not found,Trefelin BGC,45633,31/05/2025,Not found,1,5,1,No,Not found,Not found,1,first scrap players transfer,10375,Shaun MacDonald,Not found,32311,Not found,185,Wales wls,MF,Right,2005-2006,17 years,Swansea City,2005,players corrected fbref,Shaun MacDonald,4,39,0,5,264,17368,13,17,7,Shaun MacDonald,No,Not found,NA,268,17407,13,Midfield - Central Midfield,Midfield,32311,37,NA,NA,17
José Manuel Jurado,28261,https://www.transfermarkt.com/jos-manuel-jurado/profil/spieler/28261,https://fbref.com/en/players/71d4e271/Jose-Manuel-Jurado,29/10/2005,19 years 04 months 00 days,19,LaLiga,27/08/2005,19,19,Segunda División,19,first scrap players,José Manuel Jurado,Success,28261,spieler,José Manuel Jurado,29/06/1986,Sanlúcar de Barrameda (Cádiz),N/A,Spain,Midfield - Attacking Midfield,N/A,Not found,Cádiz CF,43840,-,Not found,12,364,67,Yes,43840,Not found,6,first scrap players transfer,28261,José Manuel Jurado,Not found,31592,Not found,176,Spain,MF (AM),Right,2005-2006,19 years,Real Madrid,2005,first scrap players fbref,NA,NA,NA,NA,NA,442,29540,50,15,10,José Manuel Jurado,No,Not found,NA,442,29540,50,Midfield - Attacking Midfield,Attack,31592,39,44105,34,15
Anthony Martial,182877,https://www.transfermarkt.com/anthony-martial/profil/spieler/182877,https://fbref.com/en/players/8b788c01/Anthony-Martial,41335,17 years 01 month 29 days,17,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players,Anthony Martial,Success,182877,spieler,Anthony Martial,34831,Massy,"1,81",France  Guadeloupe,Attack - Centre-Forward,right,Not found,Monterrey,46000,30/06/2027,Nike,26,629,120,No,Not found,9,11,first scrap players transfer,182877,Anthony Martial,Not found,"December 5, 1995 (Age: 29-355d)","Massy, France",184,France,FW-MF (AM),Right,2012-2013,16 years,Lyon,2012,first scrap players fbref,Anthony Martial,30,1343,2,7,419,25166,111,14,6,Anthony Martial,No,Not found,NA,449,26509,113,Attack - Centre-Forward,Attack,35038,30,NA,NA,13
Cuco Martina,91251,https://www.transfermarkt.com/cuco-martina/profil/spieler/91251,https://fbref.com/en/players/22551915/Cuco-Martina,19/08/2011,21 years 10 months 25 days,21,VriendenLoterij Eredivisie,24/10/2008,19,19,Keuken Kampioen Divisie,19,first scrap players,Cuco Martina,Success,91251,spieler,Cuco Martina,25/09/1989,Rotterdam,"1,85",Curacao  Netherlands,Defender - Centre-Back,right,Not found,Victory Boys,45905,-,Not found,5,126,14,No,Not found,2,4,first scrap players transfer,91251,Cuco Martina,Not found,"September 25, 1989 (Age: 36-061d)","Rotterdam, Netherlands",185,Curaçao cw  Other: Netherlands,DF-MF (CB-FB),Right,2008-2009,18 years,RBC Roosendaal,2008,first scrap players fbref,Cuco Martina,37,3172,0,9,341,28674,9,15,10,Cuco Martina,No,Not found,NA,378,31846,9,Defender - Centre-Back,Defender,32776,36,NA,NA,17
Adam Matthews,108878,https://www.transfermarkt.com/adam-matthews/profil/spieler/108878,https://fbref.com/en/players/d8bffa70/Adam-Matthews,40702,19 years 06 months 24 days,19,Scottish Premiership,15/08/2009,17,17,Championship,17,first scrap players,Adam Matthews,Success,108878,spieler,Adam Matthews,13/01/1992,Swansea,"1,78",Wales,Defender - Right-Back,right,Not found,Shamrock Rovers,28/01/2025,-,Not found,13,476,70,No,Not found,3,6,first scrap players transfer,108878,Adam Matthews,Not found,"January 13, 1992 (Age: 33-316d)","Swansea, Wales, United Kingdom",178,Wales wls,"DF-MF (FB, right)",Right,2009-2010,17 years,Cardiff City,2009,first scrap players fbref,Adam Matthews,6,377,0,4,357,26650,8,17,7,Adam Matthews,No,Not found,NA,363,27027,8,Defender - Right-Back,Defender,33616,33,NA,NA,16
Kevin Mbabu,183321,https://www.transfermarkt.com/kevin-mbabu/profil/spieler/183321,https://fbref.com/en/players/493924a7/Kevin-Mbabu,26/09/2012,17 years 05 months 07 days,17,Super League,No second tier career,No second tier career,No second tier career,No second tier career,17,first scrap players,Kevin Mbabu,Success,183321,spieler,Kevin Mbabu,19/04/1995,Chêne-Bougeries,"1,84",Switzerland  DR Congo,Defender - Right-Back,right,Not found,Midtjylland,30/08/2024,30/06/2026,Not found,16,459,75,No,Not found,43,7,first scrap players transfer,183321,Kevin Mbabu,Not found,"April 19, 1995 (Age: 30-220d)","Chêne-Bougeries, Switzerland",184,Switzerland,"DF-MF (FB, right)",Right,2012-2013,17 years,Servette,2012,first scrap players fbref,Kevin Mbabu,25,1546,0,8,276,20348,8,12,8,Kevin Mbabu,No,Not found,NA,301,21894,8,Defender - Right-Back,Defender,34808,30,NA,NA,13
Chancel Mbemba,203348,https://www.transfermarkt.com/chancel-mbemba/profil/spieler/203348,https://fbref.com/en/players/e76cb9cc/Chancel-Mbemba,28/07/2013,18 years 11 months 20 days,18,Jupiler Pro League,13/08/2016,22,22,Championship,18,first scrap players,Chancel Mbemba,Success,203348,spieler,Chancel Mbemba,34554,Kinshasa,"1,82",DR Congo,Defender - Centre-Back,right,Not found,Lille,45666,30/06/2026,Puma,9,174,32,No,Not found,18,6,first scrap players transfer,203348,Chancel Mbemba,Not found,"August 8, 1994 (Age: 31-109d)","Kinshasa, Congo DR",182,Congo DR,"DF (CB, right)",Right,2013-2014,18 years,Anderlecht,2013,first scrap players fbref,Chancel Mbemba,87,7659,6,12,338,28397,28,12,5,Chancel Mbemba,No,Not found,NA,425,36056,34,Defender - Centre-Back,Defender,34554,31,NA,NA,13
Dieumerci Mbokani,44624,https://www.transfermarkt.com/dieumerci-mbokani/profil/spieler/44624,https://fbref.com/en/players/d9847696/Dieumerci-Mbokani,22/09/2006,20 years 10 months 00 days,20,Jupiler Pro League,14/10/2022,36,36,Challenger Pro League,20,first scrap players,Dieumerci Mbokani,Success,44624,spieler,Dieumerci Mbokani,22/11/1985,Kinshasa,"1,85",DR Congo,Attack - Centre-Forward,right,Not found,FC Noah,45664,-,Not found,9,432,62,Yes,45664,Not found,6,first scrap players transfer,44624,Dieumerci Mbokani,Not found,31373,Not found,185,Congo DR,FW,Right,2006-2007,20 years,Anderlecht,2006,first scrap players fbref,Dieumerci Mbokani,30,2230,13,6,416,31523,175,16,9,Dieumerci Mbokani,No,Not found,NA,446,33753,188,Attack - Centre-Forward,Attack,31373,40,45839,39,19
Memphis,167850,https://www.transfermarkt.com/memphis/profil/spieler/167850,https://fbref.com/en/players/8f696594/Memphis,26/02/2012,18 years 13 days,18,VriendenLoterij Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players,Memphis,Success,167850,spieler,Memphis Depay,13/02/1994,Moordrecht,"1,78",Netherlands  Ghana,Attack - Centre-Forward,right,Not found,Corinthians,45544,31/12/2026,Puma,24,783,130,No,Not found,10,9,first scrap players transfer,167850,Memphis,Not found,"February 13, 1994 (Age: 31-296d)","Moordrecht, Netherlands",176,Netherlands,FW-MF (AM-WM),Right,2011-2012,17 years,PSV Eindhoven,2011,players corrected fbref,Memphis,105,7921,55,14,457,29776,165,15,6,Memphis,No,Not found,NA,562,37697,220,Attack - Centre-Forward,Attack,34378,31,NA,NA,13
