player_name.x,transfermarkt_id.x,transfermarkt_url,fbref_url,first_tier_debut_date,first_tier_debut_age,first_tier_debut_age.1,first_tier_debut_competition,second_tier_debut_date,second_tier_debut_age,second_tier_debut_age.1,second_tier_debut_competition,debut_age_transfermarket,explanation.x,player_name.y,status,transfermarkt_id.y,player_slug,home_name,dob_age.x,place_birth.x,height.x,citizenship.x,position.x,foot.x,agent,current_club,joined,contract_expires,outfitter,injury_count_total,days_missed_total,games_missed_total,retired,retirement_date,shirt_number,injury_seasons,explanation.y,transfermarkt_id,player_name.x.x,name_home_country,dob_age.y,place_birth.y,height.y,citizenship.y,position.y,foot.y,debut_season,debut_age,first_club,debut_year,explanation,player_name.y.y,matches_national,minutes_national,goals_national,seasons_national,total_matches_club,total_minutes_club,total_goals_club,seasons_club,clubs_club,player_name,deceased,death_date,death_age,total_matches_total,total_minutes_total,total_goals_total,position_clean,position_simple,dob,age_current,retirement_date_clean,retirement_age,career_length
Eric Lichaj,61575,https://www.transfermarkt.com/eric-lichaj/profil/spieler/61575,https://fbref.com/en/players/7636a420/Eric-Lichaj,40462,21 years 11 months 24 days,21,Premier League,40879,22,22,Championship,21,first scrap players,Eric Lichaj,Success,61575,spieler,Eric Lichaj,17/11/1988,"Downers Grove, Illinois","1,80",United States  Poland,Defender - Right-Back,right,Not found,Karagümrük,44203,-,Not found,1,36,5,Yes,44203,Not found,1,first scrap players transfer,61575,Eric Lichaj,Not found,32464,Not found,180,United States,"DF (FB, right)",Right,2009-2010,20 years,Leyton Orient,2009,first scrap players fbref,Eric Lichaj,6,394,1,3,331,27377,8,12,7,Eric Lichaj,No,Not found,NA,337,27771,9,Defender - Right-Back,Defender,32464,37,44378,32,11
Amine Linganzi,88596,https://www.transfermarkt.com/amine-linganzi/profil/spieler/88596,https://fbref.com/en/players/e465378c/Amine-Linganzi,28/09/2008,18 years 10 months 12 days,18,Ligue 1,15/01/2011,21,21,Championship,18,first scrap players,Amine Linganzi,Success,88596,spieler,Amine Linganzi,16/11/1989,Algier,"1,86",Congo  France,Midfield - Central Midfield,right,Not found,Salford,43472,-,Not found,0,0,0,Yes,43472,Not found,0,first scrap players transfer,88596,Amine Linganzi,Not found,32828,Not found,186,Congo cg  Other: Algeria,MF (DM),Right,2008-2009,18 years,Saint-Étienne,2008,first scrap players fbref,NA,NA,NA,NA,NA,98,6068,6,9,8,Amine Linganzi,No,Not found,NA,98,6068,6,Midfield - Central Midfield,Midfield,32828,36,43647,29,11
Jason Lowe,117997,https://www.transfermarkt.com/jason-lowe/profil/spieler/117997,https://fbref.com/en/players/e000b843/Jason-Lowe,15/01/2011,19 years 04 months 13 days,19,Premier League,18/08/2012,20,20,Championship,19,first scrap players,Jason Lowe,Success,117997,spieler,Jason Lowe,33278,Wigan,"1,83",England,Midfield - Defensive Midfield,right,Not found,Tranmere,45664,30/06/2026,Not found,1,182,33,No,Not found,16,1,first scrap players transfer,117997,Jason Lowe,Not found,"September 2, 1991 (Age: 34-084d)","Wigan, England, United Kingdom",183,England eng,DF-MF (CM-DM-FB-WM),Left,2010-2011,18 years,Oldham Athletic,2010,first scrap players fbref,NA,NA,NA,NA,NA,449,36290,5,16,7,Jason Lowe,No,Not found,NA,449,36290,5,Midfield - Defensive Midfield,Midfield,33483,34,NA,NA,15
Kazenga LuaLua,52576,https://www.transfermarkt.com/kazenga-lualua/profil/spieler/52576,https://fbref.com/en/players/d732d28a/Kazenga-LuaLua,19/01/2008,17 years 01 month 09 days,17,Premier League,39907,18,18,Championship,17,first scrap players,Kazenga LuaLua,Success,52576,spieler,Kazenga LuaLua,33158,Kinshasa,"1,80",DR Congo  England,Attack - Left Winger,right,Not found,Without Club,28/01/2025,-,Not found,3,254,31,No,Not found,Not found,3,first scrap players transfer,52576,Kazenga LuaLua,Not found,"December 10, 1990 (Age: 34-350d)","Kinshasa, Congo DR",180,Not found,"FW-MF (WM, left)",Right,2007-2008,16 years,Newcastle Utd,2007,first scrap players fbref,NA,NA,NA,NA,NA,316,13655,28,17,9,Kazenga LuaLua,No,Not found,NA,316,13655,28,Attack - Left Winger,Attack,33217,35,NA,NA,18
David Luiz,46741,https://www.transfermarkt.com/david-luiz/profil/spieler/46741,https://fbref.com/en/players/c0e27d1a/David-Luiz,39419,19 years 10 months 18 days,19,Liga Portugal,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players,David Luiz,Success,46741,spieler,David Luiz,22/04/1987,Diadema,"1,89",Brazil,Defender - Centre-Back,right,Not found,Pafos,45724,31/05/2027,adidas,30,703,134,No,Not found,4,11,first scrap players transfer,46741,David Luiz,Not found,"April 22, 1987 (Age: 38-217d)","Diadema, Brazil",189,Brazil,DF-MF (CB-DM),Right,2006-2007,19 years,Benfica,2006,first scrap players fbref,David Luiz,26,2134,3,5,590,48854,39,21,7,David Luiz,No,Not found,NA,616,50988,42,Defender - Centre-Back,Defender,31889,38,NA,NA,19
Craig Lynch,121334,https://www.transfermarkt.com/craig-lynch/profil/spieler/121334,https://fbref.com/en/players/243a84ca/Craig-Lynch,NA,NA,NA,NA,No second tier career,No second tier career,No second tier career,No second tier career,NA,first scrap players,Craig Lynch,Success,121334,spieler,Craig Lynch,25/03/1992,Durham,"1,83",England,Attack - Left Winger,Not found,Not found,Blyth Spartans,42011,-,Not found,0,0,0,Yes,42011,Not found,0,first scrap players transfer,121334,Craig Lynch,Not found,33688,Not found,183,Not found,FW-MF,Not found,2010-2011,18 years,Sunderland,2010,first scrap players fbref,NA,NA,NA,NA,NA,9,287,1,3,3,Craig Lynch,No,Not found,NA,9,287,1,Attack - Left Winger,Attack,33688,33,42186,23,NA
Peter Løvenkrands,9620,https://www.transfermarkt.com/peter-lvenkrands/profil/spieler/9620,https://fbref.com/en/players/609f6984/Peter-Lovenkrands,19/08/2000,20 years 06 months 21 days,20,Scottish Premiership,13/09/2009,29,29,Championship,20,first scrap players,Peter Løvenkrands,Success,9620,spieler,Peter Løvenkrands,29/01/1980,Hørsholm,"1,79",Denmark,Attack - Centre-Forward,left,Not found,Birmingham,41646,-,Not found,2,25,5,Yes,41646,Not found,1,first scrap players transfer,9620,Peter Løvenkrands,Not found,29249,Not found,180,Denmark,FW-MF (WM),Not found,2000-2001,20 years,Rangers,2000,first scrap players fbref,Peter Løvenkrands,8,186,0,6,320,18040,76,14,4,Peter Løvenkrands,No,Not found,NA,328,18226,76,Attack - Centre-Forward,Attack,29249,45,41821,34,14
Federico Macheda,61887,https://www.transfermarkt.com/federico-macheda/profil/spieler/61887,https://fbref.com/en/players/e14daddc/Federico-Macheda,39937,17 years 07 months 14 days,17,Premier League,17/09/2013,22,22,Championship,17,first scrap players,Federico Macheda,Success,61887,spieler,Federico Macheda,22/08/1991,Roma,"1,85",Italy,Attack - Centre-Forward,right,Not found,Asteras Aktor,30/09/2024,30/06/2026,Not found,9,134,25,No,Not found,41,6,first scrap players transfer,61887,Federico Macheda,Not found,"August 22, 1991 (Age: 34-095d)","Rome, Italy",184,Italy,FW,Right,2008-2009,16 years,Manchester Utd,2008,first scrap players fbref,NA,NA,NA,NA,NA,353,19033,84,18,12,Federico Macheda,No,Not found,NA,353,19033,84,Attack - Centre-Forward,Attack,33472,34,NA,NA,17
Jean Makoun,5648,https://www.transfermarkt.com/jean-makoun/profil/spieler/5648,https://fbref.com/en/players/728c9139/Jean-Makoun,37298,19 years 05 months 04 days,19,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players,Jean Makoun,Success,5648,spieler,Jean Makoun,29/05/1983,Yaoundé,"1,73",Cameroon  France,Midfield - Defensive Midfield,right,Not found,Merit AYSK,43472,-,Not found,2,46,12,Yes,43472,Not found,2,first scrap players transfer,5648,Jean Makoun,Not found,30465,Not found,173,Cameroon,MF (DM),Right,2002-2003,19 years,Lille,2002,first scrap players fbref,Jean Makoun,14,859,2,2,411,32128,30,15,6,Jean Makoun,No,Not found,NA,425,32987,32,Midfield - Defensive Midfield,Midfield,30465,42,43647,36,17
Steed Malbranque,3569,https://www.transfermarkt.com/steed-malbranque/profil/spieler/3569,https://fbref.com/en/players/e3df61bc/Steed-Malbranque,21/02/1998,18 years 01 month 15 days,18,Ligue 1,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players,Steed Malbranque,Success,3569,spieler,Steed Malbranque,29373,Mouscron,"1,71",France  Belgium,Midfield - Central Midfield,right,Not found,FC Limonest,44203,-,Not found,3,25,5,Yes,44203,Not found,3,first scrap players transfer,3569,Steed Malbranque,Not found,29226,Not found,168,France fr  Other: Belgium,MF (AM-CM-WM),Right,1997-1998,17 years,Lyon,1997,first scrap players fbref,NA,NA,NA,NA,NA,580,39496,58,21,7,Steed Malbranque,No,Not found,NA,580,39496,58,Midfield - Central Midfield,Midfield,29226,45,44378,41,23
Florent Malouda,5461,https://www.transfermarkt.com/florent-malouda/profil/spieler/5461,https://fbref.com/en/players/6fe6d820/Florent-Malouda,19/12/1997,17 years 06 months 06 days,17,Ligue 1,35647,16,16,Ligue 2,16,first scrap players,Florent Malouda,Success,5461,spieler,Florent Malouda,13/06/1980,Cayenne,"1,77",France  French Guiana,Attack - Left Winger,left,Not found,Differdange 03,43107,-,Not found,8,177,45,Yes,43107,Not found,4,first scrap players transfer,5461,Florent Malouda,Not found,29385,Not found,180,France fr  Other: French Guiana,"FW-MF (AM-WM, left)",Left,1997-1998,17 years,Châteauroux,1997,first scrap players fbref,Florent Malouda,45,3219,5,5,546,40537,95,17,7,Florent Malouda,No,Not found,NA,591,43756,100,Attack - Left Winger,Attack,29385,45,43282,38,22
Michael Mancienne,38100,https://www.transfermarkt.com/michael-mancienne/profil/spieler/38100,https://fbref.com/en/players/2db3ae0a/Michael-Mancienne,28/02/2009,21 years 01 month 20 days,21,Premier League,21/10/2006,18,18,Championship,18,first scrap players,Michael Mancienne,Success,38100,spieler,Michael Mancienne,32356,London,"1,84",Seychelles  England,Defender - Centre-Back,right,Not found,Burton Albion,44933,-,Not found,8,461,111,Yes,44933,Not found,6,first scrap players transfer,38100,Michael Mancienne,Not found,32150,Not found,184,Seychelles sc  Other: England,DF-MF (CB-FB),Right,2006-2007,18 years,QPR,2006,first scrap players fbref,NA,NA,NA,NA,NA,375,29378,1,18,7,Michael Mancienne,No,Not found,NA,375,29378,1,Defender - Centre-Back,Defender,32150,37,45108,35,17
Obafemi Martins,5794,https://www.transfermarkt.com/obafemi-martins/profil/spieler/5794,https://fbref.com/en/players/70849fc2/Obafemi-Martins,22/12/2002,18 years 01 month 24 days,18,Serie A,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players,Obafemi Martins,Success,5794,spieler,Obafemi Martins,28/10/1984,Lagos,N/A,Nigeria  Italy,Attack - Centre-Forward,N/A,Not found,WH FC,44197,-,Nike,13,1317,57,Yes,44197,Not found,7,first scrap players transfer,5794,Obafemi Martins,Not found,30983,Not found,170,Nigeria,FW,Both,2002-2003,17 years,Inter,2002,first scrap players fbref,Obafemi Martins,9,358,1,3,414,27918,153,19,9,Obafemi Martins,No,Not found,NA,423,28276,154,Attack - Centre-Forward,Attack,30983,41,44197,36,18
Javier Mascherano,19981,https://www.transfermarkt.com/javier-mascherano/profil/spieler/19981,https://fbref.com/en/players/5070881b/Javier-Mascherano,37688,19 years 01 month 26 days,19,Torneo Inicial,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players,Javier Mascherano,Success,19981,spieler,Javier Mascherano,30900,San Lorenzo,"1,74",Argentina  Italy,Midfield - Defensive Midfield,right,Not found,Estudiantes LP,16/11/2020,-,Nike,13,431,75,Yes,16/11/2020,Not found,7,first scrap players transfer,19981,Javier Mascherano,Not found,30841,Not found,174,Argentina,DF-MF (CB-DM),Right,2006-2007,22 years,West Ham,2006,first scrap players fbref,Javier Mascherano,59,5309,1,7,497,40851,3,16,5,Javier Mascherano,No,Not found,NA,556,46160,4,Midfield - Defensive Midfield,Midfield,30841,41,44151,36,17
James McArthur,41416,https://www.transfermarkt.com/james-mcarthur/profil/spieler/41416,https://fbref.com/en/players/cee31595/James-McArthur,39760,20 years 10 months 04 days,20,Scottish Premiership,20/08/2005,17,17,Scottish Championship,17,first scrap players,James McArthur,Success,41416,spieler,James McArthur,31968,Glasgow,"1,78",Scotland,Midfield - Central Midfield,both,Not found,Crystal Palace,45115,-,Not found,6,246,36,Yes,45115,Not found,5,first scrap players transfer,41416,James McArthur,Not found,32057,Not found,178,Scotland sct,MF (CM-WM),Right,2007-2008,19 years,Hamilton Acad.,2007,first scrap players fbref,James McArthur,23,1195,3,4,493,37373,37,16,3,James McArthur,No,Not found,NA,516,38568,40,Midfield - Central Midfield,Midfield,32057,38,45145,35,18
Benni McCarthy,3091,https://www.transfermarkt.com/benni-mccarthy/profil/spieler/3091,https://fbref.com/en/players/a6f401c6/Benni-McCarthy,19/08/1997,19 years 09 months 07 days,19,Eredivisie,No second tier career,No second tier career,No second tier career,No second tier career,19,first scrap players,Benni McCarthy,Success,3091,spieler,Benni McCarthy,28470,"Cape Town, Western Cape","1,84",South Africa,Attack - Centre-Forward,right,Not found,Orlando Pirates,41281,-,Not found,2,84,17,Yes,41281,Not found,2,first scrap players transfer,3091,Benni McCarthy,Not found,28441,Not found,183,South Africa,FW,Not found,1999-2000,21 years,Celta Vigo,1999,first scrap players fbref,Benni McCarthy,6,469,2,2,339,20539,116,14,5,Benni McCarthy,No,Not found,NA,345,21008,118,Attack - Centre-Forward,Attack,28441,48,41456,35,16
James McCarthy,45333,https://www.transfermarkt.com/james-mccarthy/profil/spieler/45333,https://fbref.com/en/players/64b08de7/James-McCarthy,39760,17 years 08 months 30 days,17,Scottish Premiership,30/09/2006,15,15,Scottish Championship,15,first scrap players,James McCarthy,Success,45333,spieler,James McCarthy,33218,Glasgow,"1,80",Ireland  Scotland,Midfield - Central Midfield,right,Not found,Without Club,45299,-,Not found,10,827,145,No,Not found,Not found,5,first scrap players transfer,45333,James McCarthy,Not found,33189,Not found,180,Republic of Ireland ie  Other: Scotland,MF,Right,2007-2008,16 years,Hamilton Acad.,2007,first scrap players fbref,James McCarthy,31,2416,0,7,393,29438,27,16,5,James McCarthy,No,Not found,NA,424,31854,27,Midfield - Central Midfield,Midfield,33189,35,NA,NA,20
Josh McEachran,128905,https://www.transfermarkt.com/josh-mceachran/profil/spieler/128905,https://fbref.com/en/players/48565585/Josh-McEachran,25/09/2010,17 years 06 months 27 days,17,Premier League,21/08/2012,19,19,Championship,17,first scrap players,Josh McEachran,Success,128905,spieler,Josh McEachran,33972,Oxford,"1,78",England  Scotland,Midfield - Central Midfield,left,Not found,Bristol Rovers,45664,30/06/2027,Not found,5,687,72,No,Not found,20,4,first scrap players transfer,128905,Josh McEachran,Not found,"March 1, 1993 (Age: 32-269d)","Oxford, England, United Kingdom",178,England eng,MF (CM-DM),Left,2010-2011,17 years,Chelsea,2010,first scrap players fbref,NA,NA,NA,NA,NA,351,19856,2,16,11,Josh McEachran,No,Not found,NA,351,19856,2,Midfield - Central Midfield,Midfield,34029,32,NA,NA,15
James McFadden,9956,https://www.transfermarkt.com/james-mcfadden/profil/spieler/9956,https://fbref.com/en/players/2cfdae75/James-McFadden,26/12/2000,17 years 08 months 12 days,17,Scottish Premiership,39699,25,25,Championship,17,first scrap players,James McFadden,Success,9956,spieler,James McFadden,14/04/1983,Glasgow,"1,78",Scotland,Attack - Second Striker,left,Not found,Queen o. t. S.,43101,-,Not found,7,427,70,Yes,43101,Not found,6,first scrap players transfer,9956,James McFadden,Not found,30420,Not found,178,Scotland sct,FW-MF (AM),Left,2000-2001,17 years,Motherwell,2000,first scrap players fbref,James McFadden,22,1370,8,4,348,20812,63,18,6,James McFadden,No,Not found,NA,370,22182,71,Attack - Second Striker,Attack,30420,42,43101,34,17
Ryan McGivern,61632,https://www.transfermarkt.com/ryan-mcgivern/profil/spieler/61632,https://fbref.com/en/players/4c2e7e85/Ryan-McGivern,40606,21 years 02 months 26 days,21,Premier League,20/10/2009,19,19,Championship,19,first scrap players,Ryan McGivern,Success,61632,spieler,Ryan McGivern,33086,Newry,"1,88",Northern Ireland,Defender - Centre-Back,left,Not found,Newry City,45664,-,Not found,3,69,13,Yes,45664,Not found,2,first scrap players transfer,61632,Ryan McGivern,Not found,32881,Not found,188,Northern Ireland nir,DF,Right,2008-2009,18 years,Morecambe,2008,first scrap players fbref,Ryan McGivern,11,711,0,5,209,16992,2,10,11,Ryan McGivern,No,Not found,NA,220,17703,2,Defender - Centre-Back,Defender,32881,35,45839,35,16
Callum McManaman,61711,https://www.transfermarkt.com/callum-mcmanaman/profil/spieler/61711,https://fbref.com/en/players/1a5dbcc2/Callum-McManaman,24/05/2009,18 years 29 days,18,Premier League,18/10/2011,20,20,Championship,18,first scrap players,Callum McManaman,Success,61711,spieler,Callum McManaman,25/04/1991,Huyton,"1,74",England  Ireland,Attack - Right Winger,right,Not found,Wigan,44933,30/06/2026,Not found,5,151,25,No,Not found,20,4,first scrap players transfer,61711,Callum McManaman,Not found,"April 25, 1991 (Age: 34-214d)","Whiston, England, United Kingdom",174,England eng,"FW-MF (AM-WM, right)",Right,2008-2009,17 years,Wigan Athletic,2008,first scrap players fbref,NA,NA,NA,NA,NA,341,14526,28,16,8,Callum McManaman,No,Not found,NA,341,14526,28,Attack - Right Winger,Attack,33353,34,NA,NA,16
Raul Meireles,13168,https://www.transfermarkt.com/raul-meireles/profil/spieler/13168,https://fbref.com/en/players/e767cd27/Raul-Meireles,17/08/2003,20 years 05 months 00 days,20,Liga Portugal,37956,19,19,,19,first scrap players,Raul Meireles,Success,13168,spieler,Raúl Meireles,17/03/1983,Porto,"1,79",Portugal,Midfield - Central Midfield,both,Not found,Fenerbahçe,42376,-,Nike,16,358,123,Yes,42376,Not found,6,first scrap players transfer,13168,Raul Meireles,Not found,30392,Not found,180,Portugal,MF,Left,2003-2004,20 years,Boavista,2003,first scrap players fbref,Raul Meireles,51,3897,6,5,372,26788,32,13,5,Raul Meireles,No,Not found,NA,423,30685,38,Midfield - Central Midfield,Midfield,30392,42,42552,33,14
Abdoulaye Méïté,5315,https://www.transfermarkt.com/abdoulaye-mt/profil/spieler/5315,https://fbref.com/en/players/2b548af1/Abdoulaye-Meite,26/01/2001,20 years 03 months 20 days,20,Ligue 1,36165,18,18,Ligue 2,18,first scrap players,Abdoulaye Méïté,Success,5315,spieler,Abdoulaye Méïté,29382,Paris,"1,85",Cote d'Ivoire  France,Defender - Centre-Back,right,Not found,Lusitanos,43107,-,Not found,2,108,20,Yes,43107,Not found,1,first scrap players transfer,5315,Abdoulaye Méïté,Not found,29500,Not found,185,Côte d'Ivoire ci  Other: France,DF (CB),Right,2000-2001,19 years,Marseille,2000,first scrap players fbref,Abdoulaye Méïté,2,180,0,2,351,29677,6,17,10,Abdoulaye Méïté,No,Not found,NA,353,29857,6,Defender - Centre-Back,Defender,29500,45,43282,37,19
John Mensah,5917,https://www.transfermarkt.com/john-mensah/profil/spieler/5917,https://fbref.com/en/players/142ed694/John-Mensah,37417,19 years 10 months 07 days,19,Serie A,36654,17,17,Brack.ch Challenge League,17,first scrap players,John Mensah,Success,5917,spieler,John Mensah,29/11/1982,Obuasi,"1,80",Ghana,Defender - Centre-Back,right,Not found,AFC United,42736,-,Not found,7,356,46,Yes,42736,Not found,3,first scrap players transfer,5917,John Mensah,Not found,30284,Not found,177,Ghana,DF (CB),Right,2001-2002,18 years,Genoa,2001,first scrap players fbref,John Mensah,11,968,2,3,184,14607,6,12,7,John Mensah,No,Not found,NA,195,15575,8,Defender - Centre-Back,Defender,30284,43,42736,34,17
David Meyler,68183,https://www.transfermarkt.com/david-meyler/profil/spieler/68183,https://fbref.com/en/players/8ea6417a/David-Meyler,20/06/2008,19 years 22 days,19,League of Ireland Premier Division,41193,23,23,Championship,19,first scrap players,David Meyler,Success,68183,spieler,David Meyler,29/05/1989,Cork,"1,89",Ireland,Midfield - Central Midfield,right,Not found,Reading,30/08/2019,-,adidas,2,140,30,Yes,30/08/2019,Not found,2,first scrap players transfer,68183,David Meyler,Not found,32657,Not found,189,Republic of Ireland,MF,Right,2009-2010,20 years,Sunderland,2009,first scrap players fbref,David Meyler,23,1294,0,6,210,13489,17,10,4,David Meyler,No,Not found,NA,233,14783,17,Midfield - Central Midfield,Midfield,32657,36,43707,30,11
Simon Mignolet,50219,https://www.transfermarkt.com/simon-mignolet/profil/spieler/50219,https://fbref.com/en/players/d436eb94/Simon-Mignolet,39207,19 years 01 month 29 days,19,Jupiler Pro League,13/08/2008,20,20,Challenger Pro League,19,first scrap players,Simon Mignolet,Success,50219,spieler,Simon Mignolet,32297,Sint-Truiden,"1,93",Belgium,Goalkeeper,right,Not found,Club Brugge,43593,30/06/2026,Nike,8,260,46,No,Not found,22,6,first scrap players transfer,50219,Simon Mignolet,Not found,"March 6, 1988 (Age: 37-264d)","Sint-Truiden, Belgium",193,Belgium,GK,Right,2006-2007,18 years,Sint-Truiden,2006,first scrap players fbref,Simon Mignolet,27,2360,0,12,532,47875,0,19,4,Simon Mignolet,No,Not found,NA,559,50235,0,Goalkeeper,Goalkeeper,32208,37,NA,NA,18
Nenad Milijaš,36123,https://www.transfermarkt.com/nenad-milija/profil/spieler/36123,https://fbref.com/en/players/10206347/Nenad-Milijas,38179,21 years 06 months 08 days,21,Linglong Tire Super liga Srbije,14/03/2015,31,31,China League One,21,first scrap players,Nenad Milijaš,Success,36123,spieler,Nenad Milijas,30/04/1983,Belgrade,"1,88",Serbia,Midfield - Central Midfield,left,Not found,Red Star,43472,-,Puma,0,0,0,Yes,43472,Not found,0,first scrap players transfer,36123,Nenad Milijaš,Not found,30436,Not found,188,Serbia,MF,Not found,2008-2009,25 years,Red Star,2008,first scrap players fbref,Nenad Milijaš,12,819,2,2,209,13766,43,12,2,Nenad Milijaš,No,Not found,NA,221,14585,45,Midfield - Central Midfield,Midfield,30436,42,43647,36,15
Ishmael Miller,38776,https://www.transfermarkt.com/ishmael-miller/profil/spieler/38776,https://fbref.com/en/players/58f1973e/Ishmael-Miller,18/03/2006,19 years 13 days,19,Premier League,18/08/2007,20,20,Championship,19,first scrap players,Ishmael Miller,Success,38776,spieler,Ishmael Miller,31900,Manchester,"1,92",England,Attack - Centre-Forward,left,Not found,Tranmere,43837,-,Not found,1,173,28,Yes,43837,Not found,1,first scrap players transfer,38776,Ishmael Miller,Not found,31841,Not found,191,Not found,FW,Left,2005-2006,18 years,Manchester City,2005,first scrap players fbref,NA,NA,NA,NA,NA,250,13240,43,13,11,Ishmael Miller,No,Not found,NA,250,13240,43,Attack - Centre-Forward,Attack,31841,38,44013,33,14
James Milner,3333,https://www.transfermarkt.com/james-milner/profil/spieler/3333,https://fbref.com/en/players/2f90f6b8/James-Milner,37540,16 years 10 months 06 days,16,Premier League,No second tier career,No second tier career,No second tier career,No second tier career,16,first scrap players,James Milner,Success,3333,spieler,James Milner,31503,Leeds,"1,75",England,Midfield - Central Midfield,right,Not found,Brighton,44933,30/06/2026,Nike,27,814,140,No,Not found,20,12,first scrap players transfer,3333,James Milner,Not found,"January 4, 1986 (Age: 39-325d)","Leeds, England, United Kingdom",176,England eng,DF-MF (CM-FB-WM),Right,2002-2003,16 years,Leeds United,2002,first scrap players fbref,James Milner,41,2334,1,5,813,50862,69,25,7,James Milner,No,Not found,NA,854,53196,70,Midfield - Central Midfield,Midfield,31416,39,NA,NA,23
Luka Modrić,27992,https://www.transfermarkt.com/luka-modri/profil/spieler/27992,https://fbref.com/en/players/6025fab1/Luka-Modric,24/07/2004,18 years 10 months 15 days,18,SuperSport HNL,No second tier career,No second tier career,No second tier career,No second tier career,18,first scrap players,Luka Modrić,Success,27992,spieler,Luka Modrić,31299,Zadar,"1,72",Croatia,Midfield - Central Midfield,right,Not found,AC Milan,14/07/2025,30/06/2026,Nike,30,545,116,No,Not found,14,13,first scrap players transfer,27992,Luka Modrić,Not found,"September 9, 1985 (Age: 40-077d)","Zadar, Croatia",174,Croatia,MF (AM-CM-DM-WM),Right,2007-2008,21 years,Dinamo Zagreb,2007,first scrap players fbref,Luka Modrić,167,13348,26,17,763,55145,73,22,4,Luka Modrić,No,Not found,NA,930,68493,99,Midfield - Central Midfield,Midfield,31299,40,NA,NA,22
Josh Morris,121391,https://www.transfermarkt.com/josh-morris/profil/spieler/121391,https://fbref.com/en/players/6449a543/Josh-Morris,27/11/2010,19 years 01 month 28 days,19,Premier League,41579,21,21,Championship,19,first scrap players,Josh Morris,Success,121391,spieler,Josh Morris,30/09/1991,Preston,"1,80",England,Midfield - Left Midfield,left,Not found,Without Club,44933,-,Not found,2,170,31,No,Not found,Not found,1,first scrap players transfer,121391,Josh Morris,Not found,33511,Not found,180,England eng,DF-FW-MF,Not found,2010-2011,18 years,Blackburn,2010,first scrap players fbref,NA,NA,NA,NA,NA,325,23728,60,13,9,Josh Morris,No,Not found,NA,325,23728,60,Midfield - Left Midfield,Midfield,33511,34,NA,NA,15
James Morrison,27614,https://www.transfermarkt.com/james-morrison/profil/spieler/27614,https://fbref.com/en/players/21a66e33/James-Morrison,15/05/2004,17 years 11 months 20 days,17,Premier League,39394,21,21,Championship,17,first scrap players,James Morrison,Success,27614,spieler,James Morrison,25/05/1986,Darlington,"1,83",Scotland  England,Midfield - Central Midfield,right,Not found,West Brom,29/10/2019,-,adidas,4,399,62,Yes,29/10/2019,Not found,3,first scrap players transfer,27614,James Morrison,Not found,31557,Not found,183,Scotland sct  Other: England,FW-MF (AM-DM-WM),Right,2003-2004,17 years,Middlesbrough,2003,first scrap players fbref,James Morrison,33,2334,1,6,404,27063,43,16,2,James Morrison,No,Not found,NA,437,29397,44,Midfield - Central Midfield,Midfield,31557,39,43767,33,16
Victor Moses,59866,https://www.transfermarkt.com/victor-moses/profil/spieler/59866,https://fbref.com/en/players/e726e11e/Victor-Moses,40331,19 years 01 month 25 days,19,Premier League,39244,16,16,Championship,16,first scrap players,Victor Moses,Success,59866,spieler,Victor Moses,33219,Kaduna,"1,77",Nigeria  England,Attack - Right Winger,right,Not found,Without Club,45664,-,Nike,20,811,139,No,Not found,Not found,11,first scrap players transfer,59866,Victor Moses,Not found,33219,Not found,177,Nigeria ng  Other: England,"DF-FW-MF (AM-DM-WM, right)",Right,2007-2008,16 years,Crystal Palace,2007,first scrap players fbref,Victor Moses,31,2330,10,5,454,28000,56,18,10,Victor Moses,No,Not found,NA,485,30330,66,Attack - Right Winger,Attack,33219,34,NA,NA,18
Steven Mouyokolo,58188,https://www.transfermarkt.com/steven-mouyokolo/profil/spieler/58188,https://fbref.com/en/players/6d60be73/Steven-Mouyokolo,15/08/2009,22 years 06 months 22 days,22,Premier League,14/09/2007,20,20,Ligue 2,20,first scrap players,Steven Mouyokolo,Success,58188,spieler,Steven Mouyokolo,24/01/1987,Melun,"1,90",France  Congo,Defender - Centre-Back,right,Not found,Celtic,41646,-,Not found,3,241,43,Yes,41646,Not found,3,first scrap players transfer,58188,Steven Mouyokolo,Not found,31801,Not found,190,Not found,DF (CB),Not found,2009-2010,22 years,Hull City,2009,first scrap players fbref,NA,NA,NA,NA,NA,31,2199,1,4,4,Steven Mouyokolo,No,Not found,NA,31,2199,1,Defender - Centre-Back,Defender,31801,38,41821,27,7
